subject	role	exists	bytes	relative_path
root	dataset_description	True	1493	dataset_description.json
root	participants_tsv	True	2707	participants.tsv
root	participants_json	True	911	participants.json
root	readme	True	8172	README
root	changes	True	511	CHANGES
sub-1	scan_metadata	True	91	sub-1/sub-1_scans.tsv
sub-1	headband_channels	True	70	sub-1/eeg/sub-1_task-Sleep_acq-headband_channels.tsv
sub-1	headband_sidecar	True	513	sub-1/eeg/sub-1_task-Sleep_acq-headband_eeg.json
sub-1	headband_events_json	True	837	sub-1/eeg/sub-1_task-Sleep_acq-headband_events.json
sub-1	headband_events_tsv	True	27512	sub-1/eeg/sub-1_task-Sleep_acq-headband_events.tsv
sub-1	psg_channels	True	252	sub-1/eeg/sub-1_task-Sleep_acq-psg_channels.tsv
sub-1	psg_sidecar	True	498	sub-1/eeg/sub-1_task-Sleep_acq-psg_eeg.json
sub-1	psg_events_json	True	1022	sub-1/eeg/sub-1_task-Sleep_acq-psg_events.json
sub-1	psg_events_tsv	True	28675	sub-1/eeg/sub-1_task-Sleep_acq-psg_events.tsv
sub-2	scan_metadata	True	91	sub-2/sub-2_scans.tsv
sub-2	headband_channels	True	70	sub-2/eeg/sub-2_task-Sleep_acq-headband_channels.tsv
sub-2	headband_sidecar	True	513	sub-2/eeg/sub-2_task-Sleep_acq-headband_eeg.json
sub-2	headband_events_json	True	837	sub-2/eeg/sub-2_task-Sleep_acq-headband_events.json
sub-2	headband_events_tsv	True	26782	sub-2/eeg/sub-2_task-Sleep_acq-headband_events.tsv
sub-2	psg_channels	True	252	sub-2/eeg/sub-2_task-Sleep_acq-psg_channels.tsv
sub-2	psg_sidecar	True	498	sub-2/eeg/sub-2_task-Sleep_acq-psg_eeg.json
sub-2	psg_events_json	True	1022	sub-2/eeg/sub-2_task-Sleep_acq-psg_events.json
sub-2	psg_events_tsv	True	28611	sub-2/eeg/sub-2_task-Sleep_acq-psg_events.tsv
sub-3	scan_metadata	True	91	sub-3/sub-3_scans.tsv
sub-3	headband_channels	True	237	sub-3/eeg/sub-3_task-Sleep_acq-headband_channels.tsv
sub-3	headband_sidecar	True	513	sub-3/eeg/sub-3_task-Sleep_acq-headband_eeg.json
sub-3	headband_events_json	True	837	sub-3/eeg/sub-3_task-Sleep_acq-headband_events.json
sub-3	headband_events_tsv	True	29304	sub-3/eeg/sub-3_task-Sleep_acq-headband_events.tsv
sub-3	psg_channels	True	190	sub-3/eeg/sub-3_task-Sleep_acq-psg_channels.tsv
sub-3	psg_sidecar	True	497	sub-3/eeg/sub-3_task-Sleep_acq-psg_eeg.json
sub-3	psg_events_json	True	1022	sub-3/eeg/sub-3_task-Sleep_acq-psg_events.json
sub-3	psg_events_tsv	True	31299	sub-3/eeg/sub-3_task-Sleep_acq-psg_events.tsv
sub-4	scan_metadata	True	91	sub-4/sub-4_scans.tsv
sub-4	headband_channels	True	237	sub-4/eeg/sub-4_task-Sleep_acq-headband_channels.tsv
sub-4	headband_sidecar	True	513	sub-4/eeg/sub-4_task-Sleep_acq-headband_eeg.json
sub-4	headband_events_json	True	837	sub-4/eeg/sub-4_task-Sleep_acq-headband_events.json
sub-4	headband_events_tsv	True	31560	sub-4/eeg/sub-4_task-Sleep_acq-headband_events.tsv
sub-4	psg_channels	True	190	sub-4/eeg/sub-4_task-Sleep_acq-psg_channels.tsv
sub-4	psg_sidecar	True	497	sub-4/eeg/sub-4_task-Sleep_acq-psg_eeg.json
sub-4	psg_events_json	True	1022	sub-4/eeg/sub-4_task-Sleep_acq-psg_events.json
sub-4	psg_events_tsv	True	33638	sub-4/eeg/sub-4_task-Sleep_acq-psg_events.tsv
sub-5	scan_metadata	True	91	sub-5/sub-5_scans.tsv
sub-5	headband_channels	True	70	sub-5/eeg/sub-5_task-Sleep_acq-headband_channels.tsv
sub-5	headband_sidecar	True	513	sub-5/eeg/sub-5_task-Sleep_acq-headband_eeg.json
sub-5	headband_events_json	True	837	sub-5/eeg/sub-5_task-Sleep_acq-headband_events.json
sub-5	headband_events_tsv	True	29536	sub-5/eeg/sub-5_task-Sleep_acq-headband_events.tsv
sub-5	psg_channels	True	252	sub-5/eeg/sub-5_task-Sleep_acq-psg_channels.tsv
sub-5	psg_sidecar	True	498	sub-5/eeg/sub-5_task-Sleep_acq-psg_eeg.json
sub-5	psg_events_json	True	1022	sub-5/eeg/sub-5_task-Sleep_acq-psg_events.json
sub-5	psg_events_tsv	True	31555	sub-5/eeg/sub-5_task-Sleep_acq-psg_events.tsv
sub-6	scan_metadata	True	91	sub-6/sub-6_scans.tsv
sub-6	headband_channels	True	237	sub-6/eeg/sub-6_task-Sleep_acq-headband_channels.tsv
sub-6	headband_sidecar	True	513	sub-6/eeg/sub-6_task-Sleep_acq-headband_eeg.json
sub-6	headband_events_json	True	837	sub-6/eeg/sub-6_task-Sleep_acq-headband_events.json
sub-6	headband_events_tsv	True	29334	sub-6/eeg/sub-6_task-Sleep_acq-headband_events.tsv
sub-6	psg_channels	True	190	sub-6/eeg/sub-6_task-Sleep_acq-psg_channels.tsv
sub-6	psg_sidecar	True	497	sub-6/eeg/sub-6_task-Sleep_acq-psg_eeg.json
sub-6	psg_events_json	True	1022	sub-6/eeg/sub-6_task-Sleep_acq-psg_events.json
sub-6	psg_events_tsv	True	31331	sub-6/eeg/sub-6_task-Sleep_acq-psg_events.tsv
sub-7	scan_metadata	True	91	sub-7/sub-7_scans.tsv
sub-7	headband_channels	True	70	sub-7/eeg/sub-7_task-Sleep_acq-headband_channels.tsv
sub-7	headband_sidecar	True	513	sub-7/eeg/sub-7_task-Sleep_acq-headband_eeg.json
sub-7	headband_events_json	True	837	sub-7/eeg/sub-7_task-Sleep_acq-headband_events.json
sub-7	headband_events_tsv	True	27587	sub-7/eeg/sub-7_task-Sleep_acq-headband_events.tsv
sub-7	psg_channels	True	252	sub-7/eeg/sub-7_task-Sleep_acq-psg_channels.tsv
sub-7	psg_sidecar	True	498	sub-7/eeg/sub-7_task-Sleep_acq-psg_eeg.json
sub-7	psg_events_json	True	1022	sub-7/eeg/sub-7_task-Sleep_acq-psg_events.json
sub-7	psg_events_tsv	True	29322	sub-7/eeg/sub-7_task-Sleep_acq-psg_events.tsv
sub-8	scan_metadata	True	91	sub-8/sub-8_scans.tsv
sub-8	headband_channels	True	237	sub-8/eeg/sub-8_task-Sleep_acq-headband_channels.tsv
sub-8	headband_sidecar	True	513	sub-8/eeg/sub-8_task-Sleep_acq-headband_eeg.json
sub-8	headband_events_json	True	837	sub-8/eeg/sub-8_task-Sleep_acq-headband_events.json
sub-8	headband_events_tsv	True	11655	sub-8/eeg/sub-8_task-Sleep_acq-headband_events.tsv
sub-8	psg_channels	True	190	sub-8/eeg/sub-8_task-Sleep_acq-psg_channels.tsv
