source	channel	windows_checked	pass_basic_windows	nonpass_windows	quality_flags	min_finite_fraction	max_outlier_fraction_10mad	min_peak_to_peak	max_peak_to_peak
headband	HB_1	6	6	0	pass_basic=6	1.0	0.02109375	0.00021680018310826272	0.00036951247425040046
headband	HB_2	6	6	0	pass_basic=6	1.0	0.013720703125	0.0003479972533760586	0.0006738384069581139
headband	HB_PULSE	6	6	0	pass_basic=6	1.0	0.006363932291666667	11.81620508125429	43.33943694209201
psg	PSG_C3	6	6	0	pass_basic=6	1.0	0.011360677083333333	0.00019717097734035246	0.00042442053864347293
psg	PSG_C4	6	6	0	pass_basic=6	1.0	0.017496744791666668	8.501935825131607e-05	0.0005758222986495762
psg	PSG_EMG	6	4	2	many_extreme_points=2; pass_basic=4	1.0	0.058854166666666666	0.0003983459220263981	0.0055815304798962385
psg	PSG_EOG	6	4	2	many_extreme_points=2; pass_basic=4	1.0	0.06775716145833334	0.000665569484458686	0.0011350839078355076
psg	PSG_F3	6	6	0	pass_basic=6	1.0	0.010986328125	9.728055625238426e-05	0.00040120718086518643
psg	PSG_F4	6	6	0	pass_basic=6	1.0	0.038720703125	0.00012868641489280526	0.000594728793774319
psg	PSG_O1	6	6	0	pass_basic=6	1.0	0.022574869791666667	0.00016191653315022504	0.0004263736934462501
psg	PSG_O2	6	6	0	pass_basic=6	1.0	0.0037923177083333333	6.104827128404662e-05	0.000225997639377432
