dataset	snapshot	subject	acquisition	relative_path	expected_bytes	local_bytes	partial_bytes	bytes_changed_this_run	status
ds005555	1.1.1	sub-1	headband	sub-1/eeg/sub-1_task-Sleep_acq-headband_eeg.edf	28118784	28118784	0	28118784	downloaded
ds005555	1.1.1	sub-1	psg	sub-1/eeg/sub-1_task-Sleep_acq-psg_eeg.edf	154652160	154652160	0	154652160	downloaded
ds005555	1.1.1	sub-2	headband	sub-2/eeg/sub-2_task-Sleep_acq-headband_eeg.edf	28058368	28058368	0	28058368	downloaded
ds005555	1.1.1	sub-2	psg	sub-2/eeg/sub-2_task-Sleep_acq-psg_eeg.edf	154319872	154319872	0	154319872	downloaded
ds005555	1.1.1	sub-3	headband	sub-3/eeg/sub-3_task-Sleep_acq-headband_eeg.edf	137878528	137878528	0	137878528	downloaded
ds005555	1.1.1	sub-3	psg	sub-3/eeg/sub-3_task-Sleep_acq-psg_eeg.edf	122558720	122558720	0	122558720	downloaded
ds005555	1.1.1	sub-4	headband	sub-4/eeg/sub-4_task-Sleep_acq-headband_eeg.edf	147956224	147956224	0	147956224	downloaded
ds005555	1.1.1	sub-4	psg	sub-4/eeg/sub-4_task-Sleep_acq-psg_eeg.edf	131516672	131516672	0	131516672	downloaded
ds005555	1.1.1	sub-5	headband	sub-5/eeg/sub-5_task-Sleep_acq-headband_eeg.edf	30903040	30903040	0	30903040	downloaded
ds005555	1.1.1	sub-5	psg	sub-5/eeg/sub-5_task-Sleep_acq-psg_eeg.edf	169965568	169965568	0	169965568	downloaded
ds005555	1.1.1	sub-6	headband	sub-6/eeg/sub-6_task-Sleep_acq-headband_eeg.edf	138062848	138062848	0	138062848	downloaded
ds005555	1.1.1	sub-6	psg	sub-6/eeg/sub-6_task-Sleep_acq-psg_eeg.edf	122722560	122722560	0	122722560	downloaded
ds005555	1.1.1	sub-7	headband	sub-7/eeg/sub-7_task-Sleep_acq-headband_eeg.edf	28752640	28752640	0	28752640	downloaded
ds005555	1.1.1	sub-7	psg	sub-7/eeg/sub-7_task-Sleep_acq-psg_eeg.edf	158138368	158138368	0	158138368	downloaded
ds005555	1.1.1	sub-8	headband	sub-8/eeg/sub-8_task-Sleep_acq-headband_eeg.edf	56634880	56634880	0	56634880	downloaded
ds005555	1.1.1	sub-8	psg	sub-8/eeg/sub-8_task-Sleep_acq-psg_eeg.edf	50342144	50342144	0	50342144	downloaded
ds005555	1.1.1	sub-9	headband	sub-9/eeg/sub-9_task-Sleep_acq-headband_eeg.edf	32431872	32431872	0	32431872	downloaded
ds005555	1.1.1	sub-9	psg	sub-9/eeg/sub-9_task-Sleep_acq-psg_eeg.edf	178374144	178374144	0	178374144	downloaded
ds005555	1.1.1	sub-10	headband	sub-10/eeg/sub-10_task-Sleep_acq-headband_eeg.edf	30527232	30527232	0	30527232	downloaded
ds005555	1.1.1	sub-10	psg	sub-10/eeg/sub-10_task-Sleep_acq-psg_eeg.edf	167898624	167898624	0	167898624	downloaded
ds005555	1.1.1	sub-11	headband	sub-11/eeg/sub-11_task-Sleep_acq-headband_eeg.edf	136228864	136228864	0	136228864	downloaded
ds005555	1.1.1	sub-11	psg	sub-11/eeg/sub-11_task-Sleep_acq-psg_eeg.edf	121092352	121092352	0	121092352	downloaded
ds005555	1.1.1	sub-12	headband	sub-12/eeg/sub-12_task-Sleep_acq-headband_eeg.edf	31134464	31134464	0	31134464	downloaded
ds005555	1.1.1	sub-12	psg	sub-12/eeg/sub-12_task-Sleep_acq-psg_eeg.edf	171238400	171238400	0	171238400	downloaded
ds005555	1.1.1	sub-13	headband	sub-13/eeg/sub-13_task-Sleep_acq-headband_eeg.edf	30654208	30654208	0	30654208	downloaded
ds005555	1.1.1	sub-13	psg	sub-13/eeg/sub-13_task-Sleep_acq-psg_eeg.edf	168596992	168596992	0	168596992	downloaded
ds005555	1.1.1	sub-14	headband	sub-14/eeg/sub-14_task-Sleep_acq-headband_eeg.edf	147979264	147979264	0	147979264	downloaded
ds005555	1.1.1	sub-14	psg	sub-14/eeg/sub-14_task-Sleep_acq-psg_eeg.edf	131537152	131537152	0	131537152	downloaded
ds005555	1.1.1	sub-15	headband	sub-15/eeg/sub-15_task-Sleep_acq-headband_eeg.edf	33615616	33615616	0	33615616	downloaded
ds005555	1.1.1	sub-15	psg	sub-15/eeg/sub-15_task-Sleep_acq-psg_eeg.edf	184884736	184884736	0	184884736	downloaded
ds005555	1.1.1	sub-16	headband	sub-16/eeg/sub-16_task-Sleep_acq-headband_eeg.edf	31596288	31596288	0	31596288	downloaded
ds005555	1.1.1	sub-16	psg	sub-16/eeg/sub-16_task-Sleep_acq-psg_eeg.edf	173778432	173778432	0	173778432	downloaded
ds005555	1.1.1	sub-17	headband	sub-17/eeg/sub-17_task-Sleep_acq-headband_eeg.edf	30339840	30339840	0	30339840	downloaded
ds005555	1.1.1	sub-17	psg	sub-17/eeg/sub-17_task-Sleep_acq-psg_eeg.edf	166867968	166867968	0	166867968	downloaded
ds005555	1.1.1	sub-18	headband	sub-18/eeg/sub-18_task-Sleep_acq-headband_eeg.edf	144790528	144790528	0	144790528	downloaded
ds005555	1.1.1	sub-18	psg	sub-18/eeg/sub-18_task-Sleep_acq-psg_eeg.edf	128702720	128702720	0	128702720	downloaded
ds005555	1.1.1	sub-19	headband	sub-19/eeg/sub-19_task-Sleep_acq-headband_eeg.edf	31106816	31106816	0	31106816	downloaded
ds005555	1.1.1	sub-19	psg	sub-19/eeg/sub-19_task-Sleep_acq-psg_eeg.edf	171086336	171086336	0	171086336	downloaded
ds005555	1.1.1	sub-20	headband	sub-20/eeg/sub-20_task-Sleep_acq-headband_eeg.edf	144947200	144947200	0	144947200	downloaded
ds005555	1.1.1	sub-20	psg	sub-20/eeg/sub-20_task-Sleep_acq-psg_eeg.edf	128841984	128841984	0	128841984	downloaded
ds005555	1.1.1	sub-21	headband	sub-21/eeg/sub-21_task-Sleep_acq-headband_eeg.edf	32050944	32050944	0	32050944	downloaded
ds005555	1.1.1	sub-21	psg	sub-21/eeg/sub-21_task-Sleep_acq-psg_eeg.edf	176279040	176279040	0	176279040	downloaded
ds005555	1.1.1	sub-22	headband	sub-22/eeg/sub-22_task-Sleep_acq-headband_eeg.edf	143021056	143021056	0	143021056	downloaded
ds005555	1.1.1	sub-22	psg	sub-22/eeg/sub-22_task-Sleep_acq-psg_eeg.edf	127129856	127129856	0	127129856	downloaded
ds005555	1.1.1	sub-23	headband	sub-23/eeg/sub-23_task-Sleep_acq-headband_eeg.edf	154822144	154822144	0	154822144	downloaded
ds005555	1.1.1	sub-23	psg	sub-23/eeg/sub-23_task-Sleep_acq-psg_eeg.edf	240834304	240834304	0	240834304	downloaded
ds005555	1.1.1	sub-24	headband	sub-24/eeg/sub-24_task-Sleep_acq-headband_eeg.edf	129035776	129035776	0	129035776	downloaded
ds005555	1.1.1	sub-24	psg	sub-24/eeg/sub-24_task-Sleep_acq-psg_eeg.edf	200722176	200722176	0	200722176	downloaded
ds005555	1.1.1	sub-25	headband	sub-25/eeg/sub-25_task-Sleep_acq-headband_eeg.edf	149790208	149790208	0	149790208	downloaded
ds005555	1.1.1	sub-25	psg	sub-25/eeg/sub-25_task-Sleep_acq-psg_eeg.edf	233006848	233006848	0	233006848	downloaded
ds005555	1.1.1	sub-26	headband	sub-26/eeg/sub-26_task-Sleep_acq-headband_eeg.edf	134477824	134477824	0	134477824	downloaded
ds005555	1.1.1	sub-26	psg	sub-26/eeg/sub-26_task-Sleep_acq-psg_eeg.edf	209187584	209187584	0	209187584	downloaded
ds005555	1.1.1	sub-27	headband	sub-27/eeg/sub-27_task-Sleep_acq-headband_eeg.edf	29247232	29247232	0	29247232	downloaded
ds005555	1.1.1	sub-27	psg	sub-27/eeg/sub-27_task-Sleep_acq-psg_eeg.edf	204729088	204729088	0	204729088	downloaded
ds005555	1.1.1	sub-28	headband	sub-28/eeg/sub-28_task-Sleep_acq-headband_eeg.edf	26393344	26393344	0	26393344	downloaded
