transition_id	subject	pid	transition_type	boundary_onset_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
1	sub-1	89	REM_to_Wake	8790.0	HB_1_vs_PSG_F3	available	0	0.0	0.0	0.0	False
2	sub-1	89	REM_to_Wake	13020.0	HB_1_vs_PSG_F3	available	0	0.0	0.0	0.0	False
3	sub-1	89	REM_to_Wake	17670.0	HB_1_vs_PSG_F3	available	0	0.0	0.0	0.0	False
4	sub-1	89	REM_to_Wake	23550.0	HB_1_vs_PSG_F3	available	0	0.0	0.0	0.0	False
5	sub-1	89	REM_to_Wake	24750.0	HB_1_vs_PSG_F3	available	0	0.0	0.0	0.0	False
6	sub-2	89	REM_to_Wake	15960.0	HB_1_vs_PSG_F3	available	1	1.0	0.46572979210479504	0.46572979210479504	True
7	sub-2	89	Wake_to_REM	15990.0	HB_1_vs_PSG_F3	available	0	0.0	0.5700543214731159	0.5700543214731159	True
8	sub-2	89	REM_to_Wake	16290.0	HB_1_vs_PSG_F3	available	8	8.0	0.6374885458574849	0.6374885458574849	True
9	sub-2	89	REM_to_Wake	16470.0	HB_1_vs_PSG_F3	available	4	4.0	0.2279203070212929	0.2279203070212929	True
10	sub-2	89	REM_to_Wake	20760.0	HB_1_vs_PSG_F3	available	0	0.0	0.5725050560657444	0.5725050560657444	True
11	sub-2	89	Wake_to_REM	21210.0	HB_1_vs_PSG_F3	available	0	0.0	0.7033243217793408	0.7033243217793408	True
12	sub-2	89	REM_to_Wake	21330.0	HB_1_vs_PSG_F3	available	21	21.0	0.4485336898738125	0.4485336898738125	True
13	sub-2	89	REM_to_Wake	24930.0	HB_1_vs_PSG_F3	available	0	0.0	0.6725968889702961	0.6725968889702961	True
14	sub-2	89	REM_to_Wake	25110.0	HB_1_vs_PSG_F3	available	0	0.0	0.6619959138043132	0.6619959138043132	True
15	sub-3	1	REM_to_Wake	17850.0	HB_1_vs_PSG_F3	available	3	3.0	0.794003168067079	0.794003168067079	True
16	sub-3	1	REM_to_Wake	19530.0	HB_1_vs_PSG_F3	available	3	3.0	0.7574004256731619	0.7574004256731619	True
17	sub-3	1	REM_to_Wake	23700.0	HB_1_vs_PSG_F3	available	-5	-5.0	0.8603386112099219	0.8603386112099219	True
18	sub-3	1	Wake_to_REM	23760.0	HB_1_vs_PSG_F3	available	-5	-5.0	0.8577942584106942	0.8577942584106942	True
19	sub-3	1	REM_to_Wake	23970.0	HB_1_vs_PSG_F3	available	1	1.0	0.7979238221795432	0.7979238221795432	True
20	sub-3	1	Wake_to_REM	24000.0	HB_1_vs_PSG_F3	available	1	1.0	0.8039513779516851	0.8039513779516851	True
21	sub-3	1	REM_to_Wake	24840.0	HB_1_vs_PSG_F3	available	12	12.0	0.8216451762196441	0.8216451762196441	True
22	sub-4	2	REM_to_Wake	18150.0	HB_1_vs_PSG_F3	available	-9	-9.0	0.6733998325362321	0.6733998325362321	True
23	sub-4	2	REM_to_Wake	22200.0	HB_1_vs_PSG_F3	available	28	28.0	0.11820912757595707	0.11820912757595707	False
24	sub-5	3	REM_to_Wake	16170.0	HB_1_vs_PSG_F3	available	0	0.0	0.8516480892177672	0.8516480892177672	True
25	sub-5	3	Wake_to_REM	16200.0	HB_1_vs_PSG_F3	available	0	0.0	0.8389668857025325	0.8389668857025325	True
26	sub-5	3	REM_to_Wake	16380.0	HB_1_vs_PSG_F3	available	0	0.0	0.6770320208632117	0.6770320208632117	True
27	sub-5	3	REM_to_Wake	21900.0	HB_1_vs_PSG_F3	available	2	2.0	0.7872722616782426	0.7872722616782426	True
28	sub-5	3	Wake_to_REM	21930.0	HB_1_vs_PSG_F3	available	2	2.0	0.784593811166111	0.784593811166111	True
29	sub-5	3	REM_to_Wake	22380.0	HB_1_vs_PSG_F3	available	6	6.0	0.7754258025260876	0.7754258025260876	True
30	sub-6	4	REM_to_Wake	18750.0	HB_1_vs_PSG_F3	available	2	2.0	0.8529211917681748	0.8529211917681748	True
31	sub-7	5	REM_to_Wake	15540.0	HB_1_vs_PSG_F3	available	0	0.0	0.7023659875015313	0.7023659875015313	True
32	sub-7	5	REM_to_Wake	21510.0	HB_1_vs_PSG_F3	available	-3	-3.0	0.7942834805388701	0.7942834805388701	True
33	sub-7	5	Wake_to_REM	21540.0	HB_1_vs_PSG_F3	available	-3	-3.0	0.8064316071575798	0.8064316071575798	True
34	sub-7	5	REM_to_Wake	26370.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.9772047719067272	0.9772047719067272	True
35	sub-9	90	REM_to_Wake	20910.0	HB_1_vs_PSG_F3	available	-5	-5.0	0.790652542475688	0.790652542475688	True
36	sub-11	8	REM_to_Wake	10410.0	HB_1_vs_PSG_F3	available	11	11.0	0.5875262289114938	0.5875262289114938	True
37	sub-11	8	REM_to_Wake	24900.0	HB_1_vs_PSG_F3	available	-3	-3.0	-0.5747094561899377	0.5747094561899377	True
38	sub-11	8	Wake_to_REM	24930.0	HB_1_vs_PSG_F3	available	-3	-3.0	-0.5468228337722791	0.5468228337722791	True
39	sub-12	92	REM_to_Wake	5160.0	HB_1_vs_PSG_F3	available	0	0.0	0.944427390311675	0.944427390311675	True
40	sub-12	92	REM_to_Wake	9510.0	HB_1_vs_PSG_F3	available	0	0.0	0.896883774857436	0.896883774857436	True
41	sub-12	92	REM_to_Wake	9900.0	HB_1_vs_PSG_F3	available	0	0.0	0.910554360180875	0.910554360180875	True
42	sub-12	92	REM_to_Wake	22800.0	HB_1_vs_PSG_F3	available	1	1.0	0.749156941310356	0.749156941310356	True
43	sub-12	92	Wake_to_REM	22830.0	HB_1_vs_PSG_F3	available	1	1.0	0.7510908070068357	0.7510908070068357	True
44	sub-12	92	REM_to_Wake	22890.0	HB_1_vs_PSG_F3	available	1	1.0	0.7451665264789078	0.7451665264789078	True
45	sub-12	92	REM_to_Wake	23490.0	HB_1_vs_PSG_F3	available	0	0.0	0.8705649066969151	0.8705649066969151	True
46	sub-12	92	REM_to_Wake	28170.0	HB_1_vs_PSG_F3	available	1	1.0	0.8071643979246346	0.8071643979246346	True
47	sub-12	92	REM_to_Wake	28290.0	HB_1_vs_PSG_F3	available	1	1.0	0.8238655413836382	0.8238655413836382	True
48	sub-12	92	Wake_to_REM	28320.0	HB_1_vs_PSG_F3	available	1	1.0	0.5991970804529057	0.5991970804529057	True
49	sub-12	92	REM_to_Wake	28410.0	HB_1_vs_PSG_F3	available	0	0.0	0.7834669138322055	0.7834669138322055	True
50	sub-14	9	REM_to_Wake	14700.0	HB_1_vs_PSG_F3	available	0	0.0	0.787829746365686	0.787829746365686	True
51	sub-14	9	REM_to_Wake	20940.0	HB_1_vs_PSG_F3	available	-1	-1.0	0.8001949560780292	0.8001949560780292	True
52	sub-14	9	REM_to_Wake	26940.0	HB_1_vs_PSG_F3	available	1	1.0	0.816254925703947	0.816254925703947	True
53	sub-14	9	REM_to_Wake	32010.0	HB_1_vs_PSG_F3	available	30	30.0	-0.23106774110183856	0.23106774110183856	True
54	sub-15	10	REM_to_Wake	24600.0	HB_1_vs_PSG_F3	available	4	4.0	0.8917130785504465	0.8917130785504465	True
55	sub-15	10	Wake_to_REM	24630.0	HB_1_vs_PSG_F3	available	4	4.0	0.8902191787602963	0.8902191787602963	True
56	sub-15	10	REM_to_Wake	25080.0	HB_1_vs_PSG_F3	available	0	0.0	0.9015824694236747	0.9015824694236747	True
57	sub-15	10	Wake_to_REM	25110.0	HB_1_vs_PSG_F3	available	0	0.0	0.7536167118441465	0.7536167118441465	True
58	sub-15	10	REM_to_Wake	25710.0	HB_1_vs_PSG_F3	available	5	5.0	0.786324316220005	0.786324316220005	True
59	sub-16	11	REM_to_Wake	17460.0	HB_1_vs_PSG_F3	available	1	1.0	0.8582761018267815	0.8582761018267815	True
60	sub-16	11	Wake_to_REM	17490.0	HB_1_vs_PSG_F3	available	1	1.0	0.8548681002612085	0.8548681002612085	True
