subject	pid	window_id	window_center_sec	signal_pair	availability	best_lag_samples	best_lag_sec	best_signed_corr	best_abs_corr	usable_for_alignment
sub-1	89			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-2	89			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-3	1			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-4	2			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-5	3			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-6	4			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-7	5			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-8	6			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-9	90			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-10	91			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-11	8			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-12	92			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-13	91			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-14	9			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-15	10			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-16	11			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-17	92			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-18	12			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-19	93			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-20	13			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-21	93			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-22	14			HB_PULSE_vs_PSG_PULSE	missing_channel					False
sub-23	15	1	3359.8	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-23	15	2	10079.4	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-23	15	3	16799.0	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-23	15	4	23518.6	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-23	15	5	30238.2	HB_PULSE_vs_PSG_PULSE	available	0	0.0	0.0	0.0	False
sub-24	16	1	2800.2000000000003	HB_PULSE_vs_PSG_PULSE	available	9	0.28125	0.5914885162807008	0.5914885162807008	True
sub-24	16	2	8400.6	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.8223229278814375	0.8223229278814375	True
sub-24	16	3	14001.0	HB_PULSE_vs_PSG_PULSE	available	-2	-0.0625	-0.4996045690843153	0.4996045690843153	True
sub-24	16	4	19601.399999999998	HB_PULSE_vs_PSG_PULSE	available	-168	-5.25	-0.1684694644570671	0.1684694644570671	False
sub-24	16	5	25201.8	HB_PULSE_vs_PSG_PULSE	available	-166	-5.1875	0.030916603855950315	0.030916603855950315	False
sub-25	17	1	3250.6000000000004	HB_PULSE_vs_PSG_PULSE	available	0	0.0	-0.4638184723862789	0.4638184723862789	True
sub-25	17	2	9751.8	HB_PULSE_vs_PSG_PULSE	available	-1	-0.03125	-0.44485932704071385	0.44485932704071385	True
sub-25	17	3	16253.0	HB_PULSE_vs_PSG_PULSE	available	11	0.34375	0.5556483843375603	0.5556483843375603	True
