subject	pid	timeline_alignment_flag	transition_windows	transition_windows_pass	pulse_windows	pulse_windows_usable	pulse_usable_near_zero_lag_2s	pulse_median_abs_corr	eeg_envelope_windows	eeg_envelope_usable	eeg_envelope_near_zero_lag_2s	eeg_envelope_median_abs_corr
sub-1	89	pass	5	5	0	0	0	NA	5	0	0	NA
sub-2	89	pass	9	9	0	0	0	NA	9	9	6	0.5725050560657444
sub-3	1	pass	7	7	0	0	0	NA	7	7	2	0.8039513779516851
sub-4	2	pass	2	2	0	0	0	NA	2	1	0	0.6733998325362321
sub-5	3	pass	6	6	0	0	0	NA	6	6	5	0.7859330364221768
sub-6	4	pass	1	1	0	0	0	NA	1	1	1	0.8529211917681748
sub-7	5	pass	4	4	0	0	0	NA	4	4	2	0.8003575438482249
sub-8	6	pass	0	0	0	0	0	NA	0	0	0	NA
sub-9	90	pass	1	1	0	0	0	NA	1	1	0	0.790652542475688
sub-10	91	pass	0	0	0	0	0	NA	0	0	0	NA
sub-11	8	pass	3	3	0	0	0	NA	3	3	0	0.5747094561899377
sub-12	92	pass	11	11	0	0	0	NA	11	11	11	0.8071643979246346
sub-13	91	pass	0	0	0	0	0	NA	0	0	0	NA
sub-14	9	pass	4	4	0	0	0	NA	4	4	3	0.7940123512218575
sub-15	10	pass	5	5	0	0	0	NA	5	5	2	0.8902191787602963
sub-16	11	pass	13	13	0	0	0	NA	13	13	7	0.8548681002612085
sub-17	92	pass	16	16	0	0	0	NA	16	16	13	0.7562302071128935
sub-18	12	pass	11	11	0	0	0	NA	11	11	11	0.7158488771225512
sub-19	93	pass	2	2	0	0	0	NA	2	2	1	0.5956319763288871
sub-20	13	pass	2	2	0	0	0	NA	2	2	2	0.8459480814753249
sub-21	93	pass	1	1	0	0	0	NA	1	1	0	0.46110966405319337
sub-22	14	pass	3	3	0	0	0	NA	3	3	3	0.7645340750269892
sub-23	15	pass	2	2	5	0	0	NA	2	1	0	0.6420761988100885
sub-24	16	pass	2	2	5	3	3	0.5914885162807008	2	2	2	0.8027189412227528
sub-25	17	pass	4	4	5	5	5	0.4638184723862789	4	4	4	0.8146114138594807
sub-26	18	pass	2	2	5	0	0	NA	2	2	2	0.709730483839266
sub-27	19	pass	4	4	0	0	0	NA	4	4	3	0.8942317962467734
sub-28	20	pass	1	1	0	0	0	NA	1	1	1	0.5877808735478279
sub-29	21	pass	3	3	0	0	0	NA	3	3	3	0.8356629690185565
sub-30	94	pass	3	3	5	5	5	0.5632146666459977	3	3	2	0.9377874830030417
sub-31	95	pass	0	0	5	3	3	0.7562775147378414	0	0	0	NA
sub-32	83	pass	5	5	5	4	4	0.24105849098514315	5	5	5	0.8703539960628716
sub-33	84	pass	8	8	5	5	5	0.7502131637307335	8	8	6	0.7382970830771475
sub-34	22	pass	0	0	5	2	2	0.6686856658355199	0	0	0	NA
sub-35	83	pass	0	0	5	2	2	0.37292349758188514	0	0	0	NA
sub-36	84	pass	8	8	5	5	5	0.6143120649114454	8	7	6	0.6293850998603869
sub-37	86	pass	4	4	5	4	4	0.7403148874450378	4	4	4	0.8358455250711228
sub-38	87	pass	1	1	5	3	3	0.561872968014827	1	1	1	0.799497486093927
sub-39	85	pass	1	1	5	5	4	0.6888737812329864	1	1	1	0.7231983395924887
sub-40	86	pass	2	2	5	4	4	0.6201310408225241	2	2	1	0.8374929312774813
sub-41	83	pass	6	6	5	3	3	0.33586018714143373	6	6	6	0.7842913218006355
sub-42	84	pass	8	8	5	1	1	0.7551481261387525	8	8	8	0.6489244559612088
sub-43	87	pass	1	1	5	5	5	0.8515521684310703	1	1	0	0.3564849962097718
sub-44	23	pass	2	2	5	5	5	0.4738102754392253	2	2	1	0.6711023480806424
sub-45	24	pass	1	1	5	4	4	0.5972334980637171	1	1	0	0.7936469795204528
sub-46	26	pass	6	6	5	2	2	0.37851021260255935	6	6	4	0.7471376335583408
sub-47	87	pass	0	0	5	5	5	0.7933143155624927	0	0	0	NA
sub-48	28	pass	1	1	5	1	1	0.33073226311728426	1	1	1	0.7890810408729542
sub-49	29	pass	2	2	5	5	5	0.40368377110420395	2	2	1	0.7127221112339897
sub-50	88	pass	2	2	5	3	2	0.23930294142943367	2	2	2	0.8373869044062581
sub-51	30	pass	7	7	5	5	5	0.5465302248614645	7	7	7	0.7829404188414697
sub-52	31	pass	4	4	5	5	5	0.44835546929346143	4	4	3	0.8040451252851851
sub-53	88	pass	6	6	5	4	4	0.35840700880758397	6	6	6	0.8519326316225453
sub-54	88	pass	4	4	5	2	2	0.3301566273463492	4	4	4	0.864913615658368
sub-55	77	pass	4	4	5	2	2	0.40763760207220057	4	2	1	0.680272242184296
sub-56	78	pass	9	9	5	3	3	0.6340680794846002	9	9	3	0.6685001563476827
sub-57	77	pass	6	6	5	3	3	0.35467112583916494	6	6	3	0.7040237112629804
sub-58	78	pass	9	9	5	5	5	0.5370738742863348	9	9	5	0.7772053755857922
sub-59	79	pass	8	8	5	5	5	0.3426332253491667	8	8	5	0.6496821403636588
sub-60	80	pass	0	0	5	5	5	0.6383271115361462	0	0	0	NA
sub-61	79	pass	8	8	5	2	2	0.643435572658811	8	8	4	0.6004935184815583
sub-62	80	pass	2	2	5	4	4	0.395816780113866	2	2	2	0.9109203145629804
sub-63	81	pass	1	1	5	3	3	0.45650609219763066	1	1	1	0.833495184228268
sub-64	82	pass	3	3	5	5	5	0.5858692019826417	3	3	3	0.8291654185415821
sub-65	81	pass	1	1	5	3	3	0.2868465191495271	1	1	0	0.7326782045152418
sub-66	82	pass	2	2	5	5	5	0.48428239347288127	2	2	1	0.6368616334908855
sub-67	32	pass	8	8	5	5	5	0.2336653158087148	8	8	6	0.7860469965752754
sub-68	33	pass	2	2	5	5	5	0.46953628257097896	2	2	2	0.6371910510641566
sub-69	34	pass	1	1	5	1	1	0.29097256658765425	1	1	1	0.9053252531361192
sub-70	35	pass	2	2	5	3	3	0.4811396935262333	2	2	1	0.6984839267822752
sub-71	36	pass	4	4	5	5	5	0.4540272579204135	4	4	3	0.8142418967476129
sub-72	37	pass	2	2	5	5	5	0.7271893430520667	2	2	2	0.8549049490782376
sub-73	38	pass	1	1	5	5	4	0.40645559971727974	1	1	1	0.883916136755605
sub-74	39	pass	2	2	5	5	5	0.2858059231343211	2	2	2	0.7989270741801384
sub-75	40	pass	3	3	5	4	4	0.2793471339672544	3	3	0	0.5876680875115671
sub-76	41	pass	2	2	5	5	5	0.6488686218223053	2	2	1	0.4437336787491942
sub-77	42	pass	4	4	5	4	4	0.6030593883265783	4	3	3	0.8867265704786912
sub-78	43	pass	3	3	5	2	2	0.42410838347575885	3	3	3	0.9106919847352755
sub-79	44	pass	0	0	5	0	0	NA	0	0	0	NA
sub-80	45	pass	0	0	5	0	0	NA	0	0	0	NA
sub-81	46	pass	13	13	5	5	5	0.48340503073107355	13	13	13	0.8268319523882544
sub-82	48	pass	2	2	5	3	3	0.3218548860550832	2	2	0	0.5885356475410468
sub-83	50	pass	1	1	5	4	4	0.5122237716512499	1	1	1	0.8011581689287132
sub-84	51	pass	1	1	5	2	2	0.5380419925469206	1	1	1	0.36700296415697137
sub-85	52	pass	5	5	5	5	5	0.4949052874495389	5	5	4	0.7349539760383883
sub-86	53	pass	0	0	5	2	2	0.29673411399210015	0	0	0	NA
sub-87	54	pass	2	2	5	4	4	0.6351530437943534	2	2	1	0.46020376476382374
sub-88	55	pass	0	0	5	1	1	0.23843653590906147	0	0	0	NA
sub-89	56	pass	0	0	5	5	5	0.4190726948069475	0	0	0	NA
sub-90	57	pass	7	7	5	4	4	0.6653917210910762	7	7	6	0.8255678812038206
sub-91	58	pass	8	8	5	5	5	0.6483346673115138	8	8	2	0.5955294643090718
sub-92	59	pass	5	5	5	2	2	0.32480294968051826	5	5	5	0.6997184969372648
sub-93	60	pass	4	4	5	5	5	0.5003454397781727	4	4	4	0.850270474555773
sub-94	61	pass	2	2	5	4	4	0.4370973060019173	2	2	1	0.8035139772065238
sub-95	62	pass	8	8	5	3	3	0.6515807231729932	8	8	7	0.699289401332237
sub-96	63	pass	5	5	5	4	4	0.6257416972231064	5	5	2	0.6144958431561405
sub-97	64	pass	8	8	5	3	3	0.6170074503009937	8	8	8	0.8707314420605806
sub-98	65	pass	12	12	5	4	4	0.5269134891691659	12	12	8	0.8333527674062489
sub-99	66	pass	0	0	5	3	3	0.6356826511365803	0	0	0	NA
sub-100	67	pass	7	7	5	3	3	0.5870631711954298	7	7	5	0.8133284260629293
sub-101	68	pass	8	8	5	5	5	0.4976367402573223	8	8	7	0.7386353853747878
sub-102	69	pass	4	4	5	4	4	0.7584119373293801	4	4	3	0.5091052462730719
sub-103	71	pass	0	0	5	5	5	0.36866162065132285	0	0	0	NA
sub-104	72	pass	2	2	5	5	5	0.5617722749218101	2	2	2	0.8499335481894033
sub-105	73	pass	3	3	5	5	5	0.5746684264051887	3	3	2	0.7450510963516151
sub-106	74	pass	2	2	5	5	5	0.6672718871743414	2	2	2	0.9233026023955306
sub-107	75	pass	1	1	5	5	5	0.48127217901169395	1	1	1	0.6925702287845165
sub-108	76	pass	3	3	5	3	3	0.26359718230505436	3	3	1	0.6552992659891306
sub-109	96	pass	6	6	5	4	4	0.7166588583669098	6	6	5	0.5503363462045838
sub-110	96	pass	4	4	5	5	5	0.8307283882781471	4	4	3	0.7950268822631235
sub-111	96	pass	6	6	5	5	5	0.849507181136376	6	6	4	0.5449114778377248
sub-112	97	pass	4	4	5	5	4	0.5439945843520108	4	4	4	0.8807320722611265
sub-113	97	pass	3	3	5	5	5	0.47463730816022587	3	3	3	0.9585658230213628
sub-114	97	pass	1	1	5	5	5	0.4644785370407012	1	1	1	0.8489867257656705
sub-115	98	pass	1	1	5	5	5	0.7768716434058944	1	1	1	0.8068791165908029
sub-116	98	pass	3	3	5	5	5	0.7510686163835918	3	3	1	0.7365389797781977
sub-117	98	pass	8	8	5	5	5	0.801272003562775	8	8	8	0.8620664087048614
sub-118	99	pass	3	3	5	5	5	0.5858408470524372	3	3	2	0.80496040878072
sub-119	99	pass	3	3	5	4	3	0.32550622816617547	3	3	2	0.826471219696508
sub-120	99	pass	5	5	5	5	4	0.45228857476839496	5	5	4	0.8122429466096723
sub-121	100	pass	1	1	5	4	4	0.405006411092245	1	1	1	0.5389450882084962
sub-122	101	pass	0	0	5	5	5	0.5148397724131323	0	0	0	NA
sub-123	102	pass	3	3	5	5	5	0.2774980825774115	3	3	3	0.7737199667022543
sub-124	15	pass	6	6	5	5	5	0.45099631666963763	6	6	4	0.9200512084917594
sub-125	104	pass	3	3	5	4	4	0.42412555315648304	3	3	3	0.7273421072822878
sub-126	106	pass	8	8	0	0	0	NA	8	8	7	0.7476214502758847
sub-127	107	pass	1	1	5	0	0	NA	1	1	0	0.27541082661183547
sub-128	108	pass	1	1	0	0	0	NA	1	1	1	0.42174352518911834
