transition_id	subject	pid	transition_type	boundary_onset_sec	headband_start_sample	headband_stop_sample	psg_start_sample	psg_stop_sample	window_sample_count_difference	boundary_sample_difference	sample_alignment_flag
1	sub-1	89	REM_to_Wake	8790.0	2219520	2280960	2219520	2280960	0	0	pass
2	sub-1	89	REM_to_Wake	13020.0	3302400	3363840	3302400	3363840	0	0	pass
3	sub-1	89	REM_to_Wake	17670.0	4492800	4554240	4492800	4554240	0	0	pass
4	sub-1	89	REM_to_Wake	23550.0	5998080	6059520	5998080	6059520	0	0	pass
5	sub-1	89	REM_to_Wake	24750.0	6305280	6366720	6305280	6366720	0	0	pass
6	sub-2	89	REM_to_Wake	15960.0	4055040	4116480	4055040	4116480	0	0	pass
7	sub-2	89	Wake_to_REM	15990.0	4062720	4124160	4062720	4124160	0	0	pass
8	sub-2	89	REM_to_Wake	16290.0	4139520	4200960	4139520	4200960	0	0	pass
9	sub-2	89	REM_to_Wake	16470.0	4185600	4247040	4185600	4247040	0	0	pass
10	sub-2	89	REM_to_Wake	20760.0	5283840	5345280	5283840	5345280	0	0	pass
11	sub-2	89	Wake_to_REM	21210.0	5399040	5460480	5399040	5460480	0	0	pass
12	sub-2	89	REM_to_Wake	21330.0	5429760	5491200	5429760	5491200	0	0	pass
13	sub-2	89	REM_to_Wake	24930.0	6351360	6412800	6351360	6412800	0	0	pass
14	sub-2	89	REM_to_Wake	25110.0	6397440	6458880	6397440	6458880	0	0	pass
15	sub-3	1	REM_to_Wake	17850.0	4538880	4600320	4538880	4600320	0	0	pass
16	sub-3	1	REM_to_Wake	19530.0	4968960	5030400	4968960	5030400	0	0	pass
17	sub-3	1	REM_to_Wake	23700.0	6036480	6097920	6036480	6097920	0	0	pass
18	sub-3	1	Wake_to_REM	23760.0	6051840	6113280	6051840	6113280	0	0	pass
19	sub-3	1	REM_to_Wake	23970.0	6105600	6167040	6105600	6167040	0	0	pass
20	sub-3	1	Wake_to_REM	24000.0	6113280	6174720	6113280	6174720	0	0	pass
21	sub-3	1	REM_to_Wake	24840.0	6328320	6389760	6328320	6389760	0	0	pass
22	sub-4	2	REM_to_Wake	18150.0	4615680	4677120	4615680	4677120	0	0	pass
23	sub-4	2	REM_to_Wake	22200.0	5652480	5713920	5652480	5713920	0	0	pass
24	sub-5	3	REM_to_Wake	16170.0	4108800	4170240	4108800	4170240	0	0	pass
25	sub-5	3	Wake_to_REM	16200.0	4116480	4177920	4116480	4177920	0	0	pass
26	sub-5	3	REM_to_Wake	16380.0	4162560	4224000	4162560	4224000	0	0	pass
27	sub-5	3	REM_to_Wake	21900.0	5575680	5637120	5575680	5637120	0	0	pass
28	sub-5	3	Wake_to_REM	21930.0	5583360	5644800	5583360	5644800	0	0	pass
29	sub-5	3	REM_to_Wake	22380.0	5698560	5760000	5698560	5760000	0	0	pass
30	sub-6	4	REM_to_Wake	18750.0	4769280	4830720	4769280	4830720	0	0	pass
31	sub-7	5	REM_to_Wake	15540.0	3947520	4008960	3947520	4008960	0	0	pass
32	sub-7	5	REM_to_Wake	21510.0	5475840	5537280	5475840	5537280	0	0	pass
33	sub-7	5	Wake_to_REM	21540.0	5483520	5544960	5483520	5544960	0	0	pass
34	sub-7	5	REM_to_Wake	26370.0	6720000	6781440	6720000	6781440	0	0	pass
