subject	participant_id	pid	window_source	exclude	include	review
sub-1	sub-1	89	background_review	11	19	8
sub-1	sub-1	89	transition	5	0	0
sub-10	sub-10	91	background_review	0	30	8
sub-100	sub-100	67	background_review	0	16	11
sub-100	sub-100	67	transition	0	0	7
sub-101	sub-101	68	background_review	0	22	11
sub-101	sub-101	68	transition	0	2	6
sub-102	sub-102	69	background_review	0	17	9
sub-102	sub-102	69	transition	0	0	4
sub-103	sub-103	71	background_review	0	16	22
sub-104	sub-104	72	background_review	0	32	5
sub-104	sub-104	72	transition	0	0	2
sub-105	sub-105	73	background_review	0	29	8
sub-105	sub-105	73	transition	0	1	2
sub-106	sub-106	74	background_review	0	22	16
sub-106	sub-106	74	transition	0	0	2
sub-107	sub-107	75	background_review	0	24	15
sub-107	sub-107	75	transition	0	0	1
sub-108	sub-108	76	background_review	0	37	4
sub-108	sub-108	76	transition	0	0	3
sub-109	sub-109	96	background_review	0	27	9
sub-109	sub-109	96	transition	0	4	2
sub-11	sub-11	8	background_review	0	19	17
sub-11	sub-11	8	transition	0	0	3
sub-110	sub-110	96	background_review	0	15	21
sub-110	sub-110	96	transition	0	0	4
sub-111	sub-111	96	background_review	0	18	14
sub-111	sub-111	96	transition	0	4	2
sub-112	sub-112	97	background_review	0	21	6
sub-112	sub-112	97	transition	0	2	2
sub-113	sub-113	97	background_review	0	20	7
sub-113	sub-113	97	transition	0	1	2
sub-114	sub-114	97	background_review	0	22	8
sub-114	sub-114	97	transition	0	0	1
sub-115	sub-115	98	background_review	0	23	6
sub-115	sub-115	98	transition	0	1	0
sub-116	sub-116	98	background_review	0	20	8
sub-116	sub-116	98	transition	0	0	3
sub-117	sub-117	98	background_review	0	9	19
sub-117	sub-117	98	transition	0	3	5
sub-118	sub-118	99	background_review	0	22	9
sub-118	sub-118	99	transition	0	0	3
sub-119	sub-119	99	background_review	0	15	13
sub-119	sub-119	99	transition	0	0	3
sub-12	sub-12	92	background_review	0	24	7
sub-12	sub-12	92	transition	0	2	9
sub-120	sub-120	99	background_review	0	26	8
sub-120	sub-120	99	transition	1	2	2
sub-121	sub-121	100	background_review	0	20	14
sub-121	sub-121	100	transition	0	0	1
sub-122	sub-122	101	background_review	0	25	9
sub-123	sub-123	102	background_review	0	19	18
sub-123	sub-123	102	transition	0	0	3
sub-124	sub-124	15	background_review	0	24	4
sub-124	sub-124	15	transition	0	1	5
sub-125	sub-125	104	background_review	0	18	9
sub-125	sub-125	104	transition	0	0	3
sub-126	sub-126	106	background_review	0	15	22
sub-126	sub-126	106	transition	0	0	8
sub-127	sub-127	107	background_review	0	20	19
sub-127	sub-127	107	transition	0	0	1
sub-128	sub-128	108	background_review	0	29	10
sub-128	sub-128	108	transition	0	1	0
sub-13	sub-13	91	background_review	5	32	1
sub-14	sub-14	9	background_review	0	12	24
sub-14	sub-14	9	transition	1	0	3
sub-15	sub-15	10	background_review	0	23	12
sub-15	sub-15	10	transition	0	0	5
