preprocessing_version	subject	pid	input_samples	output_samples	input_duration_sec	output_duration_sec	duration_error_sec	raw_finite_fraction	filtered_finite_fraction	recording_check_decision
v0.1	sub-3	1	7659776	3829888	29921.0	29921.0	0.0	1.0	1.0	pass
v0.1	sub-8	6	3146240	1573120	12290.0	12290.0	0.0	1.0	1.0	pass
v0.1	sub-10	91	7631616	3815808	29811.0	29811.0	0.0	1.0	1.0	pass
v0.1	sub-11	8	7568128	3784064	29563.0	29563.0	0.0	1.0	1.0	pass
v0.1	sub-12	92	7783424	3891712	30404.0	30404.0	0.0	1.0	1.0	pass
v0.1	sub-13	91	7663360	3831680	29935.0	29935.0	0.0	1.0	1.0	pass
v0.1	sub-14	9	8220928	4110464	32113.0	32113.0	0.0	1.0	1.0	pass
v0.1	sub-15	10	8403712	4201856	32827.0	32827.0	0.0	1.0	1.0	pass
v0.1	sub-16	11	7898880	3949440	30855.0	30855.0	0.0	1.0	1.0	pass
v0.1	sub-17	92	7584768	3792384	29628.0	29628.0	0.0	1.0	1.0	pass
v0.1	sub-19	93	7776512	3888256	30377.0	30377.0	0.0	1.0	1.0	pass
v0.1	sub-20	13	8052480	4026240	31455.0	31455.0	0.0	1.0	1.0	pass
v0.1	sub-21	93	8012544	4006272	31299.0	31299.0	0.0	1.0	1.0	pass
v0.1	sub-22	14	7945472	3972736	31037.0	31037.0	0.0	1.0	1.0	pass
v0.1	sub-24	16	7168512	3584256	28002.0	28002.0	0.0	1.0	1.0	pass
v0.1	sub-27	19	7311616	3655808	28561.0	28561.0	0.0	1.0	1.0	pass
v0.1	sub-28	20	6598144	3299072	25774.0	25774.0	0.0	1.0	1.0	pass
v0.1	sub-29	21	8510464	4255232	33244.0	33244.0	0.0	1.0	1.0	pass
v0.1	sub-30	94	6408192	3204096	25032.0	25032.0	0.0	1.0	1.0	pass
v0.1	sub-31	95	6533888	3266944	25523.0	25523.0	0.0	1.0	1.0	pass
v0.1	sub-33	84	6733056	3366528	26301.0	26301.0	0.0	1.0	1.0	pass
v0.1	sub-36	84	6873600	3436800	26850.0	26850.0	0.0	1.0	1.0	pass
v0.1	sub-38	87	6540800	3270400	25550.0	25550.0	0.0	1.0	1.0	pass
v0.1	sub-39	85	6966528	3483264	27213.0	27213.0	0.0	1.0	1.0	pass
v0.1	sub-42	84	6871040	3435520	26840.0	26840.0	0.0	1.0	1.0	pass
v0.1	sub-43	87	6452480	3226240	25205.0	25205.0	0.0	1.0	1.0	pass
v0.1	sub-45	24	6308352	3154176	24642.0	24642.0	0.0	1.0	1.0	pass
v0.1	sub-47	87	6236672	3118336	24362.0	24362.0	0.0	1.0	1.0	pass
v0.1	sub-49	29	6933760	3466880	27085.0	27085.0	0.0	1.0	1.0	pass
v0.1	sub-52	31	7094272	3547136	27712.0	27712.0	0.0	1.0	1.0	pass
v0.1	sub-56	78	7359232	3679616	28747.0	28747.0	0.0	1.0	1.0	pass
v0.1	sub-58	78	7721472	3860736	30162.0	30162.0	0.0	1.0	1.0	pass
v0.1	sub-59	79	8122880	4061440	31730.0	31730.0	0.0	1.0	1.0	pass
v0.1	sub-60	80	7087360	3543680	27685.0	27685.0	0.0	1.0	1.0	pass
v0.1	sub-61	79	7287552	3643776	28467.0	28467.0	0.0	1.0	1.0	pass
v0.1	sub-62	80	7550464	3775232	29494.0	29494.0	0.0	1.0	1.0	pass
v0.1	sub-63	81	6825216	3412608	26661.0	26661.0	0.0	1.0	1.0	pass
v0.1	sub-64	82	6804992	3402496	26582.0	26582.0	0.0	1.0	1.0	pass
v0.1	sub-65	81	6894080	3447040	26930.0	26930.0	0.0	1.0	1.0	pass
v0.1	sub-66	82	8306176	4153088	32446.0	32446.0	0.0	1.0	1.0	pass
v0.1	sub-67	32	7100672	3550336	27737.0	27737.0	0.0	1.0	1.0	pass
v0.1	sub-68	33	6687232	3343616	26122.0	26122.0	0.0	1.0	1.0	pass
v0.1	sub-69	34	7709696	3854848	30116.0	30116.0	0.0	1.0	1.0	pass
v0.1	sub-70	35	6833152	3416576	26692.0	26692.0	0.0	1.0	1.0	pass
v0.1	sub-71	36	8556800	4278400	33425.0	33425.0	0.0	1.0	1.0	pass
v0.1	sub-73	38	6644736	3322368	25956.0	25956.0	0.0	1.0	1.0	pass
v0.1	sub-74	39	7443200	3721600	29075.0	29075.0	0.0	1.0	1.0	pass
v0.1	sub-77	42	8281856	4140928	32351.0	32351.0	0.0	1.0	1.0	pass
v0.1	sub-78	43	6765312	3382656	26427.0	26427.0	0.0	1.0	1.0	pass
v0.1	sub-80	45	6304256	3152128	24626.0	24626.0	0.0	1.0	1.0	pass
v0.1	sub-81	46	6955776	3477888	27171.0	27171.0	0.0	1.0	1.0	pass
v0.1	sub-83	50	6998784	3499392	27339.0	27339.0	0.0	1.0	1.0	pass
v0.1	sub-84	51	7816448	3908224	30533.0	30533.0	0.0	1.0	1.0	pass
v0.1	sub-86	53	7254272	3627136	28337.0	28337.0	0.0	1.0	1.0	pass
v0.1	sub-87	54	7357184	3678592	28739.0	28739.0	0.0	1.0	1.0	pass
v0.1	sub-91	58	7847424	3923712	30654.0	30654.0	0.0	1.0	1.0	pass
v0.1	sub-92	59	7592960	3796480	29660.0	29660.0	0.0	1.0	1.0	pass
v0.1	sub-93	60	6750464	3375232	26369.0	26369.0	0.0	1.0	1.0	pass
v0.1	sub-94	61	7720704	3860352	30159.0	30159.0	0.0	1.0	1.0	pass
v0.1	sub-95	62	7552512	3776256	29502.0	29502.0	0.0	1.0	1.0	pass
v0.1	sub-96	63	7460096	3730048	29141.0	29141.0	0.0	1.0	1.0	pass
v0.1	sub-98	65	6920192	3460096	27032.0	27032.0	0.0	1.0	1.0	pass
v0.1	sub-99	66	8208384	4104192	32064.0	32064.0	0.0	1.0	1.0	pass
v0.1	sub-100	67	7653888	3826944	29898.0	29898.0	0.0	1.0	1.0	pass
v0.1	sub-101	68	7186176	3593088	28071.0	28071.0	0.0	1.0	1.0	pass
v0.1	sub-103	71	6590208	3295104	25743.0	25743.0	0.0	1.0	1.0	pass
v0.1	sub-104	72	6443520	3221760	25170.0	25170.0	0.0	1.0	1.0	pass
v0.1	sub-107	75	7315712	3657856	28577.0	28577.0	0.0	1.0	1.0	pass
v0.1	sub-108	76	7688448	3844224	30033.0	30033.0	0.0	1.0	1.0	pass
v0.1	sub-109	96	6479104	3239552	25309.0	25309.0	0.0	1.0	1.0	pass
v0.1	sub-110	96	7323904	3661952	28609.0	28609.0	0.0	1.0	1.0	pass
v0.1	sub-111	96	7385088	3692544	28848.0	28848.0	0.0	1.0	1.0	pass
v0.1	sub-115	98	6591488	3295744	25748.0	25748.0	0.0	1.0	1.0	pass
v0.1	sub-116	98	6708224	3354112	26204.0	26204.0	0.0	1.0	1.0	pass
v0.1	sub-117	98	6092544	3046272	23799.0	23799.0	0.0	1.0	1.0	pass
v0.1	sub-118	99	6867200	3433600	26825.0	26825.0	0.0	1.0	1.0	pass
v0.1	sub-119	99	6902016	3451008	26961.0	26961.0	0.0	1.0	1.0	pass
v0.1	sub-120	99	6059776	3029888	23671.0	23671.0	0.0	1.0	1.0	pass
v0.1	sub-121	100	6861056	3430528	26801.0	26801.0	0.0	1.0	1.0	pass
v0.1	sub-122	101	6728192	3364096	26282.0	26282.0	0.0	1.0	1.0	pass
v0.1	sub-125	104	7508736	3754368	29331.0	29331.0	0.0	1.0	1.0	pass
v0.1	sub-128	108	6309888	3154944	24648.0	24648.0	0.0	1.0	1.0	pass
