audit_version	check	passed	observed	expected
v0.1	transition_label_rows	True	476	476
v0.1	transition_label_unique_ids	True	476	476
v0.1	transition_quality_rows	True	476	476
v0.1	transition_quality_unique_ids	True	476	476
v0.1	transition_membership_rows	True	476	476
v0.1	transition_membership_unique_ids	True	476	476
v0.1	transition_label_quality_id_set	True	476	476
v0.1	transition_label_quality_subject	True	0	0
v0.1	transition_label_quality_participant_id	True	0	0
v0.1	transition_label_quality_pid	True	0	0
v0.1	transition_label_quality_transition_type	True	0	0
v0.1	transition_label_quality_is_primary_label	True	0	0
v0.1	transition_start_sample_linkage	True	0	0
v0.1	transition_stop_sample_linkage	True	0	0
v0.1	transition_quality_membership_id_set	True	476	476
v0.1	transition_quality_membership_subject	True	0	0
v0.1	transition_quality_membership_participant_id	True	0	0
v0.1	transition_quality_membership_pid	True	0	0
v0.1	transition_quality_membership_transition_type	True	0	0
v0.1	transition_quality_membership_is_primary_label	True	0	0
v0.1	transition_quality_membership_preprocessing_decision	True	0	0
v0.1	background_source_rows	True	4302	4302
v0.1	background_source_unique_ids	True	4302	4302
v0.1	background_quality_rows	True	4302	4302
v0.1	background_quality_unique_ids	True	4302	4302
v0.1	background_membership_rows	True	4302	4302
v0.1	background_membership_unique_ids	True	4302	4302
v0.1	background_source_quality_id_set	True	4302	4302
v0.1	background_source_quality_subject	True	0	0
v0.1	background_source_quality_participant_id	True	0	0
v0.1	background_source_quality_pid	True	0	0
v0.1	background_source_quality_background_tier	True	0	0
v0.1	background_start_sample_linkage	True	0	0
v0.1	background_stop_sample_linkage	True	0	0
v0.1	background_quality_membership_id_set	True	4302	4302
v0.1	background_quality_membership_subject	True	0	0
v0.1	background_quality_membership_participant_id	True	0	0
v0.1	background_quality_membership_pid	True	0	0
v0.1	background_quality_membership_background_tier	True	0	0
v0.1	background_quality_membership_preprocessing_decision	True	0	0
v0.1	split_pid_rows	True	100	100
v0.1	split_unique_pid	True	100	100
v0.1	split_participant_leakage	True	0	0
v0.1	split_recording_assignments	True	128	128
v0.1	split_assignment_sha256	True	52450EDA07795D198E2722D4D804E71D0E17A8A4B62BA5AF93AE811B211D83A7	52450EDA07795D198E2722D4D804E71D0E17A8A4B62BA5AF93AE811B211D83A7
v0.1	transition_membership_partition	True	0	0
v0.1	transition_membership_tier_mapping	True	0	0
v0.1	transition_primary_eligibility_mapping	True	0	0
v0.1	transition_expanded_eligibility_mapping	True	0	0
v0.1	background_membership_partition	True	0	0
v0.1	background_membership_tier_mapping	True	0	0
v0.1	background_primary_eligibility_mapping	True	0	0
v0.1	background_expanded_eligibility_mapping	True	0	0
v0.1	preprocessing_expected_train_windows	True	3063	3063
v0.1	preprocessing_actual_train_windows	True	3063	3063
v0.1	preprocessing_unique_window_keys	True	3063	3063
v0.1	preprocessing_exact_window_set	True	0	0
v0.1	preprocessing_window_subject	True	0	0
v0.1	preprocessing_window_participant_id	True	0	0
v0.1	preprocessing_window_pid	True	0	0
v0.1	preprocessing_window_label_class	True	0	0
v0.1	preprocessing_window_quality_decision	True	0	0
v0.1	preprocessing_nontrain_windows	True	0	0
v0.1	preprocessing_critical_windows	True	0	0
v0.1	preprocessing_input_geometry	True	0	0
v0.1	preprocessing_output_geometry	True	0	0
v0.1	preprocessing_window_decisions	True	0	0
v0.1	preprocessing_window_versions	True	0	0
v0.1	preprocessing_exact_recording_set	True	rows=82; set_failures=0	rows=82; set_failures=0
v0.1	preprocessing_recording_pid	True	0	0
v0.1	preprocessing_recording_decisions	True	0	0
