audit_version	artifact_role	relative_path	bytes	data_rows	sha256_lf_normalized
v0.1	transition_label_spec	docs/labels/transition_label_spec_v0.1.md	4121	not_applicable	501D84F90E4A9086D78D92EAC850F3E7800D92F30EFC9E7AF93F65D9E3270580
v0.1	transition_labels	labels/transition_labels_v0.1/transition_labels_v0.1.tsv	151010	476	2B7142893DCDE931DC7B5F44057A1F4C912E1EAC9823DF3058C5617F3599636A
v0.1	background_spec	docs/labels/background_window_spec_v0.1.md	2437	not_applicable	A98A30045A05843D0E0C33F9FFBB83BF6D0E801B27146DBC650CA8C085933F02
v0.1	background_review	labels/background_windows_v0.1/background_review_windows_v0.1.tsv	1086933	4302	3ADB3C071F2A571422ECB790B1E6D62010C21FC351A7501F684DAFF0E199BCC5
v0.1	quality_spec	docs/labels/signal_quality_flag_spec_v0.3.md	2179	not_applicable	5BBB871C3CA906B53C8C20249E4988B626459DF2F01622380C34B8B81F370498
v0.1	transition_quality	labels/signal_quality_flags_v0.3/transition_window_quality_flags_v0.3.tsv	134745	476	9477D2075A6B37FD1B4FD79FFB35584AD90D7022F2117443358A885872858F08
v0.1	background_quality	labels/signal_quality_flags_v0.3/background_window_quality_flags_v0.3.tsv	1081904	4302	FFCDE9BF9E69660EA59E321E55448E4137990C8501CC6AF8E756D33135989B29
v0.1	split_spec	docs/splits/grouped_pid_split_spec_v0.1.md	3376	not_applicable	0D4E48C3AB1219AECDCDAAF013510A544C3054168BF0B09C4874BDBDE369D915
v0.1	split_assignments	splits/grouped_pid_split_v0.1/pid_split_assignments_v0.1.tsv	12560	100	52450EDA07795D198E2722D4D804E71D0E17A8A4B62BA5AF93AE811B211D83A7
v0.1	membership_spec	docs/labels/quality_analysis_membership_spec_v0.1.md	3427	not_applicable	CAC859A53CE3870D4F8E4D2D066FA63247C9B3DA7365736937E728073D1C33B8
v0.1	transition_membership	labels/quality_analysis_membership_v0.1/transition_analysis_membership_v0.1.tsv	47624	476	3436FC6503B75CE39A56C7353E619A264070C4D68D90E71F0458CD3375423FC7
v0.1	background_membership	labels/quality_analysis_membership_v0.1/background_analysis_membership_v0.1.tsv	462626	4302	BD4F56BF1778910C33256A197D49D7A74E99D3028446BB30078BEF86D8963977
v0.1	preprocessing_spec	docs/preprocessing/minimal_wearable_eeg_preprocessing_spec_v0.2.md	1792	not_applicable	D7F7491E8178E7349C1A3C5503AA53C8628669ADB36DC3BF30C506B62F722121
v0.1	preprocessing_filter	experiments/2026-07-15_minimal_preprocessing_v0.2/filter_response_v0.2.tsv	659	8	12F4FB2FEE4C40304FB135C60737991C26E86F6C69CED4D9399CF488FDC0E662
v0.1	preprocessing_synthetic	experiments/2026-07-15_minimal_preprocessing_v0.2/synthetic_frequency_checks_v0.2.tsv	245	3	0EBDD32CAF190AA8497715B3E71A62053FE296CECBCCE5A61AA48B6BC03F57DB
v0.1	preprocessing_recordings	experiments/2026-07-15_minimal_preprocessing_v0.2/train_recording_preprocessing_checks_v0.2.tsv	5539	82	B0F404805F77880590187FB1D4CE7104BF24CBE1E599EDFB1B00A3B13A421457
v0.1	preprocessing_scaler	experiments/2026-07-15_minimal_preprocessing_v0.2/train_robust_scaler_v0.2.tsv	285	2	AACB8300ECF70479EDBEB1395FDB5EFC9FFDE843DD263D6D59CAA67E96A1B5C2
v0.1	preprocessing_windows	experiments/2026-07-15_minimal_preprocessing_v0.2/train_window_preprocessing_checks_v0.2.tsv	2379505	3063	9A0C2FCC819EF66BDC538C458AD04D68BC20E9692EE2A0D91C34691073AE96BF
v0.1	preprocessing_summary	experiments/2026-07-15_minimal_preprocessing_v0.2/train_window_preprocessing_summary_v0.2.tsv	807	12	A40A5F17F5617C9E9774828318A5E31642F67202F59A41E796457F4C906283B3
