comparator	model_version	provenance_role	partition	membership	tolerance_sec	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	test	expanded	15.0	26	20	70	77	27	50	43	0	191.625	0.3506493506493506	0.3857142857142857	0.3673469387755102	0.2609262883235486	0.0	0.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	test	expanded	15.0	26	20	70	420	12	408	58	0	200.975	0.0285714285714285	0.1714285714285714	0.0489795918367346	2.030103246672472	0.0	0.0
SF-C	v0.1	transparent_participant_grouped_primary	test	expanded	15.0	26	20	70	414	21	393	49	0	199.575	0.0507246376811594	0.3	0.0867768595041322	1.969184517098835	0.0	0.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	test	expanded	45.0	26	20	70	77	37	40	33	0	191.625	0.4805194805194805	0.5285714285714286	0.5034013605442177	0.2087410306588388	0.0	30.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	test	expanded	45.0	26	20	70	420	18	402	52	0	200.975	0.0428571428571428	0.2571428571428571	0.073469387755102	2.0002487871625823	0.0	30.0
SF-C	v0.1	transparent_participant_grouped_primary	test	expanded	45.0	26	20	70	414	29	385	41	0	199.575	0.0700483091787439	0.4142857142857143	0.1198347107438016	1.9290993360891893	0.0	30.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	test	primary	15.0	26	20	59	77	25	50	34	2	191.625	0.3333333333333333	0.423728813559322	0.373134328358209	0.2609262883235486	0.0	0.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	test	primary	15.0	26	20	59	420	8	408	51	4	200.975	0.0192307692307692	0.135593220338983	0.0336842105263157	2.030103246672472	0.0	0.0
SF-C	v0.1	transparent_participant_grouped_primary	test	primary	15.0	26	20	59	414	18	393	41	3	199.575	0.0437956204379562	0.3050847457627119	0.076595744680851	1.969184517098835	0.0	0.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	test	primary	45.0	26	20	59	77	34	40	25	3	191.625	0.4594594594594595	0.576271186440678	0.5112781954887218	0.2087410306588388	0.0	30.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	test	primary	45.0	26	20	59	420	13	402	46	5	200.975	0.0313253012048192	0.2203389830508474	0.0548523206751054	2.0002487871625823	0.0	30.0
SF-C	v0.1	transparent_participant_grouped_primary	test	primary	45.0	26	20	59	414	25	385	34	4	199.575	0.0609756097560975	0.423728813559322	0.1066098081023454	1.9290993360891893	0.0	30.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	train	expanded	15.0	82	64	227	257	53	201	174	3	614.2416666666668	0.2086614173228346	0.2334801762114537	0.2203742203742204	0.3272327666906347	0.0	0.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	train	expanded	15.0	82	64	227	1703	44	1658	183	1	635.0416666666666	0.0258519388954171	0.1938325991189427	0.0456194919647485	2.610852306279116	0.0	0.0
SF-C	v0.1	transparent_participant_grouped_primary	train	expanded	15.0	82	64	227	1556	84	1470	143	2	631.3416666666668	0.054054054054054	0.3700440528634361	0.0943290286355979	2.328374757460962	0.0	0.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	train	expanded	45.0	82	64	227	257	81	172	146	4	614.2416666666668	0.3201581027667984	0.3568281938325991	0.3375	0.2800200789591501	0.0	30.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	train	expanded	45.0	82	64	227	1703	76	1625	151	2	635.0416666666666	0.0446796002351557	0.3348017621145374	0.0788381742738589	2.558887212125189	0.0	30.0
SF-C	v0.1	transparent_participant_grouped_primary	train	expanded	45.0	82	64	227	1556	120	1434	107	2	631.3416666666668	0.0772200772200772	0.5286343612334802	0.1347557551937113	2.271353334829265	0.0	30.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	train	primary	15.0	82	64	180	257	44	201	136	12	614.2416666666668	0.1795918367346938	0.2444444444444444	0.2070588235294117	0.3272327666906347	0.0	0.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	train	primary	15.0	82	64	180	1703	33	1658	147	12	635.0416666666666	0.0195150798344175	0.1833333333333333	0.0352752538749331	2.610852306279116	0.0	0.0
SF-C	v0.1	transparent_participant_grouped_primary	train	primary	15.0	82	64	180	1556	63	1470	117	23	631.3416666666668	0.0410958904109589	0.35	0.073555166374781	2.328374757460962	0.0	0.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	train	primary	45.0	82	64	180	257	65	172	115	20	614.2416666666668	0.2742616033755274	0.3611111111111111	0.3117505995203837	0.2800200789591501	0.0	30.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	train	primary	45.0	82	64	180	1703	55	1625	125	23	635.0416666666666	0.0327380952380952	0.3055555555555556	0.0591397849462365	2.558887212125189	0.0	30.0
SF-C	v0.1	transparent_participant_grouped_primary	train	primary	45.0	82	64	180	1556	92	1434	88	30	631.3416666666668	0.0602883355176933	0.5111111111111111	0.107854630715123	2.271353334829265	0.0	30.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	validation	expanded	15.0	20	16	51	55	12	43	39	0	147.66666666666666	0.2181818181818181	0.2352941176470588	0.2264150943396226	0.291196388261851	0.0	0.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	validation	expanded	15.0	20	16	51	355	4	351	47	0	160.50833333333333	0.0112676056338028	0.0784313725490196	0.0197044334975369	2.1868023467109703	0.0	0.0
SF-C	v0.1	transparent_participant_grouped_primary	validation	expanded	15.0	20	16	51	358	13	345	38	0	159.74166666666665	0.0363128491620111	0.2549019607843137	0.0635696821515892	2.1597370754864627	0.0	0.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	validation	expanded	45.0	20	16	51	55	17	38	34	0	147.66666666666666	0.3090909090909091	0.3333333333333333	0.320754716981132	0.2573363431151241	0.0	30.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	validation	expanded	45.0	20	16	51	355	9	346	42	0	160.50833333333333	0.0253521126760563	0.1764705882352941	0.0443349753694581	2.155651316131042	30.0	30.0
SF-C	v0.1	transparent_participant_grouped_primary	validation	expanded	45.0	20	16	51	358	21	337	30	0	159.74166666666665	0.0586592178770949	0.4117647058823529	0.1026894865525672	2.1096562157650376	0.0	30.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	validation	primary	15.0	20	16	37	55	10	43	27	2	147.66666666666666	0.1886792452830188	0.2702702702702703	0.2222222222222222	0.291196388261851	0.0	0.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	validation	primary	15.0	20	16	37	355	4	351	33	0	160.50833333333333	0.0112676056338028	0.1081081081081081	0.0204081632653061	2.1868023467109703	0.0	0.0
SF-C	v0.1	transparent_participant_grouped_primary	validation	primary	15.0	20	16	37	358	10	345	27	3	159.74166666666665	0.028169014084507	0.2702702702702703	0.0510204081632653	2.1597370754864627	0.0	0.0
SF-A	v0.1	fixed_descriptive_unknown_training_provenance	validation	primary	45.0	20	16	37	55	14	38	23	3	147.66666666666666	0.2692307692307692	0.3783783783783784	0.3146067415730337	0.2573363431151241	0.0	30.0
SF-B	v0.1	transparent_participant_grouped_epoch_ablation	validation	primary	45.0	20	16	37	355	7	346	30	2	160.50833333333333	0.0198300283286118	0.1891891891891892	0.0358974358974358	2.155651316131042	0.0	30.0
SF-C	v0.1	transparent_participant_grouped_primary	validation	primary	45.0	20	16	37	358	17	337	20	4	159.74166666666665	0.0480225988700565	0.4594594594594595	0.0869565217391304	2.1096562157650376	0.0	30.0
