comparator	partition	offset_category	eligible_matches	total_eligible_matches	fraction_of_matches
SF-A	test	30_seconds_early	4	34	0.11764705882352941
SF-A	test	30_seconds_late	5	34	0.14705882352941177
SF-A	test	exact	25	34	0.7352941176470589
SF-A	train	30_seconds_early	9	65	0.13846153846153847
SF-A	train	30_seconds_late	12	65	0.18461538461538463
SF-A	train	exact	44	65	0.676923076923077
SF-A	validation	30_seconds_early	1	14	0.07142857142857142
SF-A	validation	30_seconds_late	3	14	0.21428571428571427
SF-A	validation	exact	10	14	0.7142857142857143
SF-B	test	30_seconds_early	5	13	0.38461538461538464
SF-B	test	exact	8	13	0.6153846153846154
SF-B	train	30_seconds_early	21	55	0.38181818181818183
SF-B	train	30_seconds_late	1	55	0.01818181818181818
SF-B	train	exact	33	55	0.6
SF-B	validation	30_seconds_early	3	7	0.42857142857142855
SF-B	validation	exact	4	7	0.5714285714285714
SF-C	test	30_seconds_early	6	25	0.24
SF-C	test	30_seconds_late	1	25	0.04
SF-C	test	exact	18	25	0.72
SF-C	train	30_seconds_early	29	92	0.31521739130434784
SF-C	train	exact	63	92	0.6847826086956522
SF-C	validation	30_seconds_early	7	17	0.4117647058823529
SF-C	validation	exact	10	17	0.5882352941176471
