analysis_version	comparator	partition	predictor	outcome	recordings	spearman_rho	unadjusted_descriptive_p
v0.1	SF-B	test	predicted_all_stage_transitions_per_hour	false_alarms_per_hour	26	0.1819114405113087	0.3737856190688664
v0.1	SF-B	test	predicted_rem_bouts_per_hour	false_alarms_per_hour	26	0.6004445292065	0.0011821571459480092
v0.1	SF-B	test	predicted_to_human_all_transition_count_ratio	false_alarms_per_hour	26	0.2434604241429545	0.23072545689267906
v0.1	SF-B	test	mean_predicted_rem_bout_duration_sec	false_alarms_per_hour	26	0.4510172745007823	0.02074831354902714
v0.1	SF-B	train	predicted_all_stage_transitions_per_hour	false_alarms_per_hour	82	0.07635041741488238	0.49538785879037617
v0.1	SF-B	train	predicted_rem_bouts_per_hour	false_alarms_per_hour	82	0.4986231893126168	1.8653456751970448e-06
v0.1	SF-B	train	predicted_to_human_all_transition_count_ratio	false_alarms_per_hour	82	0.27603846387762027	0.0120649948620414
v0.1	SF-B	train	mean_predicted_rem_bout_duration_sec	false_alarms_per_hour	82	0.5929819979018591	4.362086289325936e-09
v0.1	SF-B	validation	predicted_all_stage_transitions_per_hour	false_alarms_per_hour	20	0.613533834586466	0.004013734729903659
v0.1	SF-B	validation	predicted_rem_bouts_per_hour	false_alarms_per_hour	20	0.7157894736842104	0.00038691327846311315
v0.1	SF-B	validation	predicted_to_human_all_transition_count_ratio	false_alarms_per_hour	20	0.4060150375939849	0.0756893721143978
v0.1	SF-B	validation	mean_predicted_rem_bout_duration_sec	false_alarms_per_hour	20	0.6566378802085733	0.0016614798088630943
v0.1	SF-C	test	predicted_all_stage_transitions_per_hour	false_alarms_per_hour	26	0.39829059829059826	0.04387622899069583
v0.1	SF-C	test	predicted_rem_bouts_per_hour	false_alarms_per_hour	26	0.5117948717948718	0.00752606800017063
v0.1	SF-C	test	predicted_to_human_all_transition_count_ratio	false_alarms_per_hour	26	0.27794871794871795	0.169183408053848
v0.1	SF-C	test	mean_predicted_rem_bout_duration_sec	false_alarms_per_hour	26	-0.06872969838867116	0.7386714858931848
v0.1	SF-C	train	predicted_all_stage_transitions_per_hour	false_alarms_per_hour	82	0.45929296075676085	1.4228143405873107e-05
v0.1	SF-C	train	predicted_rem_bouts_per_hour	false_alarms_per_hour	82	0.6866864044301636	1.064321133643646e-12
v0.1	SF-C	train	predicted_to_human_all_transition_count_ratio	false_alarms_per_hour	82	0.4772737174554236	5.797678638330336e-06
v0.1	SF-C	train	mean_predicted_rem_bout_duration_sec	false_alarms_per_hour	82	0.14522914178431418	0.19297435841098232
v0.1	SF-C	validation	predicted_all_stage_transitions_per_hour	false_alarms_per_hour	20	0.7624060150375939	9.311509889394973e-05
v0.1	SF-C	validation	predicted_rem_bouts_per_hour	false_alarms_per_hour	20	0.813533834586466	1.2867962423531951e-05
v0.1	SF-C	validation	predicted_to_human_all_transition_count_ratio	false_alarms_per_hour	20	0.47218045112781953	0.035542393671932
v0.1	SF-C	validation	mean_predicted_rem_bout_duration_sec	false_alarms_per_hour	20	0.2270676691729323	0.3356744310134179
