analysis_version	partition	pid	epochs_sf_b	macro_f1_sf_b	five_stage_macro_recall_sf_b	cohen_kappa_sf_b	epochs_sf_c	macro_f1_sf_c	five_stage_macro_recall_sf_c	cohen_kappa_sf_c	epochs_sf_c_minus_sf_b	macro_f1_sf_c_minus_sf_b	five_stage_macro_recall_sf_c_minus_sf_b	cohen_kappa_sf_c_minus_sf_b
v0.1	test	12	1047	0.3956597572810473	0.489835114672045	0.3474813031892031	1043	0.45095376842384977	0.5472549862169773	0.40114601577290265	-4	0.05529401114280247	0.05741987154493233	0.053664712583699536
v0.1	test	18	972	0.1656104555927047	0.2980126724958688	0.0852344533263677	968	0.2863826064949572	0.3535559561299323	0.20455584709227292	-4	0.12077215090225252	0.05554328363406347	0.11932139376590523
v0.1	test	22	918	0.2631710473854233	0.29712755402508906	0.275149819862086	886	0.2927096973417501	0.35042770712433635	0.33897953826386096	-32	0.029538649956326823	0.053300153099247294	0.06382971840177498
v0.1	test	23	850	0.4660202118536686	0.5807272173614737	0.4290977169941461	846	0.5713560235610612	0.6687445606159057	0.5384443047664091	-4	0.10533581170739259	0.088017343254432	0.10934658777226303
v0.1	test	26	967	0.3461600339557051	0.46744901875956957	0.26966247246245567	959	0.40997162960398903	0.5667631272357172	0.35605918236775935	-8	0.06381159564828393	0.09931410847614763	0.08639670990530368
v0.1	test	28	1047	0.5362422946054647	0.6035955138668178	0.5218440539508096	1039	0.5714104761816058	0.6661344413488083	0.5478168408949005	-8	0.0351681815761411	0.06253892748199052	0.025972786944090887
v0.1	test	30	895	0.414533410915478	0.5574145774613064	0.25292994665221336	891	0.4613758232791281	0.637596301241161	0.3159408740609724	-4	0.04684241236365011	0.08018172377985455	0.06301092740875902
v0.1	test	41	1048	0.6205946303162128	0.6602919138067653	0.6756987278835852	1044	0.6598221912700377	0.7388316420578546	0.7053367832795756	-4	0.03922756095382496	0.07853972825108924	0.029638055395990404
v0.1	test	52	1081	0.41168265725855635	0.5213674080061338	0.43856854598226713	1077	0.4585710456520512	0.608144844756996	0.4548106344429047	-4	0.04688838839349485	0.08677743675086225	0.01624208846063757
v0.1	test	56	974	0.41667077146130493	0.591408433106226	0.3822848329163253	970	0.4728627011723255	0.6609441204694766	0.4101447553278488	-4	0.05619192971102055	0.06953568736325055	0.027859922411523463
v0.1	test	57	1032	0.3802888014093734	0.3982641788558493	0.3517874896660472	1024	0.4602479485025609	0.5543803794786817	0.4245306286220525	-8	0.07995914709318752	0.15611620062283238	0.07274313895600526
v0.1	test	69	963	0.3669434296828811	0.44248397850663423	0.5329038244566994	959	0.37280526517059454	0.429966506971561	0.5646845211075806	-4	0.005861835487713463	-0.01251747153507321	0.031780696650881235
v0.1	test	74	878	0.5036936880852761	0.6040541628913723	0.47434461038536013	874	0.517240842845281	0.601656461034026	0.47166880555903345	-4	0.013547154760004898	-0.002397701857346224	-0.0026758048263266776
v0.1	test	77	2105	0.31099213056719677	0.4531975064880018	0.21999309351216367	2097	0.39209350289585954	0.5928093480111889	0.29514241915320505	-8	0.08110137232866277	0.13961184152318712	0.07514932564104138
v0.1	test	83	2614	0.4083287859850916	0.5211898019204211	0.444921486818855	2598	0.4826202764610487	0.554033022790372	0.5555310599652052	-16	0.07429149047595712	0.03284322086995095	0.11060957314635023
v0.1	test	86	1678	0.4778529274170974	0.509243684557372	0.5333318572816421	1662	0.5335481821882294	0.5592512636661083	0.6142420335320316	-16	0.05569525477113202	0.05000757910873632	0.08091017625038943
