comparator	partition	sequence_source	duration_bin	rem_bouts	total_rem_bouts	fraction_of_rem_bouts
SF-B	test	human	180_to_300_seconds	15	156	0.09615384615384616
SF-B	test	human	30_seconds	11	156	0.07051282051282051
SF-B	test	human	60_seconds	10	156	0.0641025641025641
SF-B	test	human	90_to_150_seconds	15	156	0.09615384615384616
SF-B	test	human	longer_than_300_seconds	105	156	0.6730769230769231
SF-B	test	predicted	180_to_300_seconds	51	1270	0.04015748031496063
SF-B	test	predicted	30_seconds	831	1270	0.6543307086614173
SF-B	test	predicted	60_seconds	203	1270	0.15984251968503937
SF-B	test	predicted	90_to_150_seconds	162	1270	0.12755905511811025
SF-B	test	predicted	longer_than_300_seconds	23	1270	0.01811023622047244
SF-B	train	human	180_to_300_seconds	60	474	0.12658227848101267
SF-B	train	human	30_seconds	29	474	0.06118143459915612
SF-B	train	human	60_seconds	25	474	0.052742616033755275
SF-B	train	human	90_to_150_seconds	44	474	0.09282700421940929
SF-B	train	human	longer_than_300_seconds	316	474	0.6666666666666666
SF-B	train	predicted	180_to_300_seconds	287	5918	0.048496113551875636
SF-B	train	predicted	30_seconds	3555	5918	0.6007096992227103
SF-B	train	predicted	60_seconds	1096	5918	0.18519770192632645
SF-B	train	predicted	90_to_150_seconds	872	5918	0.14734707671510647
SF-B	train	predicted	longer_than_300_seconds	108	5918	0.018249408583981074
SF-B	validation	human	180_to_300_seconds	19	106	0.1792452830188679
SF-B	validation	human	30_seconds	3	106	0.02830188679245283
SF-B	validation	human	60_seconds	6	106	0.05660377358490566
SF-B	validation	human	90_to_150_seconds	15	106	0.14150943396226415
SF-B	validation	human	longer_than_300_seconds	63	106	0.5943396226415094
SF-B	validation	predicted	180_to_300_seconds	36	1272	0.02830188679245283
SF-B	validation	predicted	30_seconds	839	1272	0.6595911949685535
SF-B	validation	predicted	60_seconds	208	1272	0.16352201257861634
SF-B	validation	predicted	90_to_150_seconds	166	1272	0.13050314465408805
SF-B	validation	predicted	longer_than_300_seconds	23	1272	0.018081761006289308
SF-C	test	human	180_to_300_seconds	15	156	0.09615384615384616
SF-C	test	human	30_seconds	11	156	0.07051282051282051
SF-C	test	human	60_seconds	11	156	0.07051282051282051
SF-C	test	human	90_to_150_seconds	14	156	0.08974358974358974
SF-C	test	human	longer_than_300_seconds	105	156	0.6730769230769231
SF-C	test	predicted	180_to_300_seconds	87	799	0.10888610763454318
SF-C	test	predicted	30_seconds	289	799	0.3617021276595745
SF-C	test	predicted	60_seconds	184	799	0.23028785982478098
SF-C	test	predicted	90_to_150_seconds	178	799	0.2227784730913642
SF-C	test	predicted	longer_than_300_seconds	61	799	0.07634543178973717
SF-C	train	human	180_to_300_seconds	61	473	0.12896405919661733
SF-C	train	human	30_seconds	29	473	0.0613107822410148
SF-C	train	human	60_seconds	25	473	0.052854122621564484
SF-C	train	human	90_to_150_seconds	43	473	0.09090909090909091
SF-C	train	human	longer_than_300_seconds	315	473	0.6659619450317125
SF-C	train	predicted	180_to_300_seconds	393	3189	0.12323612417685795
SF-C	train	predicted	30_seconds	1046	3189	0.3280025086233929
SF-C	train	predicted	60_seconds	679	3189	0.21291941047350266
SF-C	train	predicted	90_to_150_seconds	774	3189	0.2427093132643462
SF-C	train	predicted	longer_than_300_seconds	297	3189	0.09313264346190028
SF-C	validation	human	180_to_300_seconds	19	106	0.1792452830188679
SF-C	validation	human	30_seconds	3	106	0.02830188679245283
SF-C	validation	human	60_seconds	6	106	0.05660377358490566
SF-C	validation	human	90_to_150_seconds	15	106	0.14150943396226415
SF-C	validation	human	longer_than_300_seconds	63	106	0.5943396226415094
SF-C	validation	predicted	180_to_300_seconds	81	745	0.1087248322147651
SF-C	validation	predicted	30_seconds	262	745	0.3516778523489933
SF-C	validation	predicted	60_seconds	175	745	0.2348993288590604
SF-C	validation	predicted	90_to_150_seconds	179	745	0.24026845637583893
SF-C	validation	predicted	longer_than_300_seconds	48	745	0.06442953020134229
