comparator	partition	event_outcome	true_stage_pair_category	predicted_events	total_events_for_outcome	fraction_within_outcome
SF-B	test	eligible_match	true_rem_to_wake	8	8	1.0
SF-B	test	false_positive	human_other_to_wake	178	408	0.4362745098039216
SF-B	test	false_positive	human_rem_to_other	157	408	0.38480392156862747
SF-B	test	false_positive	no_human_stage_change	61	408	0.14950980392156862
SF-B	test	false_positive	other_human_stage_transition	12	408	0.029411764705882353
SF-B	test	ignored_quality_match	true_rem_to_wake	4	4	1.0
SF-B	train	eligible_match	true_rem_to_wake	33	33	1.0
SF-B	train	false_positive	human_other_to_wake	643	1658	0.38781664656212306
SF-B	train	false_positive	human_rem_to_other	573	1658	0.3455971049457177
SF-B	train	false_positive	no_human_stage_change	367	1658	0.22135102533172496
SF-B	train	false_positive	other_human_stage_transition	75	1658	0.04523522316043426
SF-B	train	ignored_quality_match	true_rem_to_wake	12	12	1.0
SF-B	validation	eligible_match	true_rem_to_wake	4	4	1.0
SF-B	validation	false_positive	human_other_to_wake	120	351	0.3418803418803419
SF-B	validation	false_positive	human_rem_to_other	141	351	0.4017094017094017
SF-B	validation	false_positive	no_human_stage_change	78	351	0.2222222222222222
SF-B	validation	false_positive	other_human_stage_transition	12	351	0.03418803418803419
SF-C	test	eligible_match	true_rem_to_wake	18	18	1.0
SF-C	test	false_positive	human_other_to_wake	158	393	0.4020356234096692
SF-C	test	false_positive	human_rem_to_other	148	393	0.37659033078880405
SF-C	test	false_positive	no_human_stage_change	66	393	0.16793893129770993
SF-C	test	false_positive	other_human_stage_transition	21	393	0.05343511450381679
SF-C	test	ignored_quality_match	true_rem_to_wake	3	3	1.0
SF-C	train	eligible_match	true_rem_to_wake	63	63	1.0
SF-C	train	false_positive	human_other_to_wake	547	1470	0.37210884353741497
SF-C	train	false_positive	human_rem_to_other	522	1470	0.3551020408163265
SF-C	train	false_positive	no_human_stage_change	343	1470	0.23333333333333334
SF-C	train	false_positive	other_human_stage_transition	58	1470	0.03945578231292517
SF-C	train	ignored_quality_match	true_rem_to_wake	23	23	1.0
SF-C	validation	eligible_match	true_rem_to_wake	10	10	1.0
SF-C	validation	false_positive	human_other_to_wake	106	345	0.3072463768115942
SF-C	validation	false_positive	human_rem_to_other	134	345	0.3884057971014493
SF-C	validation	false_positive	no_human_stage_change	87	345	0.25217391304347825
SF-C	validation	false_positive	other_human_stage_transition	18	345	0.05217391304347826
SF-C	validation	ignored_quality_match	true_rem_to_wake	3	3	1.0
