comparator	partition	membership	boundary_mechanism	reference_events	total_reference_events	fraction_of_references
SF-B	test	primary	both_target_endpoints_not_predicted	16	59	0.2711864406779661
SF-B	test	primary	detected_rem_to_wake	8	59	0.13559322033898305
SF-B	test	primary	following_wake_not_predicted	2	59	0.03389830508474576
SF-B	test	primary	preceding_rem_not_predicted	33	59	0.559322033898305
SF-B	train	primary	both_target_endpoints_not_predicted	46	180	0.25555555555555554
SF-B	train	primary	detected_rem_to_wake	33	180	0.18333333333333332
SF-B	train	primary	following_wake_not_predicted	23	180	0.12777777777777777
SF-B	train	primary	preceding_rem_not_predicted	78	180	0.43333333333333335
SF-B	validation	primary	both_target_endpoints_not_predicted	8	37	0.21621621621621623
SF-B	validation	primary	detected_rem_to_wake	4	37	0.10810810810810811
SF-B	validation	primary	following_wake_not_predicted	3	37	0.08108108108108109
SF-B	validation	primary	preceding_rem_not_predicted	22	37	0.5945945945945946
SF-C	test	primary	both_target_endpoints_not_predicted	9	59	0.15254237288135594
SF-C	test	primary	detected_rem_to_wake	18	59	0.3050847457627119
SF-C	test	primary	following_wake_not_predicted	4	59	0.06779661016949153
SF-C	test	primary	preceding_rem_not_predicted	28	59	0.4745762711864407
SF-C	train	primary	both_target_endpoints_not_predicted	26	180	0.14444444444444443
SF-C	train	primary	detected_rem_to_wake	63	180	0.35
SF-C	train	primary	following_wake_not_predicted	25	180	0.1388888888888889
SF-C	train	primary	preceding_rem_not_predicted	66	180	0.36666666666666664
SF-C	validation	primary	both_target_endpoints_not_predicted	2	37	0.05405405405405406
SF-C	validation	primary	detected_rem_to_wake	10	37	0.2702702702702703
SF-C	validation	primary	following_wake_not_predicted	5	37	0.13513513513513514
SF-C	validation	primary	preceding_rem_not_predicted	20	37	0.5405405405405406
SF-B	test	expanded	both_target_endpoints_not_predicted	18	70	0.2571428571428571
SF-B	test	expanded	detected_rem_to_wake	12	70	0.17142857142857143
SF-B	test	expanded	following_wake_not_predicted	2	70	0.02857142857142857
SF-B	test	expanded	preceding_rem_not_predicted	38	70	0.5428571428571428
SF-B	train	expanded	both_target_endpoints_not_predicted	63	227	0.2775330396475771
SF-B	train	expanded	detected_rem_to_wake	44	227	0.19383259911894274
SF-B	train	expanded	following_wake_not_predicted	26	227	0.1145374449339207
SF-B	train	expanded	preceding_rem_not_predicted	94	227	0.41409691629955947
SF-B	validation	expanded	both_target_endpoints_not_predicted	11	51	0.21568627450980393
SF-B	validation	expanded	detected_rem_to_wake	4	51	0.0784313725490196
SF-B	validation	expanded	following_wake_not_predicted	4	51	0.0784313725490196
SF-B	validation	expanded	preceding_rem_not_predicted	32	51	0.6274509803921569
SF-C	test	expanded	both_target_endpoints_not_predicted	12	70	0.17142857142857143
SF-C	test	expanded	detected_rem_to_wake	21	70	0.3
SF-C	test	expanded	following_wake_not_predicted	5	70	0.07142857142857142
SF-C	test	expanded	preceding_rem_not_predicted	32	70	0.45714285714285713
SF-C	train	expanded	both_target_endpoints_not_predicted	32	227	0.14096916299559473
SF-C	train	expanded	detected_rem_to_wake	84	227	0.3700440528634361
SF-C	train	expanded	following_wake_not_predicted	28	227	0.12334801762114538
SF-C	train	expanded	preceding_rem_not_predicted	83	227	0.3656387665198238
SF-C	validation	expanded	both_target_endpoints_not_predicted	5	51	0.09803921568627451
SF-C	validation	expanded	detected_rem_to_wake	13	51	0.2549019607843137
SF-C	validation	expanded	following_wake_not_predicted	8	51	0.1568627450980392
SF-C	validation	expanded	preceding_rem_not_predicted	25	51	0.49019607843137253
