comparator	model_version	partition	stage_code	stage	precision	recall	f1	support
SF-A	v0.1	test	0	Wake	0.9024231934227608	0.9095071958133448	0.9059513466550826	4586
SF-A	v0.1	test	1	N1	0.5260960334029228	0.302158273381295	0.3838537699923838	834
SF-A	v0.1	test	2	N2	0.8953744493392071	0.9304898519761942	0.912594477288034	13106
SF-A	v0.1	test	3	N3	0.5950054288816504	0.5649484536082474	0.5795875198307774	970
SF-A	v0.1	test	4	REM	0.8597560975609756	0.824791086350975	0.8419107193630936	3590
SF-B	v0.1	test	0	Wake	0.6026531901452937	0.5997485331098072	0.6011973532191996	4772
SF-B	v0.1	test	1	N1	0.0976416134009257	0.5181286549707602	0.1643175074183976	855
SF-B	v0.1	test	2	N2	0.9062166203802606	0.6188635203151215	0.7354687703177148	13709
SF-B	v0.1	test	3	N3	0.2103688933200398	0.6336336336336337	0.3158682634730539	999
SF-B	v0.1	test	4	REM	0.4732214228617106	0.309623430962343	0.374328169459374	3824
SF-C	v0.1	test	0	Wake	0.6370481927710844	0.6388349514563106	0.6379403210169127	4635
SF-C	v0.1	test	1	N1	0.1733628598544764	0.6416861826697893	0.2729763387297634	854
SF-C	v0.1	test	2	N2	0.8966474905772664	0.660529007745141	0.7606866374957927	13686
SF-C	v0.1	test	3	N3	0.2324267043447545	0.6586586586586587	0.3436031331592689	999
SF-C	v0.1	test	4	REM	0.5139186295503212	0.4401362326434372	0.4741744284504657	3817
SF-A	v0.1	train	0	Wake	0.8504554884098494	0.8605457698275075	0.8554708764289602	10957
SF-A	v0.1	train	1	N1	0.4554670528602462	0.2403515475735575	0.3146573286643321	2617
SF-A	v0.1	train	2	N2	0.9073197457812844	0.9160526606925544	0.911665290393614	45195
SF-A	v0.1	train	3	N3	0.6841715976331361	0.5873015873015873	0.6320464639562692	3150
SF-A	v0.1	train	4	REM	0.8020439061317184	0.8761266848590094	0.8374501047306644	12093
SF-B	v0.1	train	0	Wake	0.5512105904894617	0.5599398389808016	0.5555409260478384	11303
SF-B	v0.1	train	1	N1	0.0905671024170036	0.3569310600444774	0.1444752831745555	2698
SF-B	v0.1	train	2	N2	0.905932386650328	0.5400365237941777	0.6766903124200778	46545
SF-B	v0.1	train	3	N3	0.2000293621081993	0.8081257413997628	0.3206825536922624	3372
SF-B	v0.1	train	4	REM	0.4278366583541147	0.4428133569930634	0.4351961950059453	12398
SF-C	v0.1	train	0	Wake	0.5825207979246803	0.594703196347032	0.5885489628993629	10950
SF-C	v0.1	train	1	N1	0.1787030213706706	0.5398886827458256	0.268524499400203	2695
SF-C	v0.1	train	2	N2	0.9152605543132072	0.5812247181340907	0.7109619686800895	46476
SF-C	v0.1	train	3	N3	0.2264352689587103	0.8171564262392401	0.3546081020158433	3369
SF-C	v0.1	train	4	REM	0.4418979770145843	0.5310127604587305	0.4823740875243021	12382
SF-A	v0.1	validation	0	Wake	0.8493103448275862	0.8894907908992417	0.8689363203386841	2769
SF-A	v0.1	validation	1	N1	0.6695906432748538	0.2678362573099415	0.3826232247284878	855
SF-A	v0.1	validation	2	N2	0.916777452805105	0.9340798266209138	0.9253477658004204	11074
SF-A	v0.1	validation	3	N3	0.9322799097065464	0.5925394548063128	0.724561403508772	697
SF-A	v0.1	validation	4	REM	0.7698300283286119	0.9069670421360032	0.832790653131584	2397
SF-B	v0.1	validation	0	Wake	0.567590740211489	0.6485956890920966	0.6053955189757659	3062
SF-B	v0.1	validation	1	N1	0.0982032980556239	0.4389438943894389	0.160498793242156	909
SF-B	v0.1	validation	2	N2	0.9342623873873874	0.5564685168105978	0.6974935631338343	11927
SF-B	v0.1	validation	3	N3	0.2786647314949201	0.6744730679156908	0.3943854844231427	854
SF-B	v0.1	validation	4	REM	0.3708349666797334	0.3736176935229068	0.3722211292543773	2532
SF-C	v0.1	validation	0	Wake	0.5769780062839189	0.6760374832663989	0.6225920789027585	2988
SF-C	v0.1	validation	1	N1	0.2142557651991614	0.5627753303964758	0.310355299119344	908
SF-C	v0.1	validation	2	N2	0.9407674822837278	0.590367511327404	0.7254730112904058	11918
SF-C	v0.1	validation	3	N3	0.3119022316684378	0.6889671361502347	0.429407461594733	852
SF-C	v0.1	validation	4	REM	0.3252217997465145	0.5079176563737133	0.3965384021016844	2526
