validation_version	check	observed	expected	passed
v0.1	train_validation_contains_no_test_rows	train;validation	train;validation	True
v0.1	test_contains_only_test_rows	test	test	True
v0.1	participant_partition_overlap	0	0	True
v0.1	SF-B_train_macro_f1	0.426517054068	0.426517054068	True
v0.1	SF-B_train_balanced_accuracy	0.541569304242	0.541569304242	True
v0.1	SF-B_train_cohen_kappa	0.347015664559	0.347015664559	True
v0.1	SF-B_validation_macro_f1	0.445998897806	0.445998897806	True
v0.1	SF-B_validation_balanced_accuracy	0.538419772346	0.538419772346	True
v0.1	SF-B_validation_cohen_kappa	0.362817733732	0.362817733732	True
v0.1	SF-C_train_macro_f1	0.481003524104	0.481003524104	True
v0.1	SF-C_train_balanced_accuracy	0.612797156785	0.612797156785	True
v0.1	SF-C_train_cohen_kappa	0.403578773702	0.403578773702	True
v0.1	SF-C_validation_macro_f1	0.496873250602	0.496873250602	True
v0.1	SF-C_validation_balanced_accuracy	0.605213023503	0.605213023503	True
v0.1	SF-C_validation_cohen_kappa	0.416344369855	0.416344369855	True
v0.1	SF-B_test_macro_f1	0.438236012778	0.438236012778	True
v0.1	SF-B_test_balanced_accuracy	0.535999554598	0.535999554598	True
v0.1	SF-B_test_cohen_kappa	0.387432071766	0.387432071766	True
v0.1	SF-C_test_macro_f1	0.497876171770	0.497876171770	True
v0.1	SF-C_test_balanced_accuracy	0.607969006635	0.607969006635	True
v0.1	SF-C_test_cohen_kappa	0.451271837193	0.451271837193	True
v0.1	SF-B_train_primary_15s_reference_balance	180	180	True
v0.1	SF-B_train_primary_15s_prediction_balance	1703	1703	True
v0.1	SF-B_train_primary_45s_reference_balance	180	180	True
v0.1	SF-B_train_primary_45s_prediction_balance	1703	1703	True
v0.1	SF-B_train_expanded_15s_reference_balance	227	227	True
v0.1	SF-B_train_expanded_15s_prediction_balance	1703	1703	True
v0.1	SF-B_train_expanded_45s_reference_balance	227	227	True
v0.1	SF-B_train_expanded_45s_prediction_balance	1703	1703	True
v0.1	SF-B_validation_primary_15s_reference_balance	37	37	True
v0.1	SF-B_validation_primary_15s_prediction_balance	355	355	True
v0.1	SF-B_validation_primary_45s_reference_balance	37	37	True
v0.1	SF-B_validation_primary_45s_prediction_balance	355	355	True
v0.1	SF-B_validation_expanded_15s_reference_balance	51	51	True
v0.1	SF-B_validation_expanded_15s_prediction_balance	355	355	True
v0.1	SF-B_validation_expanded_45s_reference_balance	51	51	True
v0.1	SF-B_validation_expanded_45s_prediction_balance	355	355	True
v0.1	SF-C_train_primary_15s_reference_balance	180	180	True
v0.1	SF-C_train_primary_15s_prediction_balance	1556	1556	True
v0.1	SF-C_train_primary_45s_reference_balance	180	180	True
v0.1	SF-C_train_primary_45s_prediction_balance	1556	1556	True
v0.1	SF-C_train_expanded_15s_reference_balance	227	227	True
v0.1	SF-C_train_expanded_15s_prediction_balance	1556	1556	True
v0.1	SF-C_train_expanded_45s_reference_balance	227	227	True
v0.1	SF-C_train_expanded_45s_prediction_balance	1556	1556	True
v0.1	SF-C_validation_primary_15s_reference_balance	37	37	True
v0.1	SF-C_validation_primary_15s_prediction_balance	358	358	True
v0.1	SF-C_validation_primary_45s_reference_balance	37	37	True
v0.1	SF-C_validation_primary_45s_prediction_balance	358	358	True
v0.1	SF-C_validation_expanded_15s_reference_balance	51	51	True
v0.1	SF-C_validation_expanded_15s_prediction_balance	358	358	True
v0.1	SF-C_validation_expanded_45s_reference_balance	51	51	True
v0.1	SF-C_validation_expanded_45s_prediction_balance	358	358	True
v0.1	SF-B_test_primary_15s_reference_balance	59	59	True
v0.1	SF-B_test_primary_15s_prediction_balance	420	420	True
v0.1	SF-B_test_primary_45s_reference_balance	59	59	True
v0.1	SF-B_test_primary_45s_prediction_balance	420	420	True
v0.1	SF-B_test_expanded_15s_reference_balance	70	70	True
v0.1	SF-B_test_expanded_15s_prediction_balance	420	420	True
v0.1	SF-B_test_expanded_45s_reference_balance	70	70	True
v0.1	SF-B_test_expanded_45s_prediction_balance	420	420	True
v0.1	SF-C_test_primary_15s_reference_balance	59	59	True
v0.1	SF-C_test_primary_15s_prediction_balance	414	414	True
v0.1	SF-C_test_primary_45s_reference_balance	59	59	True
v0.1	SF-C_test_primary_45s_prediction_balance	414	414	True
v0.1	SF-C_test_expanded_15s_reference_balance	70	70	True
v0.1	SF-C_test_expanded_15s_prediction_balance	414	414	True
v0.1	SF-C_test_expanded_45s_reference_balance	70	70	True
v0.1	SF-C_test_expanded_45s_prediction_balance	414	414	True
v0.1	external_artifact_hashes	130	130	True
v0.1	external_artifact_count	130	130	True
