comparator	comparator_version	partition	membership	tolerance_sec	metric	resamples	seed	lower_95	median	upper_95
SF-A	v0.1	train	primary	15.0	precision	2000	20260815	0.12106137554703118	0.1788469527031037	0.23774483378256958
SF-A	v0.1	train	primary	15.0	recall	2000	20260815	0.17948369565217392	0.2436103975268864	0.3269261006289308
SF-A	v0.1	train	primary	15.0	f1	2000	20260815	0.14814307458143075	0.20651134757668965	0.2655009336689128
SF-A	v0.1	train	primary	15.0	false_alarms_per_hour	2000	20260815	0.2684084551218903	0.3267710252044702	0.3948632368050139
SF-A	v0.1	train	primary	45.0	precision	2000	20260815	0.19599583333333334	0.27309236947791166	0.3521401343842872
SF-A	v0.1	train	primary	45.0	recall	2000	20260815	0.2943856514568444	0.3618421052631579	0.45029462970403106
SF-A	v0.1	train	primary	45.0	f1	2000	20260815	0.24297222587863632	0.31105794790005314	0.3746566527920211
SF-A	v0.1	train	primary	45.0	false_alarms_per_hour	2000	20260815	0.22191357209486298	0.2780891441817228	0.34844114499159606
SF-A	v0.1	train	expanded	15.0	precision	2000	20260815	0.1474779997430627	0.20840694935217904	0.2698548947475985
SF-A	v0.1	train	expanded	15.0	recall	2000	20260815	0.17599739413680782	0.23260560037968675	0.3041874999999999
SF-A	v0.1	train	expanded	15.0	f1	2000	20260815	0.16325922018906966	0.21962616822429906	0.278118609406953
SF-A	v0.1	train	expanded	15.0	false_alarms_per_hour	2000	20260815	0.2684084551218903	0.3267710252044702	0.3948632368050139
SF-A	v0.1	train	expanded	45.0	precision	2000	20260815	0.24030232558139536	0.32015099382944234	0.40136514065085493
SF-A	v0.1	train	expanded	45.0	recall	2000	20260815	0.29599700374531834	0.35677033817737336	0.4316309987029831
SF-A	v0.1	train	expanded	45.0	f1	2000	20260815	0.27412730734648544	0.33771929824561403	0.39819055138834053
SF-A	v0.1	train	expanded	45.0	false_alarms_per_hour	2000	20260815	0.22191357209486298	0.2780891441817228	0.34844114499159606
SF-A	v0.1	validation	primary	15.0	precision	2000	20260815	0.047619047619047616	0.18421052631578946	0.38461538461538464
SF-A	v0.1	validation	primary	15.0	recall	2000	20260815	0.08885964912280703	0.2692307692307692	0.45714285714285713
SF-A	v0.1	validation	primary	15.0	f1	2000	20260815	0.0631174089068826	0.21621621621621623	0.3950689061154177
SF-A	v0.1	validation	primary	15.0	false_alarms_per_hour	2000	20260815	0.13865510504246	0.28140650223468644	0.5185027201573681
SF-A	v0.1	validation	primary	45.0	precision	2000	20260815	0.1046468240194377	0.2727272727272727	0.533414634146341
