comparator	comparator_version	partition	membership	tolerance_sec	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
SF-A	v0.1	train	primary	15.0	82	64	180	257	44	201	136	12	614.2416666666668	0.17959183673469387	0.24444444444444444	0.20705882352941177	0.3272327666906347	0.0	0.0
SF-A	v0.1	train	primary	45.0	82	64	180	257	65	172	115	20	614.2416666666668	0.2742616033755274	0.3611111111111111	0.3117505995203837	0.2800200789591501	0.0	30.0
SF-A	v0.1	train	expanded	15.0	82	64	227	257	53	201	174	3	614.2416666666668	0.20866141732283464	0.23348017621145375	0.2203742203742204	0.3272327666906347	0.0	0.0
SF-A	v0.1	train	expanded	45.0	82	64	227	257	81	172	146	4	614.2416666666668	0.3201581027667984	0.3568281938325991	0.3375	0.2800200789591501	0.0	30.0
SF-A	v0.1	validation	primary	15.0	20	16	37	55	10	43	27	2	147.66666666666666	0.18867924528301888	0.2702702702702703	0.2222222222222222	0.291196388261851	0.0	0.0
SF-A	v0.1	validation	primary	45.0	20	16	37	55	14	38	23	3	147.66666666666666	0.2692307692307692	0.3783783783783784	0.3146067415730337	0.25733634311512416	0.0	30.0
SF-A	v0.1	validation	expanded	15.0	20	16	51	55	12	43	39	0	147.66666666666666	0.21818181818181817	0.23529411764705882	0.22641509433962265	0.291196388261851	0.0	0.0
SF-A	v0.1	validation	expanded	45.0	20	16	51	55	17	38	34	0	147.66666666666666	0.3090909090909091	0.3333333333333333	0.32075471698113206	0.25733634311512416	0.0	30.0
SF-A	v0.1	test	primary	15.0	26	20	59	77	25	50	34	2	191.625	0.3333333333333333	0.423728813559322	0.373134328358209	0.2609262883235486	0.0	0.0
SF-A	v0.1	test	primary	45.0	26	20	59	77	34	40	25	3	191.625	0.4594594594594595	0.576271186440678	0.5112781954887218	0.20874103065883887	0.0	30.0
SF-A	v0.1	test	expanded	15.0	26	20	70	77	27	50	43	0	191.625	0.35064935064935066	0.38571428571428573	0.3673469387755102	0.2609262883235486	0.0	0.0
SF-A	v0.1	test	expanded	45.0	26	20	70	77	37	40	33	0	191.625	0.4805194805194805	0.5285714285714286	0.5034013605442177	0.20874103065883887	0.0	30.0
