subject	pid	partition	supported_hours
sub-1	89	validation	1.95
sub-2	89	validation	7.525
sub-3	1	train	8.225
sub-4	2	validation	8.283333333333333
sub-5	3	validation	8.35
sub-6	4	validation	8.216666666666667
sub-7	5	validation	6.383333333333334
sub-8	6	train	3.4
sub-9	90	test	8.766666666666667
sub-10	91	train	8.266666666666667
sub-11	8	train	6.808333333333334
sub-12	92	train	8.366666666666667
sub-13	91	train	3.7666666666666666
sub-14	9	train	8.616666666666667
sub-15	10	train	9.075
sub-16	11	train	8.483333333333333
sub-17	92	train	8.125
sub-18	12	test	8.558333333333334
sub-19	93	train	7.775
sub-20	13	train	7.833333333333333
sub-21	93	train	8.6
sub-22	14	train	8.541666666666666
sub-23	15	validation	8.4
sub-24	16	train	7.291666666666667
sub-25	17	validation	8.533333333333333
sub-26	18	test	8.091666666666667
sub-27	19	train	7.908333333333333
sub-28	20	train	6.891666666666667
sub-29	21	train	7.791666666666667
sub-30	94	train	6.925
sub-31	95	train	7.066666666666666
sub-32	83	test	6.916666666666667
sub-33	84	train	7.291666666666667
sub-34	22	test	7.183333333333334
sub-35	83	test	6.883333333333334
sub-36	84	train	7.375
sub-37	86	test	7.133333333333334
sub-38	87	train	7.066666666666666
sub-39	85	train	7.466666666666667
sub-40	86	test	6.816666666666666
sub-41	83	test	7.625
sub-42	84	train	7.441666666666666
sub-43	87	train	6.808333333333334
sub-44	23	test	7.066666666666666
sub-45	24	train	6.808333333333334
sub-46	26	test	8.025
sub-47	87	train	6.633333333333334
sub-48	28	test	8.45
sub-49	29	train	7.258333333333334
sub-50	88	test	7.291666666666667
sub-51	30	test	7.45
sub-52	31	train	7.683333333333334
sub-53	88	test	4.975
sub-54	88	test	6.491666666666666
sub-55	77	test	7.233333333333333
sub-56	78	train	7.8
sub-57	77	test	4.758333333333334
sub-58	78	train	8.266666666666667
sub-59	79	train	8.066666666666666
sub-60	80	train	7.241666666666666
sub-61	79	train	5.516666666666667
sub-62	80	train	7.983333333333333
sub-63	81	train	7.35
sub-64	82	train	7.316666666666666
sub-65	81	train	6.416666666666667
sub-66	82	train	8.666666666666666
sub-67	32	train	7.691666666666666
sub-68	33	train	7.125
sub-69	34	train	8.333333333333334
sub-70	35	train	7.325
sub-71	36	train	8.675
sub-72	37	validation	7.191666666666666
sub-73	38	train	6.958333333333333
sub-74	39	train	8.066666666666666
sub-75	40	validation	6.483333333333333
sub-76	41	test	7.566666666666666
sub-77	42	train	6.7
sub-78	43	train	7.275
sub-79	44	validation	8.591666666666667
sub-80	45	train	6.825
sub-81	46	train	7.491666666666666
sub-82	48	validation	7.183333333333334
sub-83	50	train	7.475
sub-84	51	train	7.866666666666666
sub-85	52	test	8.666666666666666
sub-86	53	train	7.85
sub-87	54	train	7.95
sub-88	55	validation	6.325
sub-89	56	test	8.066666666666666
sub-90	57	test	8.091666666666667
sub-91	58	train	8.5
sub-92	59	train	8.225
sub-93	60	train	7.308333333333334
sub-94	61	train	8.191666666666666
sub-95	62	train	7.966666666666667
sub-96	63	train	7.658333333333333
sub-97	64	validation	8.633333333333333
sub-98	65	train	7.5
sub-99	66	train	8.575
sub-100	67	train	8.291666666666666
sub-101	68	train	7.75
sub-102	69	test	8.016666666666667
sub-103	71	train	7.116666666666666
sub-104	72	train	6.958333333333333
sub-105	73	validation	8.016666666666667
sub-106	74	test	7.275
sub-107	75	train	7.916666666666667
sub-108	76	train	8.083333333333334
sub-109	96	train	6.991666666666666
sub-110	96	train	7.741666666666666
sub-111	96	train	7.958333333333333
sub-112	97	validation	7.625
sub-113	97	validation	7.791666666666667
sub-114	97	validation	7.75
sub-115	98	train	7.075
sub-116	98	train	7.175
sub-117	98	train	6.533333333333333
sub-118	99	train	7.35
sub-119	99	train	7.475
sub-120	99	train	6.558333333333334
sub-121	100	train	7.325
sub-122	101	train	7.283333333333333
sub-123	102	test	7.308333333333334
sub-124	15	validation	7.4
sub-125	104	train	8.091666666666667
sub-126	106	validation	7.033333333333333
sub-127	107	test	6.916666666666667
sub-128	108	train	6.816666666666666
