subject	pid	partition	event_time_sec
sub-2	89	validation	21000.0
sub-2	89	validation	21360.0
sub-2	89	validation	25260.0
sub-3	1	train	12510.0
sub-3	1	train	19530.0
sub-3	1	train	23970.0
sub-3	1	train	24840.0
sub-4	2	validation	3810.0
sub-4	2	validation	3960.0
sub-4	2	validation	4560.0
sub-4	2	validation	4920.0
sub-4	2	validation	5010.0
sub-4	2	validation	5880.0
sub-4	2	validation	12750.0
sub-4	2	validation	12810.0
sub-4	2	validation	12900.0
sub-4	2	validation	13020.0
sub-4	2	validation	13200.0
sub-4	2	validation	15660.0
sub-4	2	validation	16050.0
sub-5	3	validation	16170.0
sub-5	3	validation	17130.0
sub-5	3	validation	21900.0
sub-5	3	validation	22380.0
sub-6	4	validation	18630.0
sub-7	5	validation	15540.0
sub-7	5	validation	21480.0
sub-9	90	test	11880.0
sub-9	90	test	12930.0
sub-9	90	test	13650.0
sub-9	90	test	20790.0
sub-10	91	train	12780.0
sub-10	91	train	19350.0
sub-10	91	train	24930.0
sub-10	91	train	25320.0
sub-11	8	train	10410.0
sub-11	8	train	15690.0
sub-12	92	train	9510.0
sub-12	92	train	9930.0
sub-12	92	train	10080.0
sub-12	92	train	28440.0
sub-12	92	train	30090.0
sub-14	9	train	660.0
sub-14	9	train	1110.0
sub-14	9	train	1380.0
sub-14	9	train	1470.0
sub-14	9	train	14700.0
sub-14	9	train	26970.0
sub-15	10	train	13230.0
sub-15	10	train	24570.0
sub-15	10	train	26010.0
sub-16	11	train	17940.0
sub-16	11	train	25860.0
sub-16	11	train	26070.0
sub-16	11	train	26220.0
sub-16	11	train	26340.0
sub-16	11	train	28290.0
sub-17	92	train	5670.0
sub-17	92	train	21060.0
sub-17	92	train	25110.0
sub-18	12	test	6660.0
sub-18	12	test	10950.0
sub-18	12	test	11310.0
sub-18	12	test	12240.0
sub-18	12	test	12660.0
sub-18	12	test	17310.0
sub-18	12	test	22020.0
sub-18	12	test	22920.0
sub-18	12	test	23310.0
sub-18	12	test	28230.0
sub-19	93	train	14310.0
sub-19	93	train	21540.0
sub-22	14	train	16410.0
sub-22	14	train	26940.0
sub-22	14	train	30930.0
sub-24	16	train	8250.0
sub-24	16	train	17400.0
sub-25	17	validation	2820.0
sub-25	17	validation	3780.0
sub-25	17	validation	5940.0
sub-25	17	validation	6510.0
sub-25	17	validation	14970.0
sub-25	17	validation	19710.0
sub-25	17	validation	20280.0
sub-25	17	validation	27450.0
sub-25	17	validation	29130.0
sub-25	17	validation	29400.0
sub-25	17	validation	29640.0
sub-26	18	test	7590.0
sub-26	18	test	28920.0
sub-27	19	train	7080.0
sub-27	19	train	10470.0
sub-27	19	train	16020.0
sub-27	19	train	21510.0
sub-27	19	train	28470.0
sub-28	20	train	17940.0
sub-28	20	train	19470.0
sub-28	20	train	23520.0
sub-28	20	train	25020.0
sub-29	21	train	30090.0
sub-29	21	train	31470.0
sub-29	21	train	33120.0
sub-30	94	train	14130.0
sub-30	94	train	18930.0
sub-30	94	train	24630.0
sub-32	83	test	9060.0
sub-32	83	test	10380.0
sub-32	83	test	20610.0
sub-32	83	test	22350.0
sub-32	83	test	23400.0
sub-33	84	train	18480.0
sub-33	84	train	22980.0
sub-33	84	train	24030.0
sub-34	22	test	10890.0
sub-34	22	test	24240.0
sub-35	83	test	14190.0
sub-36	84	train	3450.0
sub-36	84	train	15330.0
sub-36	84	train	19860.0
sub-36	84	train	22200.0
sub-37	86	test	11010.0
sub-37	86	test	15480.0
sub-37	86	test	23850.0
sub-38	87	train	19680.0
sub-38	87	train	21930.0
sub-39	85	train	26430.0
sub-40	86	test	3960.0
sub-40	86	test	16050.0
sub-40	86	test	22680.0
sub-41	83	test	20820.0
sub-41	83	test	21570.0
sub-41	83	test	23730.0
sub-42	84	train	21060.0
sub-43	87	train	5460.0
sub-43	87	train	21720.0
sub-45	24	train	4530.0
sub-45	24	train	12750.0
sub-45	24	train	19680.0
sub-45	24	train	20040.0
sub-45	24	train	24450.0
sub-46	26	test	9510.0
sub-47	87	train	5850.0
sub-47	87	train	9420.0
sub-48	28	test	27030.0
sub-49	29	train	2160.0
sub-49	29	train	7410.0
sub-49	29	train	12810.0
sub-49	29	train	13860.0
sub-49	29	train	19560.0
sub-49	29	train	24720.0
sub-49	29	train	25560.0
sub-50	88	test	15210.0
sub-50	88	test	23490.0
sub-51	30	test	1020.0
sub-51	30	test	18480.0
sub-51	30	test	23850.0
sub-51	30	test	26250.0
sub-52	31	train	23580.0
sub-52	31	train	27630.0
sub-53	88	test	2820.0
sub-53	88	test	11550.0
sub-53	88	test	13200.0
sub-53	88	test	13980.0
sub-53	88	test	17700.0
sub-53	88	test	19410.0
sub-54	88	test	10530.0
sub-54	88	test	22560.0
sub-55	77	test	14190.0
sub-55	77	test	15390.0
sub-55	77	test	22050.0
sub-55	77	test	24270.0
sub-56	78	train	21000.0
sub-57	77	test	15600.0
sub-57	77	test	22140.0
sub-57	77	test	29400.0
sub-57	77	test	29970.0
sub-58	78	train	19620.0
sub-58	78	train	21540.0
sub-58	78	train	26430.0
sub-58	78	train	26610.0
sub-58	78	train	30120.0
sub-59	79	train	14100.0
sub-59	79	train	21510.0
sub-59	79	train	27240.0
sub-61	79	train	16290.0
sub-62	80	train	8160.0
sub-62	80	train	26340.0
sub-64	82	train	4560.0
sub-64	82	train	21480.0
sub-65	81	train	8280.0
sub-65	81	train	18450.0
sub-65	81	train	19260.0
sub-65	81	train	23700.0
sub-67	32	train	5730.0
sub-67	32	train	9450.0
sub-67	32	train	15480.0
sub-67	32	train	24240.0
sub-67	32	train	25140.0
sub-68	33	train	1890.0
sub-68	33	train	20340.0
sub-68	33	train	20670.0
sub-68	33	train	23130.0
sub-68	33	train	23700.0
sub-68	33	train	25680.0
sub-68	33	train	25860.0
sub-69	34	train	3510.0
sub-69	34	train	9870.0
sub-69	34	train	26910.0
sub-70	35	train	1860.0
sub-70	35	train	6870.0
sub-71	36	train	20790.0
sub-71	36	train	21090.0
sub-71	36	train	21480.0
sub-71	36	train	22740.0
sub-71	36	train	26880.0
sub-71	36	train	28560.0
sub-71	36	train	28770.0
sub-72	37	validation	22800.0
sub-72	37	validation	26070.0
