comparator	comparator_version	partition	true_stage_code	true_stage	predicted_stage_code	predicted_stage	epochs
SF-A	v0.1	train	0	Wake	0	Wake	9429
SF-A	v0.1	train	0	Wake	1	N1	300
SF-A	v0.1	train	0	Wake	2	N2	739
SF-A	v0.1	train	0	Wake	3	N3	6
SF-A	v0.1	train	0	Wake	4	REM	483
SF-A	v0.1	train	1	N1	0	Wake	567
SF-A	v0.1	train	1	N1	1	N1	629
SF-A	v0.1	train	1	N1	2	N2	1017
SF-A	v0.1	train	1	N1	3	N3	1
SF-A	v0.1	train	1	N1	4	REM	403
SF-A	v0.1	train	2	N2	0	Wake	835
SF-A	v0.1	train	2	N2	1	N1	386
SF-A	v0.1	train	2	N2	2	N2	41401
SF-A	v0.1	train	2	N2	3	N3	844
SF-A	v0.1	train	2	N2	4	REM	1729
SF-A	v0.1	train	3	N3	0	Wake	14
SF-A	v0.1	train	3	N3	1	N1	0
SF-A	v0.1	train	3	N3	2	N2	1286
SF-A	v0.1	train	3	N3	3	N3	1850
SF-A	v0.1	train	3	N3	4	REM	0
SF-A	v0.1	train	4	REM	0	Wake	242
SF-A	v0.1	train	4	REM	1	N1	66
SF-A	v0.1	train	4	REM	2	N2	1187
SF-A	v0.1	train	4	REM	3	N3	3
SF-A	v0.1	train	4	REM	4	REM	10595
SF-A	v0.1	validation	0	Wake	0	Wake	2463
SF-A	v0.1	validation	0	Wake	1	N1	42
SF-A	v0.1	validation	0	Wake	2	N2	184
SF-A	v0.1	validation	0	Wake	3	N3	0
SF-A	v0.1	validation	0	Wake	4	REM	80
SF-A	v0.1	validation	1	N1	0	Wake	274
SF-A	v0.1	validation	1	N1	1	N1	229
SF-A	v0.1	validation	1	N1	2	N2	289
SF-A	v0.1	validation	1	N1	3	N3	0
SF-A	v0.1	validation	1	N1	4	REM	63
SF-A	v0.1	validation	2	N2	0	Wake	141
SF-A	v0.1	validation	2	N2	1	N1	52
SF-A	v0.1	validation	2	N2	2	N2	10344
SF-A	v0.1	validation	2	N2	3	N3	30
SF-A	v0.1	validation	2	N2	4	REM	507
SF-A	v0.1	validation	3	N3	0	Wake	0
SF-A	v0.1	validation	3	N3	1	N1	0
SF-A	v0.1	validation	3	N3	2	N2	284
SF-A	v0.1	validation	3	N3	3	N3	413
SF-A	v0.1	validation	3	N3	4	REM	0
SF-A	v0.1	validation	4	REM	0	Wake	22
SF-A	v0.1	validation	4	REM	1	N1	19
SF-A	v0.1	validation	4	REM	2	N2	182
SF-A	v0.1	validation	4	REM	3	N3	0
SF-A	v0.1	validation	4	REM	4	REM	2174
SF-A	v0.1	test	0	Wake	0	Wake	4171
SF-A	v0.1	test	0	Wake	1	N1	108
SF-A	v0.1	test	0	Wake	2	N2	206
SF-A	v0.1	test	0	Wake	3	N3	0
SF-A	v0.1	test	0	Wake	4	REM	101
SF-A	v0.1	test	1	N1	0	Wake	232
SF-A	v0.1	test	1	N1	1	N1	252
SF-A	v0.1	test	1	N1	2	N2	284
SF-A	v0.1	test	1	N1	3	N3	0
SF-A	v0.1	test	1	N1	4	REM	66
SF-A	v0.1	test	2	N2	0	Wake	140
SF-A	v0.1	test	2	N2	1	N1	82
SF-A	v0.1	test	2	N2	2	N2	12195
SF-A	v0.1	test	2	N2	3	N3	373
SF-A	v0.1	test	2	N2	4	REM	316
SF-A	v0.1	test	3	N3	0	Wake	1
SF-A	v0.1	test	3	N3	1	N1	0
SF-A	v0.1	test	3	N3	2	N2	421
SF-A	v0.1	test	3	N3	3	N3	548
SF-A	v0.1	test	3	N3	4	REM	0
SF-A	v0.1	test	4	REM	0	Wake	78
SF-A	v0.1	test	4	REM	1	N1	37
SF-A	v0.1	test	4	REM	2	N2	514
SF-A	v0.1	test	4	REM	3	N3	0
SF-A	v0.1	test	4	REM	4	REM	2961
