comparator	analysis_version	threshold	human_stage_pair_category	false_positive_alarms	false_positive_share
DE-D-rem-only	v0.1	0.89	human_REM_to_Wake	0	0.0
DE-D-rem-only	v0.1	0.89	human_REM_to_other	73	0.33796296296296297
DE-D-rem-only	v0.1	0.89	human_other_to_Wake	49	0.22685185185185186
DE-D-rem-only	v0.1	0.89	human_no_stage_change	85	0.39351851851851855
DE-D-rem-only	v0.1	0.89	human_other_transition	9	0.041666666666666664
DE-D-wake-only	v0.1	0.85	human_REM_to_Wake	0	0.0
DE-D-wake-only	v0.1	0.85	human_REM_to_other	91	0.11989459815546773
DE-D-wake-only	v0.1	0.85	human_other_to_Wake	464	0.61133069828722
DE-D-wake-only	v0.1	0.85	human_no_stage_change	162	0.2134387351778656
DE-D-wake-only	v0.1	0.85	human_other_transition	42	0.05533596837944664
DE-D-product	v0.1	0.74	human_REM_to_Wake	0	0.0
DE-D-product	v0.1	0.74	human_REM_to_other	35	0.22151898734177214
DE-D-product	v0.1	0.74	human_other_to_Wake	75	0.47468354430379744
DE-D-product	v0.1	0.74	human_no_stage_change	46	0.2911392405063291
DE-D-product	v0.1	0.74	human_other_transition	2	0.012658227848101266
