pid	recordings_de_b	reference_events_de_b	predicted_events_de_b	true_positive_de_b	false_positive_de_b	false_negative_de_b	supported_hours_de_b	precision_de_b	recall_de_b	f1_de_b	false_alarms_per_hour_de_b	recordings_de_d	reference_events_de_d	predicted_events_de_d	true_positive_de_d	false_positive_de_d	false_negative_de_d	supported_hours_de_d	precision_de_d	recall_de_d	f1_de_d	false_alarms_per_hour_de_d	true_positive_difference	false_positive_difference	false_negative_difference	f1_difference	false_alarms_per_hour_difference
2	1	2	13	1	12	1	8.858333333333333	0.0769230769230769	0.5	0.1333333333333333	1.354656632173095	1	2	14	1	13	1	8.858333333333333	0.0714285714285714	0.5	0.125	1.4675446848541864	0	1	0	-0.008333333333333304	0.11288805268109137
3	1	4	6	2	4	2	8.316666666666666	0.3333333333333333	0.5	0.4	0.4809619238476954	1	4	3	2	1	2	8.316666666666666	0.6666666666666666	0.5	0.5714285714285714	0.1202404809619238	0	-3	0	0.17142857142857137	-0.3607214428857716
4	1	1	15	0	15	1	8.258333333333333	0.0	0.0	0.0	1.8163471241170537	1	1	11	1	10	0	8.258333333333333	0.0909090909090909	1.0	0.1666666666666666	1.2108980827447025	1	-5	-1	0.1666666666666666	-0.6054490413723512
5	1	0	42	0	40	0	7.733333333333333	0.0		0.0	5.172413793103448	1	0	15	0	13	0	7.733333333333333	0.0		0.0	1.6810344827586208	0	-27	0	0.0	-3.4913793103448274
15	2	5	9	2	7	3	16.616666666666667	0.2222222222222222	0.4	0.2857142857142857	0.4212637913741223	2	5	9	2	7	3	16.616666666666667	0.2222222222222222	0.4	0.2857142857142857	0.4212637913741223	0	0	0	0.0	0.0
17	1	3	14	0	14	3	8.966666666666667	0.0	0.0	0.0	1.5613382899628252	1	3	15	0	15	3	8.966666666666667	0.0	0.0	0.0	1.6728624535315986	0	1	0	0.0	0.11152416356877337
37	1	0	7	0	6	0	7.991666666666666	0.0		0.0	0.7507820646506779	1	0	10	0	10	0	7.991666666666666	0.0		0.0	1.251303441084463	0	4	0	0.0	0.5005213764337851
40	1	0	34	0	33	0	7.133333333333334	0.0		0.0	4.626168224299065	1	0	20	0	19	0	7.133333333333334	0.0		0.0	2.663551401869159	0	-14	0	0.0	-1.9626168224299065
44	1	0	1	0	1	0	8.558333333333334	0.0		0.0	0.1168451801363193	1	0	2	0	2	0	8.558333333333334	0.0		0.0	0.2336903602726387	0	1	0	0.0	0.11684518013631941
48	1	0	10	0	8	0	7.341666666666667	0.0		0.0	1.0896708286038592	1	0	7	0	6	0	7.341666666666667	0.0		0.0	0.8172531214528944	0	-2	0	0.0	-0.2724177071509648
55	1	0	10	0	10	0	7.416666666666667	0.0		0.0	1.348314606741573	1	0	7	0	7	0	7.416666666666667	0.0		0.0	0.9438202247191012	0	-3	0	0.0	-0.4044943820224718
64	1	5	18	4	14	1	8.983333333333333	0.2222222222222222	0.8	0.3478260869565217	1.5584415584415583	1	5	14	3	11	2	8.983333333333333	0.2142857142857142	0.6	0.3157894736842105	1.2244897959183674	-1	-3	1	-0.032036613272311165	-0.3339517625231909
73	1	3	12	1	11	2	7.866666666666666	0.0833333333333333	0.3333333333333333	0.1333333333333333	1.3983050847457628	1	3	9	3	6	0	7.866666666666666	0.3333333333333333	1.0	0.5	0.7627118644067797	2	-5	-2	0.3666666666666667	-0.635593220338983
89	2	7	27	2	25	5	15.05	0.074074074074074	0.2857142857142857	0.1176470588235294	1.6611295681063123	2	7	17	2	15	5	15.05	0.1176470588235294	0.2857142857142857	0.1666666666666666	0.9966777408637874	0	-10	0	0.049019607843137206	-0.6644518272425249
97	3	6	25	4	21	2	23.066666666666663	0.16	0.6666666666666666	0.2580645161290322	0.9104046242774566	3	6	20	3	17	3	23.066666666666663	0.15	0.5	0.2307692307692307	0.7369942196531792	-1	-4	1	-0.027295285359801497	-0.17341040462427737
106	1	1	12	0	10	1	7.2	0.0	0.0	0.0	1.3888888888888888	1	1	8	0	6	1	7.2	0.0	0.0	0.0	0.8333333333333333	0	-4	0	0.0	-0.5555555555555556
