held_out_pid	calibration_pid	threshold	true_positive	false_positive	false_negative	supported_hours	precision	recall	f1	false_alarms_per_hour
2.0	15.0	0.74	16.0	145.0	19.0	150.49999999999997	0.09937888198757763	0.45714285714285713	0.16326530612244897	0.9634551495016613
3.0	15.0	0.74	15.0	157.0	18.0	151.04166666666666	0.0872093023255814	0.45454545454545453	0.14634146341463414	1.0394482758620691
4.0	15.0	0.74	16.0	148.0	20.0	151.1	0.0975609756097561	0.4444444444444444	0.16	0.9794837855724686
5.0	15.0	0.74	17.0	145.0	20.0	151.62499999999997	0.10493827160493827	0.4594594594594595	0.1708542713567839	0.9563066776586976
15.0	15.0	0.74	15.0	151.0	17.0	142.74166666666665	0.09036144578313253	0.46875	0.15151515151515152	1.057855099538794
17.0	15.0	0.74	17.0	143.0	17.0	150.39166666666665	0.10625	0.5	0.17525773195876287	0.9508505568792598
37.0	15.0	0.74	17.0	148.0	20.0	151.36666666666665	0.10303030303030303	0.4594594594594595	0.16831683168316833	0.9777582030389783
40.0	15.0	0.74	17.0	139.0	20.0	152.225	0.10897435897435898	0.4594594594594595	0.17616580310880828	0.9131220233207423
44.0	15.0	0.74	17.0	156.0	20.0	150.79999999999998	0.09826589595375723	0.4594594594594595	0.1619047619047619	1.0344827586206897
48.0	15.0	0.74	17.0	152.0	20.0	152.01666666666665	0.10059171597633136	0.4594594594594595	0.1650485436893204	0.9998903628988051
55.0	15.0	0.74	17.0	151.0	20.0	151.94166666666666	0.10119047619047619	0.4594594594594595	0.16585365853658537	0.9938024461141886
64.0	15.0	0.74	14.0	147.0	18.0	150.375	0.08695652173913043	0.4375	0.14507772020725387	0.9775561097256857
73.0	15.0	0.74	14.0	152.0	20.0	151.49166666666667	0.08433734939759036	0.4117647058823529	0.14	1.0033555201056163
89.0	15.0	0.74	15.0	143.0	15.0	144.30833333333334	0.0949367088607595	0.5	0.1595744680851064	0.9909337645088641
97.0	15.0	0.74	14.0	141.0	17.0	136.29166666666666	0.09032258064516129	0.45161290322580644	0.15053763440860216	1.0345460103943749
106.0	15.0	0.74	17.0	152.0	19.0	152.15833333333333	0.10059171597633136	0.4722222222222222	0.16585365853658537	0.9989594172736733
