threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
0.01	2	1	2	81	1	80	1	0	8.858333333333333	0.012345679012345678	0.5	0.024096385542168676	9.0310442144873
0.01	3	1	4	140	1	139	3	0	8.316666666666666	0.007142857142857143	0.25	0.013888888888888888	16.713426853707414
0.01	4	1	1	91	0	91	1	0	8.258333333333333	0.0	0.0	0.0	11.019172552976793
0.01	5	1	0	112	0	110	0	2	7.733333333333333	0.0		0.0	14.224137931034482
0.01	15	2	5	216	3	213	2	0	16.616666666666667	0.013888888888888888	0.6	0.027149321266968326	12.818455366098295
0.01	17	1	3	19	0	19	3	0	8.966666666666667	0.0	0.0	0.0	2.1189591078066914
0.01	37	1	0	60	0	60	0	0	7.991666666666666	0.0		0.0	7.5078206465067785
0.01	40	1	0	47	0	46	0	1	7.133333333333334	0.0		0.0	6.4485981308411215
0.01	44	1	0	37	0	37	0	0	8.558333333333334	0.0		0.0	4.3232716650438165
0.01	48	1	0	50	0	49	0	1	7.341666666666667	0.0		0.0	6.6742338251986375
0.01	55	1	0	60	0	60	0	0	7.416666666666667	0.0		0.0	8.089887640449438
0.01	64	1	5	18	2	16	3	0	8.983333333333333	0.1111111111111111	0.4	0.17391304347826086	1.7810760667903527
0.01	73	1	3	84	2	82	1	0	7.866666666666666	0.023809523809523808	0.6666666666666666	0.04597701149425287	10.423728813559322
0.01	89	2	7	105	1	104	6	0	15.05	0.009523809523809525	0.14285714285714285	0.017857142857142856	6.910299003322259
0.01	97	3	6	425	3	422	3	0	23.066666666666666	0.007058823529411765	0.5	0.013921113689095127	18.294797687861273
0.01	106	1	1	91	0	87	1	4	7.2	0.0	0.0	0.0	12.083333333333332
0.02	2	1	2	96	1	95	1	0	8.858333333333333	0.010416666666666666	0.5	0.02040816326530612	10.72436500470367
0.02	3	1	4	97	2	95	2	0	8.316666666666666	0.020618556701030927	0.5	0.039603960396039604	11.422845691382767
0.02	4	1	1	96	0	96	1	0	8.258333333333333	0.0	0.0	0.0	11.624621594349144
0.02	5	1	0	107	0	105	0	2	7.733333333333333	0.0		0.0	13.577586206896552
0.02	15	2	5	199	5	194	0	0	16.616666666666667	0.02512562814070352	1.0	0.049019607843137254	11.675025075225676
0.02	17	1	3	51	0	51	3	0	8.966666666666667	0.0	0.0	0.0	5.687732342007435
0.02	37	1	0	84	0	84	0	0	7.991666666666666	0.0		0.0	10.51094890510949
0.02	40	1	0	68	0	67	0	1	7.133333333333334	0.0		0.0	9.392523364485982
0.02	44	1	0	91	0	91	0	0	8.558333333333334	0.0		0.0	10.632911392405063
0.02	48	1	0	116	0	115	0	1	7.341666666666667	0.0		0.0	15.664018161180476
0.02	55	1	0	63	0	63	0	0	7.416666666666667	0.0		0.0	8.49438202247191
0.02	64	1	5	61	3	58	2	0	8.983333333333333	0.04918032786885246	0.6	0.09090909090909091	6.4564007421150285
0.02	73	1	3	77	2	75	1	0	7.866666666666666	0.025974025974025976	0.6666666666666666	0.05	9.533898305084746
0.02	89	2	7	87	1	86	6	0	15.05	0.011494252873563218	0.14285714285714285	0.02127659574468085	5.714285714285714
0.02	97	3	6	396	3	393	3	0	23.066666666666666	0.007575757575757576	0.5	0.014925373134328358	17.03757225433526
0.02	106	1	1	82	0	78	1	4	7.2	0.0	0.0	0.0	10.833333333333334
0.03	2	1	2	87	1	86	1	0	8.858333333333333	0.011494252873563218	0.5	0.02247191011235955	9.708372530573849
0.03	3	1	4	86	3	83	1	0	8.316666666666666	0.03488372093023256	0.75	0.06666666666666667	9.97995991983968
0.03	4	1	1	106	0	106	1	0	8.258333333333333	0.0	0.0	0.0	12.835519677093846
0.03	5	1	0	100	0	98	0	2	7.733333333333333	0.0		0.0	12.672413793103448
0.03	15	2	5	172	5	167	0	0	16.616666666666667	0.029069767441860465	1.0	0.05649717514124294	10.050150451354062
0.03	17	1	3	95	0	95	3	0	8.966666666666667	0.0	0.0	0.0	10.594795539033457
0.03	37	1	0	88	0	88	0	0	7.991666666666666	0.0		0.0	11.011470281543275
0.03	40	1	0	84	0	83	0	1	7.133333333333334	0.0		0.0	11.635514018691588
0.03	44	1	0	111	0	111	0	0	8.558333333333334	0.0		0.0	12.96981499513145
0.03	48	1	0	139	0	137	0	2	7.341666666666667	0.0		0.0	18.66061293984109
0.03	55	1	0	67	0	67	0	0	7.416666666666667	0.0		0.0	9.03370786516854
0.03	64	1	5	111	3	108	2	0	8.983333333333333	0.02702702702702703	0.6	0.05172413793103448	12.022263450834881
0.03	73	1	3	68	3	65	0	0	7.866666666666666	0.04411764705882353	1.0	0.08450704225352113	8.26271186440678
0.03	89	2	7	75	1	74	6	0	15.05	0.013333333333333334	0.14285714285714285	0.024390243902439025	4.916943521594684
0.03	97	3	6	325	3	322	3	0	23.066666666666666	0.009230769230769232	0.5	0.01812688821752266	13.959537572254336
0.03	106	1	1	79	0	75	1	4	7.2	0.0	0.0	0.0	10.416666666666666
0.04	2	1	2	94	1	93	1	0	8.858333333333333	0.010638297872340425	0.5	0.020833333333333332	10.498588899341488
0.04	3	1	4	92	3	89	1	0	8.316666666666666	0.03260869565217391	0.75	0.0625	10.701402805611222
0.04	4	1	1	106	1	105	0	0	8.258333333333333	0.009433962264150943	1.0	0.018691588785046728	12.714429868819375
0.04	5	1	0	88	0	86	0	2	7.733333333333333	0.0		0.0	11.120689655172415
0.04	15	2	5	167	5	162	0	0	16.616666666666667	0.029940119760479042	1.0	0.05813953488372093	9.749247743229688
0.04	17	1	3	118	0	118	3	0	8.966666666666667	0.0	0.0	0.0	13.159851301115241
0.04	37	1	0	90	0	89	0	1	7.991666666666666	0.0		0.0	11.13660062565172
0.04	40	1	0	104	0	103	0	1	7.133333333333334	0.0		0.0	14.439252336448597
0.04	44	1	0	133	0	133	0	0	8.558333333333334	0.0		0.0	15.540408958130477
0.04	48	1	0	122	0	120	0	2	7.341666666666667	0.0		0.0	16.34506242905789
0.04	55	1	0	69	0	69	0	0	7.416666666666667	0.0		0.0	9.303370786516853
0.04	64	1	5	148	3	145	2	0	8.983333333333333	0.02027027027027027	0.6	0.0392156862745098	16.14100185528757
0.04	73	1	3	75	3	72	0	0	7.866666666666666	0.04	1.0	0.07692307692307693	9.152542372881356
0.04	89	2	7	75	1	74	6	0	15.05	0.013333333333333334	0.14285714285714285	0.024390243902439025	4.916943521594684
0.04	97	3	6	296	4	292	2	0	23.066666666666666	0.013513513513513514	0.6666666666666666	0.026490066225165563	12.658959537572255
0.04	106	1	1	80	0	76	1	4	7.2	0.0	0.0	0.0	10.555555555555555
0.05	2	1	2	97	1	96	1	0	8.858333333333333	0.010309278350515464	0.5	0.020202020202020204	10.83725305738476
0.05	3	1	4	88	3	85	1	0	8.316666666666666	0.03409090909090909	0.75	0.06521739130434782	10.220440881763528
0.05	4	1	1	104	1	103	0	0	8.258333333333333	0.009615384615384616	1.0	0.01904761904761905	12.472250252270435
0.05	5	1	0	89	0	87	0	2	7.733333333333333	0.0		0.0	11.25
0.05	15	2	5	162	5	157	0	0	16.616666666666667	0.030864197530864196	1.0	0.059880239520958084	9.448345035105316
0.05	17	1	3	144	0	144	3	0	8.966666666666667	0.0	0.0	0.0	16.059479553903344
0.05	37	1	0	88	0	87	0	1	7.991666666666666	0.0		0.0	10.886339937434828
0.05	40	1	0	103	0	102	0	1	7.133333333333334	0.0		0.0	14.299065420560748
0.05	44	1	0	140	0	140	0	0	8.558333333333334	0.0		0.0	16.358325219084712
0.05	48	1	0	101	0	99	0	2	7.341666666666667	0.0		0.0	13.484676503972757
0.05	55	1	0	75	0	75	0	0	7.416666666666667	0.0		0.0	10.112359550561797
0.05	64	1	5	178	3	175	2	0	8.983333333333333	0.016853932584269662	0.6	0.03278688524590164	19.480519480519483
