comparator	model_version	model_role	partition	membership	tolerance_sec	threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	false_positive_score_median	false_positive_score_max
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	12	1	9	28	5	23	4	0	8.666666666666666	0.1785714285714285	0.5555555555555556	0.2702702702702703	2.653846153846154	0.988603114265856	0.9999999937263137
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	18	1	2	0	0	0	2	0	8.041666666666666		0.0	0.0	0.0		
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	22	1	0	5	0	5	0	0	7.183333333333334	0.0		0.0	0.6960556844547564	0.9858733791032492	0.999422678654934
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	23	1	1	2	0	2	1	0	7.025	0.0	0.0	0.0	0.2846975088967971	0.9989033545558776	0.9999999894332516
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	26	1	4	8	2	6	2	0	7.941666666666666	0.25	0.5	0.3333333333333333	0.7555089192025184	0.9835608959135762	0.9997541701905388
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	28	1	0	19	0	19	0	0	8.608333333333333	0.0		0.0	2.2071636011616653	0.9839704203676336	0.9999999747406468
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	30	1	4	6	1	5	3	0	7.4	0.1666666666666666	0.25	0.2	0.6756756756756757	0.9905165180579348	0.9963757537944032
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	41	1	0	6	0	5	0	1	8.675	0.0		0.0	0.5763688760806917	0.997614730483774	0.997668778912825
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	52	1	5	9	5	4	0	0	8.95	0.5555555555555556	1.0	0.7142857142857143	0.446927374301676	0.9863874828870489	0.9999999997306076
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	56	1	0	20	0	20	0	0	8.058333333333334	0.0		0.0	2.481902792140641	0.9956529033491136	0.9999968391638864
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	57	1	5	9	3	6	2	0	8.483333333333333	0.3333333333333333	0.6	0.4285714285714285	0.7072691552062869	0.996888012600055	0.9999999878146216
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	69	1	3	0	0	0	3	0	7.966666666666667		0.0	0.0	0.0		
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	74	1	1	5	0	5	1	0	7.258333333333334	0.0	0.0	0.0	0.6888633754305395	0.9842676800324324	0.9884211636393374
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	77	2	2	84	2	78	0	4	17.424999999999997	0.025	1.0	0.048780487804878	4.47632711621234	0.9938258784724006	0.999999999994314
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	83	3	8	24	4	20	4	0	21.55	0.1666666666666666	0.5	0.25	0.9280742459396752	0.9907516466068829	0.999999999517888
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	86	2	4	17	0	16	4	1	13.75	0.0	0.0	0.0	1.1636363636363636	0.9912695496803432	0.999962309753037
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	88	3	8	27	1	26	7	0	19.016666666666666	0.037037037037037	0.125	0.0571428571428571	1.367221735319895	0.9942124041643762	0.9999920294241904
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	90	1	0	6	0	6	0	0	8.733333333333333	0.0		0.0	0.6870229007633588	0.9820439628909134	0.9999950453281258
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	102	1	2	4	2	2	0	0	7.266666666666667	0.5	1.0	0.6666666666666666	0.2752293577981651	0.9862843088937012	0.9869733191004204
DE-B	v0.1	direct_eight_epoch_context_primary	test	primary	15.0	0.96	107	1	1	2	0	2	1	0	6.875	0.0	0.0	0.0	0.2909090909090909	0.9742197421926112	0.9812043575418437
