subject	pid	usable_windows	first_center_hour	last_center_hour	observed_span_hours	slope_sec_per_hour	projected_lag_change_sec	first_to_last_lag_change_sec	lag_range_sec	r_squared	projected_change_review
sub-24	16	3	0.7778333333333334	3.8891666666666667	3.1113333333333335	-0.11048317977287332	-0.3437499999999999	-0.34375	0.40625	0.6173469387755102	False
sub-25	17	5	0.9029444444444445	8.1265	7.2235555555555555	0.01730449763120654	0.12499999999999996	-0.03125	0.375	0.06097560975609739	False
sub-30	94	5	0.6953333333333334	6.258	5.562666666666667	0.1056148130393097	0.5875000000000001	0.53125	0.53125	0.9008972267536705	False
sub-31	95	3	0.7089722222222222	3.544861111111111	2.835888888888889	0.011019472632527534	0.03125000000000003	0.03125	0.03125	0.7500000000000009	False
sub-32	83	4	0.6938333333333334	4.856833333333333	4.163	0.5562394907518613	2.315624999999999	1.96875	1.96875	0.8305629296848411	True
sub-33	84	5	0.7305833333333335	6.5752500000000005	5.844666666666667	0.21600889700011403	1.2624999999999997	1.5	1.5	0.6142220616570329	False
sub-36	84	5	0.7458333333333333	6.7125	5.966666666666667	0.09846368715083795	0.5874999999999998	0.6875	0.6875	0.69640605296343	False
sub-37	86	4	2.1428333333333334	6.4285	4.285666666666666	-0.0896884965388504	-0.3843749999999998	-0.4375	0.46875	0.5431340872374798	False
sub-38	87	3	3.548611111111111	6.3875	2.838888888888889	2.29731945901229e-16	6.521834686418224e-16	0.0	1.09375	-2.220446049250313e-16	False
sub-39	85	5	0.7559166666666667	6.80325	6.0473333333333334	-0.3389923933414177	-2.05	-2.5625	3.03125	0.38221919054115516	True
sub-40	86	4	0.6946388888888889	6.2517499999999995	5.5571111111111104	-0.028277796502693506	-0.15714285714285697	-0.15625	0.28125	0.3292517006802721	False
sub-41	83	3	0.7639444444444445	6.8755	6.111555555555555	0.16441111975073147	1.0048076923076927	1.09375	1.09375	0.9140579224910019	False
sub-43	87	5	0.7001388888888889	6.30125	5.601111111111111	-0.017853600476095965	-0.09999999999999973	-0.0625	1.28125	0.0050825921219824766	False
sub-44	23	5	0.7090277777777778	6.38125	5.672222222222222	0.0022037218413320245	0.012499999999999982	0.03125	0.03125	0.08333333333333337	False
sub-45	24	4	0.6845000000000001	6.1605	5.476	0.009130752373995627	0.05000000000000005	0.0625	0.0625	0.4666666666666658	False
sub-47	87	5	0.6767222222222223	6.0905	5.413777777777777	-0.04617847467367208	-0.24999999999999978	-0.34375	0.46875	0.2793296089385475	False
sub-49	29	5	0.7523611111111111	6.77125	6.018888888888889	0.06853424404652014	0.4124999999999996	0.5	0.90625	0.25756859035004753	False
sub-50	88	3	0.7461111111111111	5.222777777777778	4.476666666666667	0.637232741197745	2.8526785714285716	3.40625	3.71875	0.49585232302698456	True
sub-51	30	5	0.7461111111111111	6.715	5.9688888888888885	0.09423864482501858	0.5624999999999998	0.6875	0.6875	0.5832373271889402	False
sub-52	31	5	0.7697777777777779	6.928	6.158222222222222	0.03450671189376445	0.21250000000000008	0.4375	0.4375	0.15604751619870416	False
sub-53	88	4	0.5557777777777778	5.002	4.446222222222222	-0.052211258353801276	-0.23214285714285685	-1.1875	3.15625	0.00547233717368345	False
sub-56	78	3	0.7985277777777778	7.18675	6.388222222222222	0.11063027312549002	0.7067307692307692	0.65625	0.65625	0.9423076923076923	False
sub-57	77	3	4.3	7.74	3.4400000000000004	-0.08175872093023255	-0.28125	-0.28125	0.3125	0.6675824175824175	False
sub-58	78	5	0.8378333333333334	7.5405	6.7026666666666666	0.013054505669385322	0.08750000000000002	0.0625	0.09375	0.6125000000000003	False
sub-59	79	5	0.8813888888888889	7.9325	7.051111111111111	0.02481878348566024	0.17499999999999988	0.1875	0.5	0.12628865979381443	False
sub-60	80	5	0.7690277777777778	6.92125	6.152222222222222	0.006095358497381236	0.037499999999999895	0.03125	0.0625	0.3214285714285714	False
sub-62	80	4	0.8192777777777778	7.3735	6.554222222222222	0.009535837797518133	0.06249999999999996	0.0625	0.0625	0.9090909090909091	False
sub-63	81	3	2.2217499999999997	6.66525	4.4435	0.19440515038016995	0.8638392857142853	0.8125	0.8125	0.9129361421988149	False
sub-64	82	5	0.738388888888889	6.6455	5.907111111111111	-0.004232187194342017	-0.02499999999999989	-0.03125	0.0625	0.12499999999999989	False
sub-65	81	3	2.2441666666666666	6.7325	4.488333333333333	0.32972388732693225	1.4799107142857142	1.40625	1.40625	0.9373032931603592	False
sub-66	82	5	0.9012777777777778	8.111500000000001	7.210222222222224	-0.02947204586081488	-0.21249999999999994	-0.09375	0.34375	0.31828193832599116	False
sub-67	32	5	0.7704722222222223	6.93425	6.163777777777777	-0.054755380899159906	-0.3374999999999996	-0.75	2.21875	0.02461174881836581	False
sub-68	33	5	0.7256111111111112	6.5305	5.804888888888889	0.043067146466579914	0.2500000000000001	0.28125	0.4375	0.3095975232198145	False
sub-70	35	3	2.224333333333333	5.190111111111111	2.9657777777777783	0.16858983965233013	0.4999999999999996	0.5	0.71875	0.4604316546762589	False
sub-71	36	5	0.9284722222222223	8.35625	7.427777777777777	0.02019446522064326	0.1500000000000002	0.125	0.5625	0.05732484076433131	False
sub-72	37	5	0.8051388888888888	7.24625	6.441111111111111	7.610057496237536e-18	4.901722589521e-17	0.15625	0.5	-2.220446049250313e-16	False
sub-73	38	5	0.7210000000000001	6.489000000000001	5.768000000000001	-0.060679611650485445	-0.3500000000000001	-0.4375	4.0	0.006290721186250292	False
sub-74	39	5	0.8076388888888889	7.26875	6.461111111111111	0.10834049871023217	0.7000000000000001	0.53125	1.125	0.47172081829121526	False
sub-75	40	4	2.1595	6.4784999999999995	4.318999999999999	0.33427876823338754	1.4437500000000005	1.59375	1.59375	0.6156801661474558	False
sub-76	41	5	0.8734722222222222	7.86125	6.987777777777778	0.044720941326124995	0.3125000000000001	-0.125	1.21875	0.06282669883393621	False
sub-77	42	4	0.898638888888889	6.290472222222222	5.3918333333333335	-0.2103876232573956	-1.1343750000000008	-1.28125	1.4375	0.5073990642869519	False
sub-81	46	5	0.7547500000000001	6.792750000000001	6.038	0.07866843325604503	0.4749999999999999	0.53125	0.53125	0.7443298969072163	False
sub-82	48	3	0.740638888888889	6.66575	5.925111111111111	0.1582248809211267	0.9375000000000001	1.40625	1.875	0.2499999999999999	False
sub-83	50	4	0.7594166666666667	5.315916666666666	4.5565	0.022632503017667054	0.10312499999999993	0.09375	0.125	0.6914285714285714	False
sub-85	52	5	0.9012222222222223	8.110999999999999	7.209777777777776	0.036408889162865214	0.26249999999999973	0.125	1.25	0.039487822349570156	False
sub-87	54	4	0.7983055555555556	5.5881388888888885	4.789833333333333	-0.05676084762865794	-0.2718750000000001	-0.3125	0.34375	0.5207430340557274	False
sub-89	56	5	0.8122500000000001	7.310250000000001	6.498000000000001	0.0942597722376116	0.6125000000000003	0.125	1.28125	0.16965799886941813	False
sub-90	57	4	0.86675	7.80075	6.934	0.036054225555235055	0.24999999999999986	0.375	0.5	0.2777777777777779	False
sub-91	58	5	0.8515	7.6635	6.812	0.018349970640046988	0.12500000000000008	0.125	0.125	1.0	False
sub-93	60	5	0.7324722222222223	6.59225	5.8597777777777775	0.014932306875497741	0.08749999999999998	0.09375	0.09375	0.7205882352941175	False
sub-94	61	4	0.83775	7.53975	6.702	1.874767933054365e-17	1.2564694687330354e-16	0.15625	0.4375	0.0	False
sub-95	62	3	2.4585	7.3755	4.917	0.0803516952845812	0.39508928571428575	0.375	0.375	0.9347475832438239	False
sub-96	63	4	0.8094722222222224	5.666305555555556	4.856833333333333	-0.10809512370886375	-0.5249999999999997	-0.5625	0.5625	0.8296296296296296	False
sub-97	64	3	2.7128333333333337	8.138499999999999	5.425666666666665	0.00493685217528677	0.02678571428571424	0.09375	0.34375	0.00589101620029453	False
sub-98	65	4	0.7508888888888889	5.256222222222223	4.5053333333333345	0.01456606984314883	0.06562499999999988	0.0625	0.0625	0.8909090909090909	False
sub-99	66	3	0.8906666666666667	4.453333333333333	3.5626666666666664	0.03508607784431133	0.12499999999999982	0.125	0.96875	0.014067995310668047	False
sub-100	67	3	2.4915	7.4745	4.9830000000000005	0.04165949944095638	0.20758928571428564	0.125	0.46875	0.18962115232833476	False
sub-101	68	5	0.77975	7.01775	6.238	-0.028053863417762153	-0.17500000000000032	0.09375	1.03125	0.029376498800959383	False
sub-102	69	4	0.8030555555555555	7.2275	6.424444444444444	0.036968177101349	0.23749999999999988	0.25	0.25	0.982312925170068	False
sub-103	71	5	0.7150833333333334	6.4357500000000005	5.720666666666667	0.03933108029367207	0.22500000000000003	0.21875	0.21875	0.9759036144578314	False
sub-104	72	5	0.6991666666666667	6.2925	5.593333333333334	0.013408820023837913	0.07500000000000007	0.0625	0.0625	0.7500000000000002	False
sub-105	73	5	0.811	7.299	6.488	-0.005779901356350154	-0.0374999999999998	0.1875	0.6875	0.002295918367346772	False
sub-106	74	5	0.7321944444444445	6.5897499999999996	5.857555555555555	0.019205963807428197	0.11249999999999995	0.09375	0.09375	0.8804347826086956	False
sub-107	75	5	0.7938055555555557	7.1442499999999995	6.3504444444444434	0.039367323371942486	0.25000000000000006	0.25	0.25	0.9708737864077669	False
sub-108	76	3	4.17125	7.50825	3.3370000000000006	-0.07491759065028465	-0.24999999999999992	-0.25	0.40625	0.37209302325581384	False
sub-109	96	4	0.7030277777777778	4.921194444444445	4.218166666666667	-0.006667588604844175	-0.028125000000000205	-0.03125	0.53125	0.0016498625114571563	False
sub-110	96	5	0.7946944444444445	7.1522499999999996	6.357555555555555	-0.02752630291167121	-0.17500000000000035	-0.28125	1.21875	0.014907210222086964	False
sub-111	96	5	0.8013333333333333	7.212000000000001	6.410666666666668	0.0857945091514143	0.55	0.65625	0.65625	0.6675862068965519	False
sub-112	97	5	0.7662222222222222	6.896	6.129777777777778	0.09788283062645015	0.6000000000000002	0.09375	4.28125	0.019214731293992315	False
sub-113	97	5	0.7810277777777779	7.02925	6.248222222222222	0.06601877867482304	0.41249999999999987	0.21875	0.6875	0.3644578313253012	False
sub-114	97	5	0.7781388888888889	7.00325	6.2251111111111115	-0.010039981437189904	-0.06250000000000018	-0.375	0.59375	0.00831117021276595	False
sub-115	98	5	0.7152222222222223	6.437	5.721777777777778	-0.04806198539692405	-0.2750000000000001	-0.34375	0.40625	0.2827102803738316	False
sub-116	98	5	0.7278888888888889	6.550999999999999	5.8231111111111105	-0.05366547092047018	-0.3125000000000001	-0.4375	0.46875	0.2775310834813499	False
sub-117	98	5	0.6610833333333334	5.94975	5.288666666666667	0.13944913651834107	0.7374999999999998	0.65625	0.65625	0.8590819348469891	False
sub-118	99	5	0.7451388888888889	6.70625	5.961111111111111	0.05032618825722284	0.3000000000000006	0.96875	2.09375	0.02537444933920696	False
sub-119	99	4	0.7489166666666668	6.7402500000000005	5.991333333333333	0.23367085790586417	1.4000000000000008	-0.125	3.75	0.11995792292244423	False
sub-120	99	5	0.6575277777777777	5.917750000000001	5.2602222222222235	0.30892230999957737	1.6249999999999996	2.0	2.96875	0.2863824306920627	False
sub-121	100	4	2.2334166666666664	6.7002500000000005	4.466833333333334	-0.06506287078840334	-0.2906249999999997	0.09375	1.3125	0.039232496427842434	False
sub-122	101	5	0.7300555555555557	6.5705	5.8404444444444445	0.02782322502092686	0.16249999999999995	0.15625	0.15625	0.9825581395348837	False
sub-123	102	5	0.7330277777777778	6.59725	5.864222222222222	0.12149948842320665	0.7125	1.0	1.0	0.5183471601786853	False
sub-124	15	5	0.7408888888888889	6.668	5.927111111111111	0.01898057888422314	0.11249999999999992	0.09375	0.46875	0.05232558139534882	False
sub-125	104	4	0.8147500000000001	7.332750000000001	6.518000000000001	0.09314864331740678	0.6071428571428575	0.5625	0.78125	0.5306647080425999	False
