dataset	snapshot	subject	acquisition	relative_path	official_bytes	local_bytes	official_sha256	local_sha256	size_match	sha256_match	status	official_pointer_url
ds005555	1.1.1	sub-1	headband	sub-1/eeg/sub-1_task-Sleep_acq-headband_eeg.edf	28118784	28118784	56f376aaf1f2e4b1b11e53ae5c6abab9610aa4acd6cf53e3c6c6e2481ad35db8	56f376aaf1f2e4b1b11e53ae5c6abab9610aa4acd6cf53e3c6c6e2481ad35db8	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-1/eeg/sub-1_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-1	psg	sub-1/eeg/sub-1_task-Sleep_acq-psg_eeg.edf	154652160	154652160	871ad6c6f0245cd1f295881729a6b74e744621f34a51b1931fd35f105bfcc6bf	871ad6c6f0245cd1f295881729a6b74e744621f34a51b1931fd35f105bfcc6bf	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-1/eeg/sub-1_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-2	headband	sub-2/eeg/sub-2_task-Sleep_acq-headband_eeg.edf	28058368	28058368	8a69cc11865bd410b0dbd7f5cf10137a40c4e2e69041d4bdc077c5c69819c7b8	8a69cc11865bd410b0dbd7f5cf10137a40c4e2e69041d4bdc077c5c69819c7b8	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-2/eeg/sub-2_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-2	psg	sub-2/eeg/sub-2_task-Sleep_acq-psg_eeg.edf	154319872	154319872	9f05338f527a14855a9cdc8129459dc76266538eeb1265004e491dd5a8018e6a	9f05338f527a14855a9cdc8129459dc76266538eeb1265004e491dd5a8018e6a	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-2/eeg/sub-2_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-3	headband	sub-3/eeg/sub-3_task-Sleep_acq-headband_eeg.edf	137878528	137878528	9a022eb7c70292b96ad32c2f17d9bf7817288be4bb61bcc49f4b7329de8619f6	9a022eb7c70292b96ad32c2f17d9bf7817288be4bb61bcc49f4b7329de8619f6	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-3/eeg/sub-3_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-3	psg	sub-3/eeg/sub-3_task-Sleep_acq-psg_eeg.edf	122558720	122558720	05df68263b82d0bc1db5076af0d2b40d7d5bfcd87c574c66f325502579be0b2e	05df68263b82d0bc1db5076af0d2b40d7d5bfcd87c574c66f325502579be0b2e	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-3/eeg/sub-3_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-4	headband	sub-4/eeg/sub-4_task-Sleep_acq-headband_eeg.edf	147956224	147956224	5c2eb69c37bc8e96d123a8c720cf9756d47ae018d1737ec18ea8ca58afc4a5e0	5c2eb69c37bc8e96d123a8c720cf9756d47ae018d1737ec18ea8ca58afc4a5e0	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-4/eeg/sub-4_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-4	psg	sub-4/eeg/sub-4_task-Sleep_acq-psg_eeg.edf	131516672	131516672	fd3f1cab1ce5e890363abcbcb4e2282bcba0df7e9a143f0ec151a525a70fa261	fd3f1cab1ce5e890363abcbcb4e2282bcba0df7e9a143f0ec151a525a70fa261	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-4/eeg/sub-4_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-5	headband	sub-5/eeg/sub-5_task-Sleep_acq-headband_eeg.edf	30903040	30903040	772b739c321cfec705df03dccd82f3beb9194f149f040adafc3a89866941882e	772b739c321cfec705df03dccd82f3beb9194f149f040adafc3a89866941882e	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-5/eeg/sub-5_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-5	psg	sub-5/eeg/sub-5_task-Sleep_acq-psg_eeg.edf	169965568	169965568	336146285950e140fab4714fa1aa358b14b9005b98478da6f50d1be1b6fc98df	336146285950e140fab4714fa1aa358b14b9005b98478da6f50d1be1b6fc98df	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-5/eeg/sub-5_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-6	headband	sub-6/eeg/sub-6_task-Sleep_acq-headband_eeg.edf	138062848	138062848	bd1a025a6a3446ea675f00080f3c18fbee79cf0b2f8382226136de120445788e	bd1a025a6a3446ea675f00080f3c18fbee79cf0b2f8382226136de120445788e	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-6/eeg/sub-6_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-6	psg	sub-6/eeg/sub-6_task-Sleep_acq-psg_eeg.edf	122722560	122722560	788a733da4e9ae393fc5f34e2f6d4e67677fddf71004bc2a371866c2d9ad665e	788a733da4e9ae393fc5f34e2f6d4e67677fddf71004bc2a371866c2d9ad665e	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-6/eeg/sub-6_task-Sleep_acq-psg_eeg.edf
ds005555	1.1.1	sub-7	headband	sub-7/eeg/sub-7_task-Sleep_acq-headband_eeg.edf	28752640	28752640	e3c66714df27c103f15d9df42abc44b65960d7eced06e1646dc1e8bd157d7ea3	e3c66714df27c103f15d9df42abc44b65960d7eced06e1646dc1e8bd157d7ea3	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-7/eeg/sub-7_task-Sleep_acq-headband_eeg.edf
ds005555	1.1.1	sub-7	psg	sub-7/eeg/sub-7_task-Sleep_acq-psg_eeg.edf	158138368	158138368	21cef8ad0f8e2e98ea111dab3ba3c668570ac6ef3712e212991c9b23075cde47	21cef8ad0f8e2e98ea111dab3ba3c668570ac6ef3712e212991c9b23075cde47	True	True	pass	https://raw.githubusercontent.com/OpenNeuroDatasets/ds005555/1.1.1/sub-7/eeg/sub-7_task-Sleep_acq-psg_eeg.edf
