acquisition	channel	type	units	sampling_frequency_hz	recordings_present	recording_proportion
headband	HB_1	EEG	uV	256.0	128	1.0
headband	HB_2	EEG	uV	256.0	128	1.0
headband	HB_IMU_1	OTHER	g	256.0	94	0.734375
headband	HB_IMU_2	OTHER	g	256.0	94	0.734375
headband	HB_IMU_3	OTHER	g	256.0	94	0.734375
headband	HB_IMU_4	OTHER	deg/s	256.0	94	0.734375
headband	HB_IMU_5	OTHER	deg/s	256.0	94	0.734375
headband	HB_IMU_6	OTHER	deg/s	256.0	94	0.734375
headband	HB_PULSE	OTHER	nA	256.0	112	0.875
psg	PSG_ABD	EEG	uV	256.0	62	0.484375
psg	PSG_BEAT	OTHER	bpm	256.0	104	0.8125
psg	PSG_C3	EEG	uV	256.0	128	1.0
psg	PSG_C4	EEG	uV	256.0	128	1.0
psg	PSG_CAN	EEG	uV	256.0	19	0.1484375
psg	PSG_EMG	EEG	uV	256.0	128	1.0
psg	PSG_EOG	EEG	uV	256.0	102	0.796875
psg	PSG_EOGL	EEG	uV	256.0	26	0.203125
psg	PSG_EOGR	EEG	uV	256.0	26	0.203125
psg	PSG_F3	EEG	uV	256.0	128	1.0
psg	PSG_F4	EEG	uV	256.0	128	1.0
psg	PSG_O1	EEG	uV	256.0	128	1.0
psg	PSG_O2	EEG	uV	256.0	128	1.0
psg	PSG_PULSE	OTHER	unknown	256.0	104	0.8125
psg	PSG_SPO2	OTHER	%	256.0	104	0.8125
psg	PSG_THER	EEG	uV	256.0	62	0.484375
psg	PSG_THOR	EEG	uV	256.0	62	0.484375
