acquisition	channel_signature	recordings
headband	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE	94
headband	HB_1,HB_2,HB_PULSE	18
headband	HB_1,HB_2	16
psg	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	55
psg	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD,PSG_PULSE,PSG_BEAT,PSG_SPO2	25
psg	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_CAN,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	19
psg	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	13
psg	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	9
psg	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_THER,PSG_THOR,PSG_ABD,PSG_EMG,PSG_PULSE,PSG_BEAT,PSG_SPO2	5
psg	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOGL,PSG_EOGR,PSG_EMG	2
