subject	pid	partition	psg_channel_count	headband_channel_count	psg_header_sidecar_match	headband_header_sidecar_match	psg6_eligible	psg2_eligible	hb2_eligible	reference_match	sampling_match	duration_match	pair_pass	failed_checks	psg_channel_signature	headband_channel_signature
sub-1	89	validation	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-2	89	validation	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-3	1	train	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-4	2	validation	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-5	3	validation	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-6	4	validation	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-7	5	validation	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-8	6	train	8	9	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG	HB_1,HB_2,HB_IMU_1,HB_IMU_2,HB_IMU_3,HB_IMU_4,HB_IMU_5,HB_IMU_6,HB_PULSE
sub-9	90	test	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
sub-10	91	train	11	2	True	True	True	True	True	True	True	True	True	none	PSG_F3,PSG_F4,PSG_C3,PSG_C4,PSG_O1,PSG_O2,PSG_EOG,PSG_EMG,PSG_THER,PSG_THOR,PSG_ABD	HB_1,HB_2
