comparison	pid	f1_left	f1_right	false_alarms_per_hour_left	false_alarms_per_hour_right	f1_difference	false_alarms_per_hour_difference
P2-D_minus_P2-H2-Z	2	0.2222222222222222	0.0	0.6773283160865475	0.5644402634054563	0.2222222222222222	0.11288805268109126
P2-D_minus_P2-H2-Z	3	0.4	0.4	0.0	0.0	0.0	0.0
P2-D_minus_P2-H2-Z	4	0.0	0.0	0.2421796165489405	0.3632694248234107	0.0	-0.12108980827447019
P2-D_minus_P2-H2-Z	5	0.0	0.0	0.646551724137931	4.525862068965517	0.0	-3.879310344827586
P2-D_minus_P2-H2-Z	15	0.4	0.0	0.1805416248746238	0.1805416248746238	0.4	0.0
P2-D_minus_P2-H2-Z	17	0.0	0.0	0.4460966542750929	0.7806691449814126	0.0	-0.3345724907063197
P2-D_minus_P2-H2-Z	37		0.0	0.0	0.1251303441084463		-0.1251303441084463
P2-D_minus_P2-H2-Z	40	0.0	0.0	0.2803738317757009	2.102803738317757	0.0	-1.822429906542056
P2-D_minus_P2-H2-Z	44			0.0	0.0		0.0
P2-D_minus_P2-H2-Z	48	0.0	0.0	0.4086265607264472	0.9534619750283768	0.0	-0.5448354143019296
P2-D_minus_P2-H2-Z	55	0.0	0.0	0.6741573033707865	0.8089887640449438	0.0	-0.1348314606741573
P2-D_minus_P2-H2-Z	64	0.3157894736842105	0.2	1.2244897959183674	0.4452690166975881	0.1157894736842105	0.7792207792207793
P2-D_minus_P2-H2-Z	73	0.0	0.0	0.6355932203389831	0.2542372881355932	0.0	0.3813559322033899
P2-D_minus_P2-H2-Z	89	0.0	0.0	0.7308970099667774	0.5980066445182723	0.0	0.13289036544850508
P2-D_minus_P2-H2-Z	97	0.6	0.4615384615384615	0.0433526011560693	0.1734104046242774	0.13846153846153847	-0.1300578034682081
P2-D_minus_P2-H2-Z	106	0.0	0.0	0.1388888888888889	0.4166666666666666	0.0	-0.2777777777777777
H2-D_minus_P2-H2-Z	2	0.1333333333333333	0.0	1.354656632173095	0.5644402634054563	0.1333333333333333	0.7902163687676388
H2-D_minus_P2-H2-Z	3	0.4	0.4	0.4809619238476954	0.0	0.0	0.4809619238476954
H2-D_minus_P2-H2-Z	4	0.0	0.0	1.8163471241170537	0.3632694248234107	0.0	1.453077699293643
H2-D_minus_P2-H2-Z	5	0.0	0.0	5.301724137931035	4.525862068965517	0.0	0.7758620689655178
H2-D_minus_P2-H2-Z	15	0.2857142857142857	0.0	0.4212637913741223	0.1805416248746238	0.2857142857142857	0.24072216649949849
H2-D_minus_P2-H2-Z	17	0.0	0.0	1.5613382899628252	0.7806691449814126	0.0	0.7806691449814126
H2-D_minus_P2-H2-Z	37	0.0	0.0	0.7507820646506779	0.1251303441084463	0.0	0.6256517205422316
H2-D_minus_P2-H2-Z	40	0.0	0.0	4.626168224299065	2.102803738317757	0.0	2.5233644859813085
H2-D_minus_P2-H2-Z	44	0.0		0.1168451801363193	0.0		0.1168451801363193
H2-D_minus_P2-H2-Z	48	0.0	0.0	1.0896708286038592	0.9534619750283768	0.0	0.1362088535754824
H2-D_minus_P2-H2-Z	55	0.0	0.0	1.348314606741573	0.8089887640449438	0.0	0.5393258426966292
H2-D_minus_P2-H2-Z	64	0.3478260869565217	0.2	1.5584415584415583	0.4452690166975881	0.14782608695652166	1.1131725417439702
H2-D_minus_P2-H2-Z	73	0.1333333333333333	0.0	1.3983050847457628	0.2542372881355932	0.1333333333333333	1.1440677966101696
H2-D_minus_P2-H2-Z	89	0.1176470588235294	0.0	1.6611295681063123	0.5980066445182723	0.1176470588235294	1.06312292358804
H2-D_minus_P2-H2-Z	97	0.2580645161290322	0.4615384615384615	0.9104046242774566	0.1734104046242774	-0.2034739454094293	0.7369942196531792
H2-D_minus_P2-H2-Z	106	0.0	0.0	1.3888888888888888	0.4166666666666666	0.0	0.9722222222222223
P2-D_minus_H2-D	2	0.2222222222222222	0.1333333333333333	0.6773283160865475	1.354656632173095	0.0888888888888889	-0.6773283160865475
P2-D_minus_H2-D	3	0.4	0.4	0.0	0.4809619238476954	0.0	-0.4809619238476954
P2-D_minus_H2-D	4	0.0	0.0	0.2421796165489405	1.8163471241170537	0.0	-1.5741675075681132
P2-D_minus_H2-D	5	0.0	0.0	0.646551724137931	5.301724137931035	0.0	-4.655172413793103
P2-D_minus_H2-D	15	0.4	0.2857142857142857	0.1805416248746238	0.4212637913741223	0.11428571428571432	-0.24072216649949849
P2-D_minus_H2-D	17	0.0	0.0	0.4460966542750929	1.5613382899628252	0.0	-1.1152416356877324
P2-D_minus_H2-D	37		0.0	0.0	0.7507820646506779		-0.7507820646506779
P2-D_minus_H2-D	40	0.0	0.0	0.2803738317757009	4.626168224299065	0.0	-4.345794392523365
P2-D_minus_H2-D	44		0.0	0.0	0.1168451801363193		-0.1168451801363193
P2-D_minus_H2-D	48	0.0	0.0	0.4086265607264472	1.0896708286038592	0.0	-0.681044267877412
P2-D_minus_H2-D	55	0.0	0.0	0.6741573033707865	1.348314606741573	0.0	-0.6741573033707865
P2-D_minus_H2-D	64	0.3157894736842105	0.3478260869565217	1.2244897959183674	1.5584415584415583	-0.032036613272311165	-0.3339517625231909
P2-D_minus_H2-D	73	0.0	0.1333333333333333	0.6355932203389831	1.3983050847457628	-0.1333333333333333	-0.7627118644067796
P2-D_minus_H2-D	89	0.0	0.1176470588235294	0.7308970099667774	1.6611295681063123	-0.1176470588235294	-0.9302325581395349
P2-D_minus_H2-D	97	0.6	0.2580645161290322	0.0433526011560693	0.9104046242774566	0.3419354838709678	-0.8670520231213873
P2-D_minus_H2-D	106	0.0	0.0	0.1388888888888889	1.3888888888888888	0.0	-1.25
