subject	pid	partition	timing_and_stage_match	feature_schema_match	maximum_absolute_feature_difference	tolerance	reproduction_pass	source_feature_sha256
sub-1	89	validation	True	True	4.348611533089297e-07	1e-06	True	69fc14bd29165faffd40e2c81e102955977535e2ba528de03dc84a406ce3b7a1
sub-105	73	validation	True	True	1.1918060804916308e-07	1e-06	True	192e57950a50e6054d7aa1b29135c230061882e42e026424b0281d783036658d
sub-112	97	validation	True	True	1.19166249312741e-07	1e-06	True	25531f44aa72f3dd00f82a53415de8b272cf7d9a2553e4c90d78d7c6a12ddefb
sub-113	97	validation	True	True	1.1917446007814192e-07	1e-06	True	9ab3bd38c424df48276ee97047818a7affe27493c51323d18ed9a99243920335
sub-114	97	validation	True	True	1.1920083053951203e-07	1e-06	True	3da624bdcef48abefc44556a0fa467ec320e8c703639f9f16c246e59feedc8c3
sub-124	15	validation	True	True	1.191610823347844e-07	1e-06	True	19d0024f5b729215c000b5d1dc01a53a9970545113fbe3f39aa1ecb2b6988528
sub-126	106	validation	True	True	2.3777342406106072e-07	1e-06	True	d8fb06d985df7667725179db5d943ce423c3fba05dbb8a199171edf336d9d318
sub-2	89	validation	True	True	4.663957593464829e-07	1e-06	True	5622a5f8c8a569f4594adfff045f6f4f6db7bc6b370669b7aae455ba499c6468
sub-23	15	validation	True	True	1.192016227946624e-07	1e-06	True	821def1eb9921b56bd215532c0960d089d1f61219a8130195ae851eeda4eb3ea
sub-25	17	validation	True	True	3.7753426340714213e-07	1e-06	True	b86ca595d89f84a8908dcefe8771cd8b76eb7620f120c8402fc7c70b1bb5575c
sub-4	2	validation	True	True	4.323889477575449e-07	1e-06	True	29cd78dceecacefac2c8c06fd9302646c8e0e56025c09b616568172011627d99
sub-5	3	validation	True	True	1.1919850262387399e-07	1e-06	True	40ee21a37ef7cede1a3d751e2d076377e61a6d57345bf87b14605af7a75d0cba
sub-6	4	validation	True	True	1.1918216102912993e-07	1e-06	True	0ba181dd62d030590435108b92ac22aca79ffbfb9f8da29ac06027168dc629cf
sub-7	5	validation	True	True	2.382485497776088e-07	1e-06	True	8ef0de681ea358f45550674bbc4cbcb3c99b887e0e232ce9e1a84ea984bad7b6
sub-72	37	validation	True	True	1.1909617958494323e-07	1e-06	True	171cfbeaa13fc1ad2c931b300a3b798e16cea1a62b18725df8d54837393e0830
sub-75	40	validation	True	True	2.3833440199183542e-07	1e-06	True	76e110ceb8cacec2f54d6dabad44f6f06e8919f79db5c040abbcd6ec87510b7e
sub-79	44	validation	True	True	1.1916316244864333e-07	1e-06	True	eb96561bbc1015a2502e959d8c261a81b5fe3b22bb883b26be208e160564bc4c
sub-82	48	validation	True	True	4.3977117591964543e-07	1e-06	True	f8167d501c3814607f2787be73ac07a6772ca73826ecbb6363bf0aff1e269724
sub-88	55	validation	True	True	3.192648403427256e-07	1e-06	True	a8935f105a221b4c4c53b9d2f4a4a9149d618362012fa8ee900dec921bc92730
sub-97	64	validation	True	True	4.2922343546081265e-07	1e-06	True	c85e8719907d0ede16a5303952d8022dcb775b09b67967ac3b71cd82fee1ca93
