subject	pid	channel	seed	raw_samples	noise_basis_sha256
sub-1	89	HB_1	7840089538380411037	7029504	8d71d127fda7f61efea061c3f743ceef33e306bfb6140c2907eea4cd043749c4
sub-1	89	HB_2	13082220474535849325	7029504	4bdbdb9fca57d4ece6be08fddc7dbc1cda7f101f967ae86959abbe5daccfb46b
sub-105	73	HB_1	12022366895753584517	7474176	4da68680e253fd61066bdb144be63713e71db0e4b3dc4122729da1d7a03e252c
sub-105	73	HB_2	12667782411488245307	7474176	2e323ab68a3a5df00c26c8245a1d30045ca946029da8a0b87f6e4db370bc13f5
sub-112	97	HB_1	12511679730864974289	7061504	389c916629a2b61e053f89c9d5be2c6fea43710bf99fb5a6ed95433a1759392b
sub-112	97	HB_2	13591630939483614348	7061504	598a3a0252bd4f6feaa2e4a342fdc9eba2dac24f147cd8760624ceeb1916936b
sub-113	97	HB_1	4247293034941046130	7197952	84d9da663bfb761cebffd1ae95853afcaf6fc7a46702565c4b6354760b48d2b9
sub-113	97	HB_2	11918051573254374484	7197952	a54caad68a16cad866ff500fb41bde84091944dc1ad627f22920db35c8a04d28
sub-114	97	HB_1	5678304510471174159	7171328	388ae0b87788ac89d8b79c5bb0228fd61378a993ccb3cbdb2a61cc722160ce37
sub-114	97	HB_2	16163840605170012681	7171328	0a966a4a35b3f19758afe7fc2e8277b3421e44425b283c21d22f79b61a81409f
sub-124	15	HB_1	13850506240831592582	6828032	8f32574cd54c843534406955521d0325e72f683703c96ca11f90e70aff7b905e
sub-124	15	HB_2	13169238322721244418	6828032	58420714fd29ba3119eb7658b4c30298165603567106fea86279e5a126ad8fa0
sub-126	106	HB_1	18420849250990790322	6689280	469b29939c3b538e2795c71a5bef2febb289daf3ba022d2de4850b49f2d00374
sub-126	106	HB_2	16595601217335412130	6689280	5787d815bdfb50ee251a113498bc5fb987a4c88c75d096999efc073d0afbc149
sub-2	89	HB_1	12345284308583571387	7014400	256fa395863bda08e48cf05a1398409ca44898d3d40ffa5bca0e62fd0fbede4b
sub-2	89	HB_2	14512736299715002477	7014400	541dbf23b32d5719e0609d3a67cc95bc89234d66fa91d92eb526c10fa4c8c9aa
sub-23	15	HB_1	13909691780372234752	8601088	1392cfef1b97511bc03a6f4c94ba1b014fa91aecb0399a504d532466384d6638
sub-23	15	HB_2	17531742382691508463	8601088	d4ab87d2909d604715119659131a39998791add347761ca48acdec3334573297
sub-25	17	HB_1	10148869811860414734	8321536	92bbaabb211d7a1b059e55fc4c0bf1f9963ff0327ba2aa2074e8f7a7ef077a71
sub-25	17	HB_2	13362088943084533364	8321536	45331cabb2742d44bfe76adcb94863089d1a73712bf5694dfcc79b2171d4458b
sub-4	2	HB_1	5761618847093014662	8219648	cd1877680e5aea31bad4bbf594da71808d2f4907b34edce7253bf6993d006aa3
sub-4	2	HB_2	14477638632941049950	8219648	65a27117dad3ef92764a8d8bf0c316c288bbcf7af2115ad1b8b6d1b12e0d5fae
sub-5	3	HB_1	17226246722378562704	7725568	cfe2dc1a4011f71aecc1fe7642bd2a7b5ed4228b0423cfab50fdb836fba60833
sub-5	3	HB_2	2605785049888111984	7725568	f3bf1d59fa084bbce1f8f7ca7f25163d33f9e2d5db4c72fad4dc1220461eb4ad
sub-6	4	HB_1	16630319647956591672	7670016	829327ac49bc4d51de7996410671839108a1649764cba70a1832bfc10a61676b
sub-6	4	HB_2	8257319003799231174	7670016	bb1298c130091e900cfc1d7f1c0f0812e14dd7d7dc49fbfa45e1ec33f447512f
sub-7	5	HB_1	8648000091181905084	7187968	a06aa4b5b0303bffbeb6b2da3dc06b1838f902eeea4e5028c04affaa918c6221
sub-7	5	HB_2	12608826059502145193	7187968	bfae8663e8ce348920dfdd36e4e68f231587702c73e9325ef26dd3268cccc32a
sub-72	37	HB_1	14355369694813965625	7420160	ef1ad83683887fc0fe4531b015ff8a618972e751b4072ecdcd449d608e5a89f6
sub-72	37	HB_2	17264372562784298843	7420160	6ae589b44ffdf2dd86722c873ed64ec13c3b04135e7836f57fcbbf446a6844be
sub-75	40	HB_1	6224371947320858848	6633984	582aac5aa7d3c1235aa28238f4a76d65be5bf948450d7c2d0720b66653c619a1
sub-75	40	HB_2	11204825743957864099	6633984	2d0b1eb4619d96b9f0e4005352bee5d78a2e58adedb345d9dd7f998264f5c9b6
sub-79	44	HB_1	8297148133132507856	7941632	42bd4f8e8a2e0e7d68422095fd2876a5af255b422ce9a4c93a73fc3f0aa590ac
sub-79	44	HB_2	17751908394478128649	7941632	e2f7415c5dbfd6dd7ac2c3dc411c388d178221f0a35ded6c90d962c383c5e2ef
sub-82	48	HB_1	9002676232532955048	6825728	b8688049033a62604089d9fcca117631158c067135cb9230cd7a9c5ea6a7051b
sub-82	48	HB_2	13176688571519847868	6825728	5b03a7b592e337f6ca5dea50cddfc066e6f62c8494bbe80dcfea726aa23f8efa
sub-88	55	HB_1	2106756460395075031	6890240	5d0e77f0db7085db91427c4950a1282fde7b7d09adcfbb476b5993101b2e848c
sub-88	55	HB_2	8321276197620108247	6890240	2103aae54244cd6925d5d00c34bb97a729af0edf073f66b5fcf1b82dc18a3da4
sub-97	64	HB_1	5552244570623016005	8333824	11a852e1ebcf929da5c9ad326829d300cec5cfd321bf86eca737b1f7c92e6cdb
sub-97	64	HB_2	14463802021353027151	8333824	5dc0a1bd0eefdb12fe98c701d10f3dbd9aab778ece4206d4b3c438a4e66202e1
