comparison	metric	point_difference	resamples	seed	lower_95	median	upper_95
H2-BOTH-20DB_minus_H2-CLEAN	event_f1_difference	0.028744939271255057	2000	20260911	-0.03616800252152124	0.025426464928135592	0.08687493809035535
H2-BOTH-20DB_minus_H2-CLEAN	false_alarms_per_hour_difference	-0.7781205877738848	2000	20260911	-1.5068834653355385	-0.7633609960779447	-0.3322423992386044
H2-BOTH-10DB_minus_H2-CLEAN	event_f1_difference	0.01758942811574389	2000	20260911	-0.09244290023701789	0.010468546797983813	0.1169175060167583
H2-BOTH-10DB_minus_H2-CLEAN	false_alarms_per_hour_difference	-1.2362077079956073	2000	20260911	-1.9251314925161946	-1.2227724206362378	-0.7869542643636602
H2-BOTH-0DB_minus_H2-CLEAN	event_f1_difference	-0.11228070175438597	2000	20260911	-0.1869238417180354	-0.11203448275862068	-0.04102389078498295
H2-BOTH-0DB_minus_H2-CLEAN	false_alarms_per_hour_difference	-1.4432881869999477	2000	20260911	-2.1147138215187926	-1.4299308203945436	-0.9856896264178655
H2-HB1-10DB_minus_H2-CLEAN	event_f1_difference	-0.07039588500045926	2000	20260911	-0.11740144385145498	-0.06914084674918991	-0.026476296576361948
H2-HB1-10DB_minus_H2-CLEAN	false_alarms_per_hour_difference	3.0058045285781523	2000	20260911	1.510022111522866	2.9704689148935577	5.0621448751785145
H2-HB2-10DB_minus_H2-CLEAN	event_f1_difference	-0.029806474950262257	2000	20260911	-0.10338321748578735	-0.03148817340012911	0.03096026141232052
H2-HB2-10DB_minus_H2-CLEAN	false_alarms_per_hour_difference	-1.1044292213564817	2000	20260911	-1.7436000495466812	-1.0865002408259914	-0.7016453881478266
