dimension_index	context_offset_sec	base_feature_index	feature_name	channel	neutral_value	neutralized_in_comparator
0	-120.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.4622938721307468	H2-NO-HB1
1	-120.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.6002721794844597	H2-NO-HB1
2	-120.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.915815342898096	H2-NO-HB1
3	-120.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.234344059843848	H2-NO-HB1
4	-120.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.6492863023287616	H2-NO-HB1
5	-120.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.45653320155325267	H2-NO-HB2
6	-120.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.6395073380561522	H2-NO-HB2
7	-120.0	7	HB_2_alpha_log10_mean_psd	HB_2	-1.95587635865198	H2-NO-HB2
8	-120.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.267379143539133	H2-NO-HB2
9	-120.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.66661776959179	H2-NO-HB2
10	-90.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.47047597875706054	H2-NO-HB1
11	-90.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.6048474426863757	H2-NO-HB1
12	-90.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.9212829394254465	H2-NO-HB1
13	-90.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.234657337187273	H2-NO-HB1
14	-90.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.6507771417656127	H2-NO-HB1
15	-90.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.4698678836539528	H2-NO-HB2
16	-90.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.6480369595704032	H2-NO-HB2
17	-90.0	7	HB_2_alpha_log10_mean_psd	HB_2	-1.9631944902667675	H2-NO-HB2
18	-90.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.270199554144923	H2-NO-HB2
19	-90.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.671110722191178	H2-NO-HB2
20	-60.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.4971490024257942	H2-NO-HB1
21	-60.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.6145382617731658	H2-NO-HB1
22	-60.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.9320626742010607	H2-NO-HB1
23	-60.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.2414717718118866	H2-NO-HB1
24	-60.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.642415467466354	H2-NO-HB1
25	-60.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.49430820215554905	H2-NO-HB2
26	-60.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.658699422155283	H2-NO-HB2
27	-60.0	7	HB_2_alpha_log10_mean_psd	HB_2	-1.9751717838751728	H2-NO-HB2
28	-60.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.276927598499813	H2-NO-HB2
29	-60.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.6616425279703098	H2-NO-HB2
30	-30.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.47405693609492155	H2-NO-HB1
31	-30.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.6115856536888495	H2-NO-HB1
32	-30.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.9274635293428974	H2-NO-HB1
33	-30.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.223017233010684	H2-NO-HB1
34	-30.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.597767660935517	H2-NO-HB1
35	-30.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.472400677750656	H2-NO-HB2
36	-30.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.6576404995480203	H2-NO-HB2
37	-30.0	7	HB_2_alpha_log10_mean_psd	HB_2	-1.9696325525998624	H2-NO-HB2
38	-30.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.259292803851414	H2-NO-HB2
39	-30.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.6193382065529986	H2-NO-HB2
40	0.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.43920446334631585	H2-NO-HB1
41	0.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.605362310792624	H2-NO-HB1
42	0.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.907301769812221	H2-NO-HB1
43	0.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.1899951717463524	H2-NO-HB1
44	0.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.5436274834409103	H2-NO-HB1
45	0.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.4484173447335544	H2-NO-HB2
46	0.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.6532274467834602	H2-NO-HB2
47	0.0	7	HB_2_alpha_log10_mean_psd	HB_2	-1.9498592881697006	H2-NO-HB2
48	0.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.2273573338431336	H2-NO-HB2
49	0.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.5667100403698266	H2-NO-HB2
50	30.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.554022931236574	H2-NO-HB1
51	30.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.6418810845543694	H2-NO-HB1
52	30.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.9591486331182721	H2-NO-HB1
53	30.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.255584373054303	H2-NO-HB1
54	30.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.6554634984660073	H2-NO-HB1
55	30.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.5518853513093076	H2-NO-HB2
56	30.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.6864577946906711	H2-NO-HB2
57	30.0	7	HB_2_alpha_log10_mean_psd	HB_2	-1.9983566367908405	H2-NO-HB2
58	30.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.2894898852943895	H2-NO-HB2
59	30.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.6764043800449975	H2-NO-HB2
60	60.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.5473389104371862	H2-NO-HB1
61	60.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.6382960045300736	H2-NO-HB1
62	60.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.9629988844159785	H2-NO-HB1
63	60.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.2570504652749785	H2-NO-HB1
64	60.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.679778906665783	H2-NO-HB1
65	60.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.553486290968358	H2-NO-HB2
66	60.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.687222406735309	H2-NO-HB2
67	60.0	7	HB_2_alpha_log10_mean_psd	HB_2	-2.0041024954239197	H2-NO-HB2
68	60.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.293177632033021	H2-NO-HB2
69	60.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.7025124298166205	H2-NO-HB2
70	90.0	0	HB_1_delta_log10_mean_psd	HB_1	-0.5273089289237908	H2-NO-HB1
71	90.0	1	HB_1_theta_log10_mean_psd	HB_1	-1.626650535322609	H2-NO-HB1
72	90.0	2	HB_1_alpha_log10_mean_psd	HB_1	-1.9542725800685625	H2-NO-HB1
73	90.0	3	HB_1_sigma_log10_mean_psd	HB_1	-2.242681215700228	H2-NO-HB1
74	90.0	4	HB_1_beta_log10_mean_psd	HB_1	-2.6762136999725468	H2-NO-HB1
75	90.0	5	HB_2_delta_log10_mean_psd	HB_2	-0.5381565572275117	H2-NO-HB2
76	90.0	6	HB_2_theta_log10_mean_psd	HB_2	-1.6760491082078777	H2-NO-HB2
77	90.0	7	HB_2_alpha_log10_mean_psd	HB_2	-1.9962308123284043	H2-NO-HB2
78	90.0	8	HB_2_sigma_log10_mean_psd	HB_2	-2.2797664709326737	H2-NO-HB2
79	90.0	9	HB_2_beta_log10_mean_psd	HB_2	-2.69891827193612	H2-NO-HB2
