comparison	ablated_channel	omitted_pid	remaining_pid	f1_difference	false_alarms_per_hour_difference	f1_direction_matches_full	far_direction_matches_full
H2-NO-HB1_minus_H2-INTACT	HB_1	2	15	-0.1111111111111111	-0.9235880398671098	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	3	15	-0.10181818181818182	-0.9600000000000002	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	4	15	-0.11895910780669144	-0.8934480476505625	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	5	15	-0.13114754098360656	-0.9167353668590275	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	15	15	-0.1033210332103321	-1.0158211220736764	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	17	15	-0.11940298507462686	-0.9176040339114536	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	37	15	-0.11469534050179211	-0.9579387800044045	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	40	15	-0.12698412698412698	-0.7685991131548695	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	44	15	-0.11267605633802817	-0.9814323607427057	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	48	15	-0.11552346570397112	-0.9472645543251839	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	55	15	-0.11636363636363636	-0.9411506608895958	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	64	15	-0.0916030534351145	-0.9177057356608478	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	73	15	-0.1111111111111111	-0.9175422190439517	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	89	15	-0.11155378486055777	-0.9424265172951436	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	97	15	-0.09448818897637795	-0.9464995414246409	True	True
H2-NO-HB1_minus_H2-INTACT	HB_1	106	15	-0.11678832116788321	-1.0186757215619693	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	2	15	-0.01974055273547659	-0.4451827242524917	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	3	15	-0.02598879793192589	-0.3840000000000001	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	4	15	-0.01895910780669144	-0.4169424222369291	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	5	15	-0.036360811125786666	-0.17807089859851621	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	15	15	-0.017196631296456502	-0.3993227859186177	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	17	15	-0.023249138920780704	-0.3590624480523079	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	37	15	-0.020355717860282674	-0.40299493503633554	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	40	15	-0.023891343478972343	-0.34159960584660864	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	44	15	-0.01921811241279453	-0.4244031830238726	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	48	15	-0.019829685799664903	-0.4078500164455654	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	55	15	-0.021576906505816465	-0.38172544287829746	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	64	15	-0.019438104981506263	-0.4189526184538652	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	73	15	-0.013071895424836596	-0.4026624126739644	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	89	15	-0.010543683850456759	-0.33955073049604434	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	97	15	-0.02518125828330864	-0.34484867013145837	True	True
H2-NO-HB2_minus_H2-INTACT	HB_2	106	15	-0.02200159131006331	-0.37460978147762747	True	True
