sample_id	subject	pid	label	source_tier	augmentation_conditions	complete_five_condition_multiplicity
background_100	sub-100	67	0	strict_same_stage_window	5	True
background_101	sub-100	67	0	strict_same_stage_window	5	True
background_102	sub-100	67	0	strict_same_stage_window	5	True
background_103	sub-100	67	0	strict_same_stage_window	5	True
background_104	sub-101	68	0	nontarget_window_no_remwake_nearby	5	True
background_105	sub-101	68	0	nontarget_window_no_remwake_nearby	5	True
background_106	sub-101	68	0	nontarget_window_no_remwake_nearby	5	True
background_1062	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1063	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1064	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1065	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1066	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1067	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1068	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1069	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_107	sub-101	68	0	nontarget_window_no_remwake_nearby	5	True
background_1070	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1071	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1072	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1073	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1074	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1075	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1076	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1077	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1078	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1079	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_108	sub-101	68	0	nontarget_window_no_remwake_nearby	5	True
background_1080	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1081	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1082	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1083	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1084	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1085	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1086	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
background_1087	sub-128	108	0	nontarget_window_no_remwake_nearby	5	True
