subject	pid	condition	epochs	context_rows	feature_dimensions	all_features_finite	path_relative_to_data_parent	bytes	sha256
sub-3	1	TRAIN-BOTH-20DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-3_features_v0.1.npz	37952	1bbe404595d7dacccf9fa71e6f1e0f311f4cac3ad60476be7809ad734649a272
sub-3	1	TRAIN-BOTH-10DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-3_features_v0.1.npz	37596	389b2ef8872ab17cd1a07fd9fe0d8c4a27fa56796b0fd492bd134e10aa21154c
sub-3	1	TRAIN-HB1-10DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-3_features_v0.1.npz	38548	b80de123e1307a37d4220f4d2d12375777dc3fbb459693f6f27f32a5deab961e
sub-3	1	TRAIN-HB2-10DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-3_features_v0.1.npz	38433	96d49852634186032776e6fb5efdb0cd6a29d162a36ab58cd810e0a10520df07
sub-8	6	TRAIN-BOTH-20DB	409	402	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-8_features_v0.1.npz	16347	7992dc0f9da19170bddcb80cc24d982b934573db6b6e777c36be04fa10f1035d
sub-8	6	TRAIN-BOTH-10DB	409	402	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-8_features_v0.1.npz	16117	f4cbb9bd13a42d5b6fab0fe097a5b59107fed59f677767f7f37625c329cbfc3a
sub-8	6	TRAIN-HB1-10DB	409	402	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-8_features_v0.1.npz	16384	4d70d5c26ffa404bd8dda353bf27b7020c81817e756ee8258d52d5a7154c81c0
sub-8	6	TRAIN-HB2-10DB	409	402	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-8_features_v0.1.npz	16338	2b4d0471bb798846a65320bb08eebf8599a389507c395237b9393ff3f0d6a9e7
sub-10	91	TRAIN-BOTH-20DB	993	986	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-10_features_v0.1.npz	38050	d398f51f8821447fdda966eb0685534d91bdbc00fa4c603109c5e736c7b908dc
sub-10	91	TRAIN-BOTH-10DB	993	986	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-10_features_v0.1.npz	37544	95d833f533c6c9320662c9d716bca0858c7fd5c3357684f2c3a5ec63df2d35fc
sub-10	91	TRAIN-HB1-10DB	993	986	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-10_features_v0.1.npz	37931	04e77950cf3332549d103bc95fdc457aa8576328bf2911a7bc6c27df9db609ec
sub-10	91	TRAIN-HB2-10DB	993	986	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-10_features_v0.1.npz	37988	231f777abeaa5024e655bcf765abe7988133a8c8fe81876ddb21abe6312a091c
sub-11	8	TRAIN-BOTH-20DB	984	970	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-11_features_v0.1.npz	38124	e5ad6c04d75d83d1cf45e3da0d64ff6af435ac3623c521e5f8a2fd7a3899ba21
sub-11	8	TRAIN-BOTH-10DB	984	970	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-11_features_v0.1.npz	38327	e4f760a4a031dd8772cd6b1a61c79117ee7929a645d09f7ee83b3b97e4cca9ad
sub-11	8	TRAIN-HB1-10DB	984	970	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-11_features_v0.1.npz	38341	4e694fa0e7b3731fc9d6b4d47ee66df33e014e0cd1c3d62f48514e32390956ae
sub-11	8	TRAIN-HB2-10DB	984	970	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-11_features_v0.1.npz	37604	56c2a5339cd14981496e3774ff25dc2f1a8c46a8f1b540f80ef5bdedd310e431
sub-12	92	TRAIN-BOTH-20DB	1006	992	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-12_features_v0.1.npz	38494	f1130a8d896204d8e82239c91550c223ace83644ebcd3c54e97af043fe00f66d
sub-12	92	TRAIN-BOTH-10DB	1006	992	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-12_features_v0.1.npz	38249	1462edbd6d7ad9ed0d8eea9b0e279f91a3bce1d69d5c11969b60dbccded3691f
sub-12	92	TRAIN-HB1-10DB	1006	992	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-12_features_v0.1.npz	38556	5ef3d315c6bfd65859b47268e1260f102934dfa81a5d497121c0b35a01c21c80
sub-12	92	TRAIN-HB2-10DB	1006	992	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-12_features_v0.1.npz	38528	cfc04c18265d4f98cd80069f5337e5630ccaa1245228e3d814eb865f189007cd
sub-13	91	TRAIN-BOTH-20DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-13_features_v0.1.npz	36827	18ff61368ed56a3626fa5ebf87e93661a582686a4a5a2a6d0b9a9b25236f86fe
sub-13	91	TRAIN-BOTH-10DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-13_features_v0.1.npz	37315	742fb1d20860390c50ea89531252d17964439c6c9b066713048d6498449be8a8
sub-13	91	TRAIN-HB1-10DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-13_features_v0.1.npz	28549	7e4828ef792e1f0e9f14b8c2a3be3163158f358d2600833e858c0ebfc2036372
sub-13	91	TRAIN-HB2-10DB	997	990	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-13_features_v0.1.npz	28763	0e3bb455cff222a8373ab9d2cccacf487b73c243d2ec36ccc5ee31431b229593
sub-14	9	TRAIN-BOTH-20DB	1068	1047	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-14_features_v0.1.npz	41108	8729c2244b68363a83f35f869879c436898062439361c7a0910b7331fd7bc010
sub-14	9	TRAIN-BOTH-10DB	1068	1047	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-14_features_v0.1.npz	40083	2e13634e834928543b8dc3a876c4fc19759ae5ab773d972361e6c2112ff42d73
sub-14	9	TRAIN-HB1-10DB	1068	1047	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb1_10db/sub-14_features_v0.1.npz	41182	d66860a4b5485d1418e33affe76e562137e5f6223e95386d5e4f896609be8169
sub-14	9	TRAIN-HB2-10DB	1068	1047	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/hb2_10db/sub-14_features_v0.1.npz	41262	3faf7cde3e520776b444d7b6cf67ac33a133274ca3d237d65c52d97554dc629b
sub-15	10	TRAIN-BOTH-20DB	1093	1079	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_20db/sub-15_features_v0.1.npz	42100	5cf495c40b1971fa0bf5f657bc2b2414b99a128188e869225ca97962fe0141df
sub-15	10	TRAIN-BOTH-10DB	1093	1079	10	True	derived/block8_noise_augmented_training_v0.1/recording_features/train/both_10db/sub-15_features_v0.1.npz	40962	e7988164e91db22130ae7e1fadaa6b92c21f3eddac7146aa24233bb2919c58ff
