subject	pid	timing_and_stage_match	feature_schema_match	maximum_absolute_feature_difference	tolerance	reproduction_pass	source_feature_sha256
sub-3	1	True	True	3.3206333860391624e-07	1e-06	True	d4647c2f5394e766bba0a6b966888a36a4da6871f98acabf76674d7944c6f2f4
sub-8	6	True	True	1.1913401420926562e-07	1e-06	True	cddd2150fb99c558abee8bd5236073c144d08ed187faabf4704de22f9b5193c1
sub-10	91	True	True	1.1920276676846697e-07	1e-06	True	97242c3d5bc821d87690d6fa1b85f4a1ce5a9cdd5b520697ae906c9852a01490
sub-11	8	True	True	4.4077256156072053e-07	1e-06	True	551f641f88a1949e5c259c4c554aa98d5805d3aa9ef171fc4b0bb7473952f461
sub-12	92	True	True	1.191913119313881e-07	1e-06	True	2cb0369c41ea44a044e012491da2883ab4d9a55524a25503250f614e1c4fa63e
sub-13	91	True	True	3.8229871535122584e-07	1e-06	True	9f691039b0d8b209ef5e14b8526ae732d1e07863cd721b5731d50a970dfae2ee
sub-14	9	True	True	1.1920011377952733e-07	1e-06	True	bf2a02a39eb29b2f8e620c29f4d3c64bd8c0f663d3de56beadfad00b9c9d120e
sub-15	10	True	True	1.1918888676021311e-07	1e-06	True	8af198cde6e5c10f62d9b77b77c8582e5bc883d90f9d4c42ca4c7ff61d4d7d25
sub-16	11	True	True	1.1913587494305489e-07	1e-06	True	c2a7752cd1f1e532a1f70d55f870b9fb9efe3b7160faa8c709b25cb5bf1c63e4
sub-17	92	True	True	1.1918340936389882e-07	1e-06	True	0da837f127cc08d1cf861af580f4a1f2fc19c62b2bb3e8d37436ff6ab42a9223
sub-19	93	True	True	2.3735820686709985e-07	1e-06	True	0e2006ac5002a919c918b6c995fd1c3cc19b87cd7c8d13d04cb31f018305b3e9
sub-20	13	True	True	3.1556443502722686e-07	1e-06	True	87ac74368964a7fb5ec747cf5cb68a61afaa445c6ce1145f7369de15525a18f3
sub-21	93	True	True	1.191733951522167e-07	1e-06	True	cc8d7529c762dea0ce4f6a88e62bde4a101ba2d8965f5207f52f8f4e25f963e7
