subject	pid	channel	seed	raw_samples	noise_basis_sha256
sub-3	1	HB_1	6367136756880186510	7659776	51c78bfd597c616305b659cfe82fcfaa9fd551b28f22b0ad0a5786ee2ca2375a
sub-3	1	HB_2	3093838603469099052	7659776	bb79e3d425a552961b28b36afdf9ff4a686012f9ffb2e4fdcb58b43d0ed9e158
sub-8	6	HB_1	7115070256029572654	3146240	0ac52f9e0bb3667183e274a3378ecd5569b6991cc7cea9412b35486abecf427e
sub-8	6	HB_2	1038512398255181614	3146240	81f05fd7bbfd38fa4de64208a5605e7a1623531b2b035376ecc9a2e5a39fae3a
sub-10	91	HB_1	1360974231187489726	7631616	4e5b3646b540f03c10efd5eb6ea1e738e39512e86530205f594e1b7a3a5c060f
sub-10	91	HB_2	13123185723752954845	7631616	728b193361ff72c5f9cb9ed77d5535ae60d8ec2e573eca644c71d5302d2108d1
sub-11	8	HB_1	8531507609349676484	7568128	cc6de27edb5f065c6e8a18dc30b271539751379773182efe958ae066c4ffba8a
sub-11	8	HB_2	7128867844096316890	7568128	dcbb4a57190a5d344cda5293d5038ce9642a9ac1f2412652941a028a3217c430
sub-12	92	HB_1	15600683634559444131	7783424	344652363f2f8986480ce6b8cfd5920e86d586d58e2b5432d66129af41c3726f
sub-12	92	HB_2	4407746143653892981	7783424	2bca3dda3e61c7084b7e1e06132cafd29f7d79cd8c86c01d8aac36d52e6bd750
sub-13	91	HB_1	43261355909915572	7663360	1e4b6c4ce770b6e4d92f16c3e53d6a3ef961a770d0c9d04ca9354ff0c642d994
sub-13	91	HB_2	9874345840567328232	7663360	3f6a02a55b3124f86f9da56c0dc3e3c3bd15706b36ef26296f71232448bd49ca
sub-14	9	HB_1	14611368412648634748	8220928	22da29a3ddd09f86b9c82959d319b90cfc1b5a00b70948ad172e0267cb345286
sub-14	9	HB_2	10846624547045725345	8220928	dba1fc9031bcf985acc79088274ceed4a749a71da2826018df54b50fed0175a7
sub-15	10	HB_1	3831592631544445	8403712	96459ea254cef3f84b962748ed897755e5c959619d62ba4d5e832ee0e42c5ca1
sub-15	10	HB_2	15915881524376848905	8403712	1ea02d07d71c9a5bd78b91ceceb27e89064abdd9a8c247b88179a04311527f1c
sub-16	11	HB_1	9685062980427982073	7898880	bebab5d6d68a44fc700cfeec9d3d567d0ff5fbe8c5a52ee9b8797e92ff004a96
sub-16	11	HB_2	902991564646849945	7898880	01079bd424010d9cf21231838146a8168bcf8b3015ff6d459a3c04acea1a0e44
sub-17	92	HB_1	17720619359983716569	7584768	5c46be38d8b81a06363b3d12464c81211c18e0fbb30d956169b2d83ad88932c3
sub-17	92	HB_2	4090323221254681086	7584768	f15982af02685590a007aa14d174ad1eb8db0c909621a69eadb67d59b341c642
sub-19	93	HB_1	9482903315601436869	7776512	9ee672282efcec260e71c33977e62f5364dc0cf6d2227c94311bd99c58d446f8
sub-19	93	HB_2	14431957599801448602	7776512	af239b2975aa7fa3d2cea06dbe78f2e0622193821e879397dc4ba7db08a0f411
sub-20	13	HB_1	9321847404702717595	8052480	4f07e598caebf39c13cbc1ffae17bbee981d43c63826675423e61d41e03649a5
sub-20	13	HB_2	10188470501403281025	8052480	7e8a75a07d73b2964fccfb9a1ddabb351a03768244c2363d3d6c40c1d8829204
sub-21	93	HB_1	15410141795424387267	8012544	5b107b0e494a3dd63e2701cb15c97c7af905d056c5c8d840b32bf1a1d2745efb
sub-21	93	HB_2	9663363932387844824	8012544	1bf85e10d4f366cdb0935125bc1255a60dc15e0441f618ee550f51f5a977e36e
sub-22	14	HB_1	17480059137268245628	7945472	dbaef817d3922ef8c0b187d91f9174a0c11248d0c3b0d6934d01454c3cd24168
sub-22	14	HB_2	14339858223847137410	7945472	319a53a1f880afd9317a57a2c1f4b2c683100862d1c8fb7aa981a25e334ce9b4
sub-24	16	HB_1	5873642801340676173	7168512	94911b349640fe40e289a4b929905b3e2caa72a15eb8730eb8d443ac046d6f21
sub-24	16	HB_2	5038293914247891996	7168512	6f3cf85c4544847e54022ffc5b1d4c989f5db19bd629ee05ec81d017a0638be8
sub-27	19	HB_1	8803317114478561043	7311616	b574f4f43fc38c2583634e670053dae58bac43e87fe8b8d2d05e63da1f6c79a5
sub-27	19	HB_2	18104944916724898493	7311616	daaa09c5c30ba8fff9a7e51c8c48ea56eecf3f2c0069af4f16e6289d16147ef1
sub-28	20	HB_1	8245619162744017232	6598144	fb328a719404846145b781fba8b5f9d6f79348f36387afe173440b219fd20936
sub-28	20	HB_2	7547340075162882823	6598144	b2af483f368a8781cf36342726a3c25ae33a02a0b88c92a537549607bd88508b
sub-29	21	HB_1	3903439250349365832	8510464	b2afaf9904bda2be273aaa4e992030823410c90aae0c934eb359392183bcceb5
sub-29	21	HB_2	13859854102467956456	8510464	cd0e8f28fd37a6c3b907c5eab9e39b2385e0b53155c329025f07c5255511c87a
sub-30	94	HB_1	7834265246083183817	6408192	7a3c71790fd138417509ed3a401800c3c68f2e5b96a655578abeb1a821e7a434
sub-30	94	HB_2	13392265378699270261	6408192	0e295b78bf52f06709aeb9b6f580e80bc8b5d87d0b99b11f4bfc01e644f37f10
sub-31	95	HB_1	7550723695627851653	6533888	ee7e96fa916d868443b03896ce0ecf4ef48672251613772401dc209dae116512
sub-31	95	HB_2	11949630851326600057	6533888	152e0cbb94575d9d4746d8004de7115018fe384ce312444ed81f72ebd8a35725
sub-33	84	HB_1	14817158324083723123	6733056	4d9a411ba210e90c2c25c64ca65a5a2f976c158f7f3aff4e40ccd3d0d405179a
sub-33	84	HB_2	13270318660526870691	6733056	b4b0326f1655ebf3425ffeb4d27852edc31377371ce58f69b7c2e95d5388c895
sub-36	84	HB_1	538805369937826643	6873600	a924a3b9b9f53f25ec550d8140a8ca42b80f58d7965d1fd6b30264284540a268
sub-36	84	HB_2	1588029858501620179	6873600	a81278b38de5b1407bb2a54478a9c649e43cb4a9340fc2b612d8be4f900dba65
sub-38	87	HB_1	8797260338852556768	6540800	fca92e91270420808dd72795f5997dc7f99c85a8dbe6df049490969fe1320a30
sub-38	87	HB_2	5369032343190664912	6540800	08efca78a57d144726c086d682395d4c437135b6a6d1436cacc1c36f03a8bfc3
sub-39	85	HB_1	16642195090072249926	6966528	b3992ffdbd66be65fe264684c7c37e9dcca433c1dda28024a1f59d8cf0be154e
sub-39	85	HB_2	11634667409037202860	6966528	2d16243b18ed0ade6f4d745a642423a0b7cd53e26191d3284c2ca924d5ab4e08
sub-42	84	HB_1	16890764525525174663	6871040	e331d791c1f5218376139eacb4a1fc4b3aa3c73d05ab7e17f257618cd51b1966
sub-42	84	HB_2	2627508304792726779	6871040	590c9f373ba60f53d5ec8cef4927703a636a75786322366746302ff2609dc1bc
sub-43	87	HB_1	7338930775225139160	6452480	700b33de22e5979ba67679764d5966823531dcf56af4dc8ab45ad06b829e2b10
sub-43	87	HB_2	7717184644851032115	6452480	3eacd111657260063ddf4a5d12a43dc5e12f9b6b5b158f3fff2392411494f618
sub-45	24	HB_1	5208700790406157923	6308352	8d564aebb410f663acd16e2fcd5d5a29944f5ca9f11e676a1e5dbee7c1151e22
sub-45	24	HB_2	7605684041781602551	6308352	d45373ea6cbecfa9d006e8ef6ec5faccca9509550af7b75c957ac3d8d132b3de
sub-47	87	HB_1	17316704348387384330	6236672	aebc796fbad7a671849cfbcd1d8755916874c276cd9d8bb409189198a4801426
sub-47	87	HB_2	4317549907990548306	6236672	9dc6d83d004204796a60af8135afbdcbcd20930b756eb0cb60ab612312bcc072
sub-49	29	HB_1	14384287635346191080	6933760	a9ff0eec395076c5d287d079141eceecfeb2f7987d7be39444dd4c72d4387712
sub-49	29	HB_2	4270058327116719248	6933760	db52ea29b7b20023d6a9199768c983fb5d6145db6811cc240987c993ab6f3f3a
sub-52	31	HB_1	10893727093278279940	7094272	186f3432a7376d8c538dc2e2280664aab9e7f77efa7b2cf98b0aac0cbadaa24f
sub-52	31	HB_2	16513485771398472012	7094272	cc838355a10558037f1a5d0a24b4455d70c777e56a254720a7881dfb3c044caf
sub-56	78	HB_1	12413588016422840516	7359232	9cdf4ce83a9772b5f396b5c33925adac8b5f01f40811425955d350657dcefef9
sub-56	78	HB_2	2389253475162670804	7359232	84b3402774c51b2f3a653816ea79c55c77f28095bd7f020c7a57d47728d246a7
sub-58	78	HB_1	11317926822081496753	7721472	d7a26088aa1a104cb43705758c1ae6658dd031fca289b15ab667c524a2b39b6a
sub-58	78	HB_2	7025185872547511504	7721472	9663826ffd69e2ab9a2765263b71bced69197d80dd522a64329115fb050a0eba
sub-59	79	HB_1	18287254817813916808	8122880	c5240fc187e3203d8ac780d035f36a88e0a8b0bf5c146b31cdef8acf5ffc79cd
sub-59	79	HB_2	5388992998960790889	8122880	12c28a54793daa83728c08839cef1f03a2d0cd23959f701c4fab5b880a45a036
sub-60	80	HB_1	17653672068558582766	7087360	b259ae8239bff48197309bde27086cb7dde8eab2c9b3a35dae5e2742888030d6
sub-60	80	HB_2	13240632863342114233	7087360	ceeb5d40de9b6eeae029823e04002973a02853e247f971cdb50e4dc407af7677
sub-61	79	HB_1	14345421220830895436	7287552	387dd60d161273f04d5ab3938ce318c0ba0facfda4d628e637ffffc554f1c313
sub-61	79	HB_2	3031812302587677493	7287552	58e602dcb4f725965bafccdf1c97e6f02dc7d5b5bf66f2174db8c02f9ac46e22
sub-62	80	HB_1	17508263423800008242	7550464	4867b19955acc29e9d3af15637f84d94d905bf9acf7c6784d8aeae9e4a1a6a30
sub-62	80	HB_2	10156932462801089739	7550464	3b83ac7111e402e62fdc159b98a9aed5a011eec9414d715926b2015c7c62c5a8
sub-63	81	HB_1	11696681117868548011	6825216	d6710118cdae73743b4dbc2178713c64afba10ed06a1e4e72385f3cc69b79bf0
sub-63	81	HB_2	11788944470567862134	6825216	9fbad20f9f57a3eca788352673f52503bd5937be8db9cf19f592dcec614fafbf
sub-64	82	HB_1	15034946461926169824	6804992	f446026c6ebd68c7a75360466ab57b66d68fadd2bd4878d749e9b79ebb43f72a
sub-64	82	HB_2	7755561443284492145	6804992	d897172281d2185f043f79be2d9e0766e00acb71292a7acef0fa614935fa3f99
sub-65	81	HB_1	15512249939542527940	6894080	4df1995bb70cc31aba226fc497da2e4a8b79a6325ead2dd00649cf12233908a3
sub-65	81	HB_2	6059824757156270106	6894080	f9f59f5a83f0188723b7f52775daf39357c520ea98723d0526da293b194ef383
sub-66	82	HB_1	1614986664565575452	8306176	369308ca181b800d078b93b902eca8b1d76b3cb593de24bb0881aae92d458a2c
sub-66	82	HB_2	17528143180050367010	8306176	09c2746719b92cda59ffd9ea9b9679fa6ff40b76584d2717d453b460d646fbc9
