partition	fold	subject	pid	supported_boundaries	supported_hours
train	1	sub-27	19	945	7.875
train	1	sub-28	20	852	7.1
train	1	sub-29	21	1101	9.175
train	1	sub-33	84	869	7.241666666666666
train	1	sub-36	84	888	7.4
train	1	sub-42	84	887	7.391666666666667
train	1	sub-56	78	951	7.925
train	1	sub-58	78	998	8.316666666666666
train	1	sub-67	32	917	7.641666666666667
train	1	sub-70	35	867	7.225
train	1	sub-73	38	823	6.858333333333333
train	1	sub-96	63	964	8.033333333333333
train	1	sub-98	65	894	7.45
train	1	sub-103	71	851	7.091666666666667
train	1	sub-107	75	945	7.875
train	1	sub-108	76	967	8.058333333333334
train	2	sub-8	6	402	3.35
train	2	sub-10	91	986	8.216666666666667
train	2	sub-13	91	990	8.25
train	2	sub-15	10	1079	8.991666666666667
train	2	sub-30	94	827	6.891666666666667
train	2	sub-39	85	886	7.383333333333334
train	2	sub-87	54	950	7.916666666666667
train	2	sub-91	58	1014	8.45
train	2	sub-92	59	981	8.175
train	2	sub-93	60	871	7.258333333333334
train	2	sub-94	61	998	8.316666666666666
train	2	sub-95	62	976	8.133333333333333
train	2	sub-118	99	871	7.258333333333334
train	2	sub-119	99	891	7.425
train	2	sub-120	99	782	6.516666666666667
train	2	sub-128	108	806	6.716666666666667
train	3	sub-3	1	990	8.25
train	3	sub-22	14	1027	8.558333333333334
train	3	sub-52	31	916	7.633333333333334
train	3	sub-60	80	857	7.141666666666667
train	3	sub-62	80	976	8.133333333333333
train	3	sub-68	33	845	7.041666666666667
train	3	sub-77	42	1071	8.925
train	3	sub-81	46	898	7.483333333333333
train	3	sub-84	51	1010	8.416666666666666
train	3	sub-86	53	937	7.808333333333334
train	3	sub-99	66	1045	8.708333333333334
train	3	sub-101	68	928	7.733333333333333
train	3	sub-109	96	836	6.966666666666667
train	3	sub-110	96	946	7.883333333333334
train	3	sub-111	96	954	7.95
train	3	sub-122	101	869	7.241666666666666
train	4	sub-11	8	970	8.083333333333334
train	4	sub-12	92	992	8.266666666666667
train	4	sub-16	11	1009	8.408333333333333
train	4	sub-17	92	967	8.058333333333334
train	4	sub-45	24	806	6.716666666666667
train	4	sub-59	79	1021	8.508333333333333
train	4	sub-61	79	941	7.841666666666667
train	4	sub-63	81	870	7.25
train	4	sub-64	82	866	7.216666666666667
train	4	sub-65	81	890	7.416666666666667
train	4	sub-66	82	1062	8.85
train	4	sub-74	39	962	8.016666666666667
train	4	sub-78	43	873	7.275
train	4	sub-80	45	813	6.775
train	4	sub-83	50	885	7.375
train	4	sub-100	67	989	8.241666666666667
train	4	sub-121	100	886	7.383333333333334
train	5	sub-14	9	1047	8.725
train	5	sub-19	93	1005	8.375
train	5	sub-20	13	1041	8.675
train	5	sub-21	93	1036	8.633333333333333
train	5	sub-24	16	926	7.716666666666667
train	5	sub-31	95	843	7.025
train	5	sub-38	87	844	7.033333333333333
train	5	sub-43	87	811	6.758333333333334
train	5	sub-47	87	785	6.541666666666667
train	5	sub-49	29	895	7.458333333333333
train	5	sub-69	34	996	8.3
train	5	sub-71	36	1107	9.225
train	5	sub-104	72	832	6.933333333333334
train	5	sub-115	98	838	6.983333333333333
train	5	sub-116	98	850	7.083333333333333
train	5	sub-117	98	786	6.55
train	5	sub-125	104	961	8.008333333333333
