model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
H2-NA	train_oof	primary	15.0	0.01	82	64	180	10973	124	10818	56	31	629.4916666666667	0.011332480350941327	0.6888888888888889	0.02229814781514116	17.185295013172002	0.0	0.0
H2-NA	train_oof	primary	15.0	0.02	82	64	180	11911	127	11753	53	31	629.4916666666667	0.01069023569023569	0.7055555555555556	0.021061359867330015	18.670620474192138	0.0	0.0
H2-NA	train_oof	primary	15.0	0.03	82	64	180	11943	133	11779	47	31	629.4916666666667	0.011165211551376763	0.7388888888888889	0.02199801521667218	18.711923642092163	0.0	0.0
H2-NA	train_oof	primary	15.0	0.04	82	64	180	11614	135	11448	45	31	629.4916666666667	0.011655011655011656	0.75	0.022953328232593728	18.186102543057228	0.0	0.0
H2-NA	train_oof	primary	15.0	0.05	82	64	180	11180	134	11014	46	32	629.4916666666667	0.012020093290276283	0.7444444444444445	0.02365819209039548	17.496657355802963	0.0	0.0
H2-NA	train_oof	primary	15.0	0.06	82	64	180	10738	134	10572	46	32	629.4916666666667	0.012516345974220064	0.7444444444444445	0.024618776410067978	16.794503501502536	0.0	0.0
H2-NA	train_oof	primary	15.0	0.07	82	64	180	10357	134	10191	46	32	629.4916666666667	0.012978208232445521	0.7444444444444445	0.025511661113755354	16.18925323342909	0.0	0.0
H2-NA	train_oof	primary	15.0	0.08	82	64	180	9932	134	9766	46	32	629.4916666666667	0.013535353535353536	0.7444444444444445	0.026587301587301587	15.514105296601755	0.0	0.0
H2-NA	train_oof	primary	15.0	0.09	82	64	180	9591	133	9426	47	32	629.4916666666667	0.013913589287582384	0.7388888888888889	0.027312865797309786	14.973986947139888	0.0	0.0
H2-NA	train_oof	primary	15.0	0.1	82	64	180	9223	133	9058	47	32	629.4916666666667	0.014470677837014471	0.7388888888888889	0.028385444456301354	14.389388263016455	0.0	0.0
H2-NA	train_oof	primary	15.0	0.11	82	64	180	8910	133	8745	47	32	629.4916666666667	0.014980851543140347	0.7388888888888889	0.02936630602782071	13.892161664835383	0.0	0.0
