membership	tolerance_sec	first	second	both_detected	first_only	second_only	both_missed	union_detected	jaccard_detected
expanded	15.0	P6-D	P2-D	14	15	1	21	30	0.4666666666666667
expanded	15.0	P6-D	H2-D	18	11	6	16	35	0.5142857142857142
expanded	15.0	P6-D	P2-H2-Z	7	22	3	19	32	0.21875
expanded	15.0	P2-D	H2-D	12	3	12	24	27	0.4444444444444444
expanded	15.0	P2-D	P2-H2-Z	6	9	4	32	19	0.3157894736842105
expanded	15.0	H2-D	P2-H2-Z	9	15	1	26	25	0.36
expanded	45.0	P6-D	P2-D	17	17	0	17	34	0.5
expanded	45.0	P6-D	H2-D	26	8	6	11	40	0.65
expanded	45.0	P6-D	P2-H2-Z	13	21	2	15	36	0.3611111111111111
expanded	45.0	P2-D	H2-D	15	2	17	17	34	0.4411764705882353
expanded	45.0	P2-D	P2-H2-Z	9	8	6	28	23	0.391304347826087
expanded	45.0	H2-D	P2-H2-Z	14	18	1	18	33	0.42424242424242425
primary	15.0	P6-D	P2-D	9	10	1	17	20	0.45
primary	15.0	P6-D	H2-D	12	7	4	14	23	0.5217391304347826
primary	15.0	P6-D	P2-H2-Z	3	16	2	16	21	0.14285714285714285
primary	15.0	P2-D	H2-D	9	1	7	20	17	0.5294117647058824
primary	15.0	P2-D	P2-H2-Z	4	6	1	26	11	0.36363636363636365
primary	15.0	H2-D	P2-H2-Z	5	11	0	21	16	0.3125
primary	45.0	P6-D	P2-D	11	12	0	14	23	0.4782608695652174
primary	45.0	P6-D	H2-D	16	7	4	10	27	0.5925925925925926
primary	45.0	P6-D	P2-H2-Z	6	17	2	12	25	0.24
primary	45.0	P2-D	H2-D	10	1	10	16	21	0.47619047619047616
primary	45.0	P2-D	P2-H2-Z	5	6	3	23	14	0.35714285714285715
primary	45.0	H2-D	P2-H2-Z	8	12	0	17	20	0.4
