method	method_role	partition	membership	tolerance_sec	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
P6-D	frozen_direct_control	validation	primary	15.0	20	16	37	210	19	177	18	14	159.35833333333332	0.09693877551020408	0.5135135135135135	0.1630901287553648	1.1107043873869165	0.0	0.0
P6-D	frozen_direct_control	validation	primary	45.0	20	16	37	210	23	171	14	16	159.35833333333332	0.11855670103092783	0.6216216216216216	0.19913419913419914	1.073053391204309	0.0	30.0
P6-D	frozen_direct_control	validation	expanded	15.0	20	16	51	210	29	177	22	4	159.35833333333332	0.1407766990291262	0.5686274509803921	0.22568093385214008	1.1107043873869165	0.0	0.0
P6-D	frozen_direct_control	validation	expanded	45.0	20	16	51	210	34	171	17	5	159.35833333333332	0.16585365853658537	0.6666666666666666	0.265625	1.073053391204309	0.0	30.0
P2-D	frozen_direct_control	validation	primary	15.0	20	16	37	75	10	59	27	6	159.35833333333332	0.14492753623188406	0.2702702702702703	0.18867924528301888	0.3702347957956388	0.0	0.0
P2-D	frozen_direct_control	validation	primary	45.0	20	16	37	75	11	56	26	8	159.35833333333332	0.16417910447761194	0.2972972972972973	0.21153846153846154	0.3514092977043351	0.0	30.0
P2-D	frozen_direct_control	validation	expanded	15.0	20	16	51	75	15	59	36	1	159.35833333333332	0.20270270270270271	0.29411764705882354	0.24	0.3702347957956388	0.0	0.0
P2-D	frozen_direct_control	validation	expanded	45.0	20	16	51	75	17	56	34	2	159.35833333333332	0.2328767123287671	0.3333333333333333	0.27419354838709675	0.3514092977043351	0.0	30.0
H2-D	frozen_direct_control	validation	primary	15.0	20	16	37	256	16	232	21	8	159.35833333333332	0.06451612903225806	0.43243243243243246	0.11228070175438597	1.455838519060817	0.0	0.0
H2-D	frozen_direct_control	validation	primary	45.0	20	16	37	256	20	224	17	12	159.35833333333332	0.08196721311475409	0.5405405405405406	0.1423487544483986	1.4056371908173404	0.0	30.0
H2-D	frozen_direct_control	validation	expanded	15.0	20	16	51	256	24	232	27	0	159.35833333333332	0.09375	0.47058823529411764	0.1563517915309446	1.455838519060817	0.0	0.0
H2-D	frozen_direct_control	validation	expanded	45.0	20	16	51	256	32	224	19	0	159.35833333333332	0.125	0.6274509803921569	0.20846905537459284	1.4056371908173404	0.0	30.0
P6-H2-OR	fixed_alarm_fusion	validation	primary	15.0	20	16	37	394	23	358	14	13	159.35833333333332	0.06036745406824147	0.6216216216216216	0.11004784688995216	2.246509438895571	0.0	0.0
P6-H2-OR	fixed_alarm_fusion	validation	primary	45.0	20	16	37	394	27	349	10	18	159.35833333333332	0.07180851063829788	0.7297297297297297	0.13075060532687652	2.19003294462166	0.0	30.0
P6-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	20	16	51	394	32	358	19	4	159.35833333333332	0.08205128205128205	0.6274509803921569	0.14512471655328799	2.246509438895571	0.0	0.0
P6-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	20	16	51	394	40	349	11	5	159.35833333333332	0.10282776349614396	0.7843137254901961	0.18181818181818182	2.19003294462166	0.0	30.0
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	15.0	20	16	37	400	23	364	14	13	159.35833333333332	0.059431524547803614	0.6216216216216216	0.10849056603773585	2.2841604350781783	0.0	0.0
P6-P2-H2-OR	fixed_alarm_fusion	validation	primary	45.0	20	16	37	400	27	355	10	18	159.35833333333332	0.07068062827225131	0.7297297297297297	0.1288782816229117	2.2276839408042672	0.0	30.0
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	15.0	20	16	51	400	32	364	19	4	159.35833333333332	0.08080808080808081	0.6274509803921569	0.14317673378076062	2.2841604350781783	0.0	0.0
P6-P2-H2-OR	fixed_alarm_fusion	validation	expanded	45.0	20	16	51	400	40	355	11	5	159.35833333333332	0.10126582278481013	0.7843137254901961	0.17937219730941703	2.2276839408042672	0.0	30.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	15.0	20	16	37	110	15	86	22	9	159.35833333333332	0.1485148514851485	0.40540540540540543	0.21739130434782608	0.5396642786173718	0.0	0.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	primary	45.0	20	16	37	110	17	80	20	13	159.35833333333332	0.17525773195876287	0.4594594594594595	0.2537313432835821	0.5020132824347645	0.0	30.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	expanded	15.0	20	16	51	110	23	86	28	1	159.35833333333332	0.21100917431192662	0.45098039215686275	0.2875	0.5396642786173718	0.0	0.0
P6-P2-H2-2OF3	fixed_alarm_fusion	validation	expanded	45.0	20	16	51	110	28	80	23	2	159.35833333333332	0.25925925925925924	0.5490196078431373	0.3522012578616352	0.5020132824347645	0.0	30.0
