method	method_role	partition	membership	tolerance_sec	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
P6-D	frozen_direct_control	validation	primary	15.0	2	1	2	50	2	48	0	0	8.858333333333333	0.04	1.0	0.07692307692307693	5.41862652869238
P6-D	frozen_direct_control	validation	primary	15.0	3	1	4	10	2	8	2	0	8.316666666666666	0.2	0.5	0.2857142857142857	0.9619238476953909
P6-D	frozen_direct_control	validation	primary	15.0	4	1	1	11	1	10	0	0	8.258333333333333	0.09090909090909091	1.0	0.16666666666666666	1.2108980827447025
P6-D	frozen_direct_control	validation	primary	15.0	5	1	0	24	0	21	0	3	7.733333333333333	0.0		0.0	2.7155172413793105
P6-D	frozen_direct_control	validation	primary	15.0	15	2	5	16	3	12	2	1	16.616666666666667	0.2	0.6	0.3	0.7221664994984954
P6-D	frozen_direct_control	validation	primary	15.0	17	1	3	21	0	21	3	0	8.966666666666667	0.0	0.0	0.0	2.3420074349442377
P6-D	frozen_direct_control	validation	primary	15.0	37	1	0	1	0	0	0	1	7.991666666666666				0.0
P6-D	frozen_direct_control	validation	primary	15.0	40	1	0	3	0	2	0	1	7.133333333333334	0.0		0.0	0.2803738317757009
P6-D	frozen_direct_control	validation	primary	15.0	44	1	0	1	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-D	frozen_direct_control	validation	primary	15.0	48	1	0	3	0	1	0	2	7.341666666666667	0.0		0.0	0.1362088535754824
P6-D	frozen_direct_control	validation	primary	15.0	55	1	0	3	0	3	0	0	7.416666666666667	0.0		0.0	0.4044943820224719
P6-D	frozen_direct_control	validation	primary	15.0	64	1	5	8	3	5	2	0	8.983333333333333	0.375	0.6	0.46153846153846156	0.5565862708719852
P6-D	frozen_direct_control	validation	primary	15.0	73	1	3	21	2	19	1	0	7.866666666666666	0.09523809523809523	0.6666666666666666	0.16666666666666666	2.415254237288136
