method	method_role	partition	membership	tolerance_sec	subject	pid	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
P6-D	frozen_direct_control	validation	primary	15.0	sub-1	89	0	23	5	0	20	0	3	7.5	0.0		0.0	2.6666666666666665
P6-D	frozen_direct_control	validation	primary	15.0	sub-105	73	3	21	0	2	19	1	0	7.866666666666666	0.09523809523809523	0.6666666666666666	0.16666666666666666	2.415254237288136
P6-D	frozen_direct_control	validation	primary	15.0	sub-112	97	3	2	0	1	1	2	0	7.6	0.5	0.3333333333333333	0.4	0.13157894736842105
P6-D	frozen_direct_control	validation	primary	15.0	sub-113	97	2	2	0	2	0	0	0	7.75	1.0	1.0	1.0	0.0
P6-D	frozen_direct_control	validation	primary	15.0	sub-114	97	1	0	0	0	0	1	0	7.716666666666667		0.0	0.0	0.0
P6-D	frozen_direct_control	validation	primary	15.0	sub-124	15	4	5	0	2	3	2	0	7.35	0.4	0.5	0.4444444444444444	0.40816326530612246
P6-D	frozen_direct_control	validation	primary	15.0	sub-126	106	1	4	5	0	1	1	3	7.2	0.0	0.0	0.0	0.1388888888888889
P6-D	frozen_direct_control	validation	primary	15.0	sub-2	89	7	7	0	3	4	4	0	7.55	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.5298013245033113
P6-D	frozen_direct_control	validation	primary	15.0	sub-23	15	1	11	1	1	9	0	1	9.266666666666667	0.1	1.0	0.18181818181818182	0.9712230215827338
P6-D	frozen_direct_control	validation	primary	15.0	sub-25	17	3	21	0	0	21	3	0	8.966666666666667	0.0	0.0	0.0	2.3420074349442377
P6-D	frozen_direct_control	validation	primary	15.0	sub-4	2	2	50	0	2	48	0	0	8.858333333333333	0.04	1.0	0.07692307692307693	5.41862652869238
P6-D	frozen_direct_control	validation	primary	15.0	sub-5	3	4	10	0	2	8	2	0	8.316666666666666	0.2	0.5	0.2857142857142857	0.9619238476953909
P6-D	frozen_direct_control	validation	primary	15.0	sub-6	4	1	11	0	1	10	0	0	8.258333333333333	0.09090909090909091	1.0	0.16666666666666666	1.2108980827447025
P6-D	frozen_direct_control	validation	primary	15.0	sub-7	5	0	24	3	0	21	0	3	7.733333333333333	0.0		0.0	2.7155172413793105
P6-D	frozen_direct_control	validation	primary	15.0	sub-72	37	0	1	2	0	0	0	1	7.991666666666666				0.0
P6-D	frozen_direct_control	validation	primary	15.0	sub-75	40	0	3	2	0	2	0	1	7.133333333333334	0.0		0.0	0.2803738317757009
P6-D	frozen_direct_control	validation	primary	15.0	sub-79	44	0	1	0	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-D	frozen_direct_control	validation	primary	15.0	sub-82	48	0	3	2	0	1	0	2	7.341666666666667	0.0		0.0	0.1362088535754824
P6-D	frozen_direct_control	validation	primary	15.0	sub-88	55	0	3	0	0	3	0	0	7.416666666666667	0.0		0.0	0.4044943820224719
P6-D	frozen_direct_control	validation	primary	15.0	sub-97	64	5	8	0	3	5	2	0	8.983333333333333	0.375	0.6	0.46153846153846156	0.5565862708719852
P6-D	frozen_direct_control	validation	primary	45.0	sub-1	89	0	23	5	0	19	0	4	7.5	0.0		0.0	2.533333333333333
P6-D	frozen_direct_control	validation	primary	45.0	sub-105	73	3	21	0	3	18	0	0	7.866666666666666	0.14285714285714285	1.0	0.25	2.288135593220339
P6-D	frozen_direct_control	validation	primary	45.0	sub-112	97	3	2	0	2	0	1	0	7.6	1.0	0.6666666666666666	0.8	0.0
P6-D	frozen_direct_control	validation	primary	45.0	sub-113	97	2	2	0	2	0	0	0	7.75	1.0	1.0	1.0	0.0
P6-D	frozen_direct_control	validation	primary	45.0	sub-114	97	1	0	0	0	0	1	0	7.716666666666667		0.0	0.0	0.0
P6-D	frozen_direct_control	validation	primary	45.0	sub-124	15	4	5	0	2	3	2	0	7.35	0.4	0.5	0.4444444444444444	0.40816326530612246
P6-D	frozen_direct_control	validation	primary	45.0	sub-126	106	1	4	5	0	1	1	3	7.2	0.0	0.0	0.0	0.1388888888888889
P6-D	frozen_direct_control	validation	primary	45.0	sub-2	89	7	7	0	3	4	4	0	7.55	0.42857142857142855	0.42857142857142855	0.42857142857142855	0.5298013245033113
P6-D	frozen_direct_control	validation	primary	45.0	sub-23	15	1	11	1	1	9	0	1	9.266666666666667	0.1	1.0	0.18181818181818182	0.9712230215827338
P6-D	frozen_direct_control	validation	primary	45.0	sub-25	17	3	21	0	1	20	2	0	8.966666666666667	0.047619047619047616	0.3333333333333333	0.08333333333333333	2.2304832713754648
P6-D	frozen_direct_control	validation	primary	45.0	sub-4	2	2	50	0	2	48	0	0	8.858333333333333	0.04	1.0	0.07692307692307693	5.41862652869238
P6-D	frozen_direct_control	validation	primary	45.0	sub-5	3	4	10	0	3	7	1	0	8.316666666666666	0.3	0.75	0.42857142857142855	0.841683366733467
P6-D	frozen_direct_control	validation	primary	45.0	sub-6	4	1	11	0	1	10	0	0	8.258333333333333	0.09090909090909091	1.0	0.16666666666666666	1.2108980827447025
P6-D	frozen_direct_control	validation	primary	45.0	sub-7	5	0	24	3	0	21	0	3	7.733333333333333	0.0		0.0	2.7155172413793105
P6-D	frozen_direct_control	validation	primary	45.0	sub-72	37	0	1	2	0	0	0	1	7.991666666666666				0.0
P6-D	frozen_direct_control	validation	primary	45.0	sub-75	40	0	3	2	0	1	0	2	7.133333333333334	0.0		0.0	0.14018691588785046
P6-D	frozen_direct_control	validation	primary	45.0	sub-79	44	0	1	0	0	1	0	0	8.558333333333334	0.0		0.0	0.11684518013631938
P6-D	frozen_direct_control	validation	primary	45.0	sub-82	48	0	3	2	0	1	0	2	7.341666666666667	0.0		0.0	0.1362088535754824
P6-D	frozen_direct_control	validation	primary	45.0	sub-88	55	0	3	0	0	3	0	0	7.416666666666667	0.0		0.0	0.4044943820224719
P6-D	frozen_direct_control	validation	primary	45.0	sub-97	64	5	8	0	3	5	2	0	8.983333333333333	0.375	0.6	0.46153846153846156	0.5565862708719852
P6-D	frozen_direct_control	validation	expanded	15.0	sub-1	89	0	23	5	0	20	0	3	7.5	0.0		0.0	2.6666666666666665
P6-D	frozen_direct_control	validation	expanded	15.0	sub-105	73	3	21	0	2	19	1	0	7.866666666666666	0.09523809523809523	0.6666666666666666	0.16666666666666666	2.415254237288136
P6-D	frozen_direct_control	validation	expanded	15.0	sub-112	97	3	2	0	1	1	2	0	7.6	0.5	0.3333333333333333	0.4	0.13157894736842105
P6-D	frozen_direct_control	validation	expanded	15.0	sub-113	97	2	2	0	2	0	0	0	7.75	1.0	1.0	1.0	0.0
P6-D	frozen_direct_control	validation	expanded	15.0	sub-114	97	1	0	0	0	0	1	0	7.716666666666667		0.0	0.0	0.0
