fusion	partition	subject	pid	cluster_index	event_time_sec	cluster_start_sec	cluster_stop_sec	cluster_span_sec	contributor_count	contributors	source_alarm_count	source_alarm_ids	retained
P6-H2-OR	validation	sub-1	89	0	240.0	240.0	240.0	0.0	1	H2-D	1	H2-D:sub-1:240.0	True
P6-H2-OR	validation	sub-1	89	1	390.0	390.0	390.0	0.0	1	H2-D	1	H2-D:sub-1:390.0	True
P6-H2-OR	validation	sub-1	89	2	2190.0	2190.0	2190.0	0.0	2	P6-D;H2-D	2	H2-D:sub-1:2190.0;P6-D:sub-1:2190.0	True
P6-H2-OR	validation	sub-1	89	3	2430.0	2430.0	2430.0	0.0	1	P6-D	1	P6-D:sub-1:2430.0	True
P6-H2-OR	validation	sub-1	89	4	3180.0	3180.0	3180.0	0.0	1	H2-D	1	H2-D:sub-1:3180.0	True
P6-H2-OR	validation	sub-1	89	5	3390.0	3390.0	3390.0	0.0	1	P6-D	1	P6-D:sub-1:3390.0	True
P6-H2-OR	validation	sub-1	89	6	3480.0	3480.0	3480.0	0.0	2	P6-D;H2-D	2	H2-D:sub-1:3480.0;P6-D:sub-1:3480.0	True
P6-H2-OR	validation	sub-1	89	7	4080.0	4080.0	4080.0	0.0	2	P6-D;H2-D	2	H2-D:sub-1:4080.0;P6-D:sub-1:4080.0	True
P6-H2-OR	validation	sub-1	89	8	4200.0	4200.0	4200.0	0.0	1	P6-D	1	P6-D:sub-1:4200.0	True
P6-H2-OR	validation	sub-1	89	9	4440.0	4440.0	4440.0	0.0	2	P6-D;H2-D	2	H2-D:sub-1:4440.0;P6-D:sub-1:4440.0	True
P6-H2-OR	validation	sub-1	89	10	4680.0	4680.0	4680.0	0.0	1	P6-D	1	P6-D:sub-1:4680.0	True
P6-H2-OR	validation	sub-1	89	11	4800.0	4800.0	4800.0	0.0	1	P6-D	1	P6-D:sub-1:4800.0	True
P6-H2-OR	validation	sub-1	89	12	7350.0	7350.0	7350.0	0.0	1	H2-D	1	H2-D:sub-1:7350.0	True
P6-H2-OR	validation	sub-1	89	13	7500.0	7500.0	7500.0	0.0	1	H2-D	1	H2-D:sub-1:7500.0	True
P6-H2-OR	validation	sub-1	89	14	8670.0	8670.0	8670.0	0.0	1	P6-D	1	P6-D:sub-1:8670.0	True
P6-H2-OR	validation	sub-1	89	15	8790.0	8790.0	8790.0	0.0	1	P6-D	1	P6-D:sub-1:8790.0	True
P6-H2-OR	validation	sub-1	89	16	9510.0	9510.0	9510.0	0.0	1	P6-D	1	P6-D:sub-1:9510.0	True
P6-H2-OR	validation	sub-1	89	17	13020.0	13020.0	13020.0	0.0	1	P6-D	1	P6-D:sub-1:13020.0	True
P6-H2-OR	validation	sub-1	89	18	16890.0	16890.0	16890.0	0.0	1	P6-D	1	P6-D:sub-1:16890.0	True
P6-H2-OR	validation	sub-1	89	19	17700.0	17700.0	17700.0	0.0	1	P6-D	1	P6-D:sub-1:17700.0	True
P6-H2-OR	validation	sub-1	89	20	20190.0	20190.0	20190.0	0.0	1	P6-D	1	P6-D:sub-1:20190.0	True
P6-H2-OR	validation	sub-1	89	21	20430.0	20430.0	20430.0	0.0	1	P6-D	1	P6-D:sub-1:20430.0	True
P6-H2-OR	validation	sub-1	89	22	20790.0	20790.0	20790.0	0.0	1	P6-D	1	P6-D:sub-1:20790.0	True
P6-H2-OR	validation	sub-1	89	23	21630.0	21630.0	21630.0	0.0	1	P6-D	1	P6-D:sub-1:21630.0	True
P6-H2-OR	validation	sub-1	89	24	22140.0	22140.0	22140.0	0.0	1	P6-D	1	P6-D:sub-1:22140.0	True
P6-H2-OR	validation	sub-1	89	25	24750.0	24750.0	24750.0	0.0	1	P6-D	1	P6-D:sub-1:24750.0	True
