fusion	membership	tolerance_sec	f1	false_alarms_per_hour	precision	recall	p6_d_f1	p6_d_false_alarms_per_hour	f1_difference	false_alarms_per_hour_difference
P6-H2-OR	primary	15.0	0.11004784688995216	2.246509438895571	0.06036745406824147	0.6216216216216216	0.1630901287553648	1.1107043873869165	-0.05304228186541264	1.1358050515086546
P6-H2-OR	primary	45.0	0.13075060532687652	2.19003294462166	0.07180851063829788	0.7297297297297297	0.19913419913419914	1.073053391204309	-0.06838359380732262	1.116979553417351
P6-H2-OR	expanded	15.0	0.14512471655328799	2.246509438895571	0.08205128205128205	0.6274509803921569	0.22568093385214008	1.1107043873869165	-0.0805562172988521	1.1358050515086546
P6-H2-OR	expanded	45.0	0.18181818181818182	2.19003294462166	0.10282776349614396	0.7843137254901961	0.265625	1.073053391204309	-0.08380681818181818	1.116979553417351
P6-P2-H2-OR	primary	15.0	0.10849056603773585	2.2841604350781783	0.059431524547803614	0.6216216216216216	0.1630901287553648	1.1107043873869165	-0.05459956271762895	1.1734560476912619
P6-P2-H2-OR	primary	45.0	0.1288782816229117	2.2276839408042672	0.07068062827225131	0.7297297297297297	0.19913419913419914	1.073053391204309	-0.07025591751128743	1.1546305495999583
P6-P2-H2-OR	expanded	15.0	0.14317673378076062	2.2841604350781783	0.08080808080808081	0.6274509803921569	0.22568093385214008	1.1107043873869165	-0.08250420007137946	1.1734560476912619
P6-P2-H2-OR	expanded	45.0	0.17937219730941703	2.2276839408042672	0.10126582278481013	0.7843137254901961	0.265625	1.073053391204309	-0.08625280269058297	1.1546305495999583
P6-P2-H2-2OF3	primary	15.0	0.21739130434782608	0.5396642786173718	0.1485148514851485	0.40540540540540543	0.1630901287553648	1.1107043873869165	0.05430117559246128	-0.5710401087695447
P6-P2-H2-2OF3	primary	45.0	0.2537313432835821	0.5020132824347645	0.17525773195876287	0.4594594594594595	0.19913419913419914	1.073053391204309	0.054597144149382965	-0.5710401087695445
P6-P2-H2-2OF3	expanded	15.0	0.2875	0.5396642786173718	0.21100917431192662	0.45098039215686275	0.22568093385214008	1.1107043873869165	0.0618190661478599	-0.5710401087695447
P6-P2-H2-2OF3	expanded	45.0	0.3522012578616352	0.5020132824347645	0.25925925925925924	0.5490196078431373	0.265625	1.073053391204309	0.0865762578616352	-0.5710401087695445
