claim_id	experiment	original_hypothesis	claim	metric	point_estimate	secondary_point_estimate	uncertainty_method	uncertainty_lower	uncertainty_upper	gate_operator	gate_value	secondary_gate_value	point_passes_gate	uncertainty_supports_gate	uncertainty_supports_failure	evidence_grade	zero_relation	source_role	interpretation
ES01	single_channel	single_channel_hb_1_material_loss	HB_1 neutralization has a material F1 loss	event_f1_difference	-0.1122807017543859		leave_one_pid_out_range	-0.1311475409836065	-0.0916030534351145	<=	-0.03		True	True	False	gate_supported_by_uncertainty	negative	single_loo	full stored range meets the original gate; range is negative relative to zero
ES02	single_channel	single_channel_hb_2_material_loss	HB_2 neutralization has a material F1 loss	event_f1_difference	-0.0209565008411439		leave_one_pid_out_range	-0.0363608111257866	-0.0105436838504567	<=	-0.03		False	False	False	point_failure_with_gate_overlap	negative	single_loo	aggregate point fails but stored range overlaps the gate; range is negative relative to zero
ES03	raw_noise	H8.3	Mild both-channel noise preserves F1	event_f1_difference	0.028744939271255		participant_bootstrap_95	-0.0361680025215212	0.0868749380903553	>=	-0.03		True	False	False	point_gate_only	spans_zero	raw_bootstrap	aggregate point passes but stored range overlaps the gate; range is spans_zero relative to zero
ES04	raw_noise	H8.3	Mild both-channel noise preserves FAR	false_alarms_per_hour_difference	-0.7781205877738848		participant_bootstrap_95	-1.5068834653355383	-0.3322423992386044	<=	0.5		True	True	False	gate_supported_by_uncertainty	negative	raw_bootstrap	full stored range meets the original gate; range is negative relative to zero
ES05	raw_noise	severe_noise_stress	Severe both-channel noise causes material F1 loss	event_f1_difference	-0.1122807017543859		participant_bootstrap_95	-0.1869238417180354	-0.0410238907849829	<=	-0.03		True	True	False	gate_supported_by_uncertainty	negative	raw_bootstrap	full stored range meets the original gate; range is negative relative to zero
ES06	raw_noise	H8.5	Isolated HB_1 noise causes material F1 loss	event_f1_difference	-0.0703958850004592		participant_bootstrap_95	-0.1174014438514549	-0.0264762965763619	<=	-0.03		True	False	False	point_gate_only	negative	raw_bootstrap	aggregate point passes but stored range overlaps the gate; range is negative relative to zero
ES07	raw_noise	H8.5	Isolated HB_1 noise causes material FAR increase	false_alarms_per_hour_difference	3.0058045285781523		participant_bootstrap_95	1.510022111522866	5.0621448751785145	>=	0.5		True	True	False	gate_supported_by_uncertainty	positive	raw_bootstrap	full stored range meets the original gate; range is positive relative to zero
ES08	raw_noise	H8.5	Isolated HB_2 noise causes material F1 loss	event_f1_difference	-0.0298064749502622		participant_bootstrap_95	-0.1033832174857873	0.0309602614123205	<=	-0.03		False	False	False	point_failure_with_gate_overlap	spans_zero	raw_bootstrap	aggregate point fails but stored range overlaps the gate; range is spans_zero relative to zero
ES09	raw_noise	H8.5	Isolated HB_2 noise causes material FAR increase	false_alarms_per_hour_difference	-1.1044292213564817		participant_bootstrap_95	-1.7436000495466812	-0.7016453881478266	>=	0.5		False	False	True	gate_failure_supported_by_uncertainty	negative	raw_bootstrap	full stored range remains on the failing side of the gate; range is negative relative to zero
ES10	noise_augmentation	H8.6	Augmentation preserves clean F1	event_f1_difference	-0.0099184970299765		participant_bootstrap_95	-0.0438103309120258	0.0132405454107135	>=	-0.03		True	False	False	point_gate_only	spans_zero	augmentation_bootstrap	aggregate point passes but stored range overlaps the gate; range is spans_zero relative to zero
ES11	noise_augmentation	H8.6	Augmentation preserves clean FAR	false_alarms_per_hour_difference	-0.1757046488521676		participant_bootstrap_95	-0.4691150222841815	0.0575870590666972	<=	0.5		True	True	False	gate_supported_by_uncertainty	spans_zero	augmentation_bootstrap	full stored range meets the original gate; range is spans_zero relative to zero
ES12	noise_augmentation	H8.7	Augmentation materially improves HB_1-noise F1	event_f1_difference	0.0499519179399508		participant_bootstrap_95	-0.012883379738702	0.1166917182105048	>=	0.03		True	False	False	point_gate_only	spans_zero	augmentation_bootstrap	aggregate point passes but stored range overlaps the gate; range is spans_zero relative to zero
ES13	noise_augmentation	H8.7	Augmentation materially reduces HB_1-noise FAR	false_alarms_per_hour_difference	-3.5203681430737856		participant_bootstrap_95	-5.854600912566762	-1.68280583927906	<=	-0.5		True	True	False	gate_supported_by_uncertainty	negative	augmentation_bootstrap	full stored range meets the original gate; range is negative relative to zero
ES14	noise_augmentation	H8.9	Augmentation meaningfully advances clean F1	event_f1_difference	-0.0099184970299765		participant_bootstrap_95	-0.0438103309120258	0.0132405454107135	>=	0.05		False	False	True	gate_failure_supported_by_uncertainty	spans_zero	augmentation_bootstrap	full stored range remains on the failing side of the gate; range is spans_zero relative to zero
ES15	noise_augmentation	H8.8	Augmentation reduces the joint HB_1 degradation gap	f1_gap_reduction	0.0598704149699273	3.344663494221618	no_direct_difference_in_differences_interval			joint_>=	0.03	0.5	True			no_direct_uncertainty_interval	not_available	augmentation_decisions	exact derived contrast has no stored participant interval
ES16	event_overlap	H8.10	Shared direct-model misses are material	shared_miss_fraction	0.3783783783783784		participant_bootstrap_95	0.2258064516129032	0.5510380014074592	>=	0.5		False	False	False	point_failure_with_gate_overlap	positive	overlap_bootstrap	aggregate point fails but stored range overlaps the gate; range is positive relative to zero
ES17	event_overlap	H8.11	PSG-only recovery is material	psg_only_fraction	0.1891891891891892		participant_bootstrap_95	0.1111111111111111	0.2962962962962963	>=	0.15		True	False	False	point_gate_only	positive	overlap_bootstrap	aggregate point passes but stored range overlaps the gate; range is positive relative to zero
ES18	event_overlap	H8.12	Direct-model union gain is material	direct_union_gain_over_best	0.1081081081081081		participant_bootstrap_95	0.0	0.1891891891891891	>=	0.1		True	False	False	point_gate_only	spans_zero	overlap_bootstrap	aggregate point passes but stored range overlaps the gate; range is spans_zero relative to zero
ES19	event_overlap	H8.13	Boundary-tolerance gain is material	boundary_union_recall_gain	0.1081081081081081		participant_bootstrap_95	0.0238095238095237	0.2400344827586202	>=	0.1		True	False	False	point_gate_only	positive	overlap_bootstrap	aggregate point passes but stored range overlaps the gate; range is positive relative to zero
ES20	alarm_fusion	H8.14	Two-modality OR meaningfully improves F1	f1	-0.0530422818654126		participant_bootstrap_95	-0.107190352725112	-0.0244371771433928	>=	0.05		False	False	True	gate_failure_supported_by_uncertainty	negative	fusion_bootstrap	full stored range remains on the failing side of the gate; range is negative relative to zero
ES21	alarm_fusion	H8.14	Two-modality OR keeps FAR increase within its bound	false_alarms_per_hour	1.1358050515086546		participant_bootstrap_95	0.753568328264025	1.6836689482435303	<=	0.25		False	False	True	gate_failure_supported_by_uncertainty	positive	fusion_bootstrap	full stored range remains on the failing side of the gate; range is positive relative to zero
ES22	alarm_fusion	H8.15	Laboratory consensus preserves or improves F1	f1	0.0543011755924612		participant_bootstrap_95	-0.0192059247757107	0.1322560844198826	>=	0.0		True	False	False	point_gate_only	spans_zero	fusion_bootstrap	aggregate point passes but stored range overlaps the gate; range is spans_zero relative to zero
ES23	alarm_fusion	H8.15	Laboratory consensus does not increase FAR	false_alarms_per_hour	-0.5710401087695447		participant_bootstrap_95	-1.1759165751961909	-0.1345805209689554	<=	0.0		True	True	False	gate_supported_by_uncertainty	negative	fusion_bootstrap	full stored range meets the original gate; range is negative relative to zero
ES24	alarm_fusion	H8.16	Wider tolerance materially improves consensus F1	f1	0.036340038935756		participant_bootstrap_95	0.0058827704491782	0.0754145489501682	>=	0.05		False	False	False	point_failure_with_gate_overlap	positive	fusion_bootstrap	aggregate point fails but stored range overlaps the gate; range is positive relative to zero
ES25	alarm_fusion	H8.17	All-direct OR causes a material alarm penalty	false_alarms_per_hour	1.173456047691262		participant_bootstrap_95	0.7828406599415483	1.7354621681916416	>=	0.5		True	True	False	gate_supported_by_uncertainty	positive	fusion_bootstrap	full stored range meets the original gate; range is positive relative to zero
