artifact_role	path_relative_to_repository	bytes	sha256
augmentation_bootstrap	experiments/2026-09-12_block8_noise_augmented_training_v0.1/paired_participant_bootstrap_v0.1.tsv	2702	a6c15fb94cd72e5043c66a7c12e0628010b0fd99d92bca9d443089e212cbf7e3
augmentation_decisions	experiments/2026-09-12_block8_noise_augmented_training_v0.1/hypothesis_decisions_v0.1.tsv	480	161bad8d584cfaf02a2e900f10db70ea32ff79a1964b6ba8a051004caffd6a61
augmentation_independent_checks	experiments/2026-09-12_block8_noise_augmented_training_v0.1/output_integrity_checks_v0.1.tsv	1140	59c4da8267d9814af1d8fe481e8cd7f0c2ed472f02c3ed953fd7501c9e9db529
augmentation_metrics	experiments/2026-09-12_block8_noise_augmented_training_v0.1/validation_event_metrics_v0.1.tsv	8290	dd4901c96ed491a8cf0d8994cd03b4f887f9c91e3f7daf94705d19bfb7b102e2
augmentation_train_checks	experiments/2026-09-12_block8_noise_augmented_training_v0.1/train_phase_checks_v0.1.tsv	818	e054395f049a69bcafcb22e67e0dd51ac46f3656690e6d9343f6d498597966ea
augmentation_validation_checks	experiments/2026-09-12_block8_noise_augmented_training_v0.1/validation_phase_checks_v0.1.tsv	816	983e55848d1432159d03b2dbbd63309d54cee0b75657c1e47efb5c6651776c42
fusion_bootstrap	experiments/2026-09-13_block8_fixed_alarm_fusion_v0.1/paired_participant_bootstrap_v0.1.tsv	1876	0c4a0fa83f4594f550abb325e043ea92348a6500224540019b92410db7b895d9
fusion_decisions	experiments/2026-09-13_block8_fixed_alarm_fusion_v0.1/hypothesis_decisions_v0.1.tsv	563	fb1acefb77cdc83c09de46c28f8b56ca3a041f4c6a5695b81c998c2b516b600e
fusion_in_run_checks	experiments/2026-09-13_block8_fixed_alarm_fusion_v0.1/in_run_checks_v0.1.tsv	707	a35d678765cbe3ffee2f7d25774a91199a65d9165b76850b0e884598d4724077
fusion_independent_checks	experiments/2026-09-13_block8_fixed_alarm_fusion_v0.1/output_integrity_checks_v0.1.tsv	645	cd57cb977c79417d37f7bbe52c9c77a6e8e59585a436e465cfc7ab6283219c35
fusion_metrics	experiments/2026-09-13_block8_fixed_alarm_fusion_v0.1/event_metrics_v0.1.tsv	4633	374be6e44bbe57f6c97c4a42ddead91cf8a2b471bfc78ca964e2b6e00b4dda23
overlap_bootstrap	experiments/2026-09-13_block8_cross_modality_event_overlap_v0.1/participant_bootstrap_v0.1.tsv	782	45e4fe88f20505f56c1fb5b3ed6b4483d25e8a4cb05ceb30c1ce997dd72cb1bd
overlap_decisions	experiments/2026-09-13_block8_cross_modality_event_overlap_v0.1/hypothesis_decisions_v0.1.tsv	332	d1aa0cde319088384ada47297f5ce40fe1844deb6a4ac83d154b9b5ef1e50b3e
overlap_in_run_checks	experiments/2026-09-13_block8_cross_modality_event_overlap_v0.1/in_run_checks_v0.1.tsv	644	9de666d35dc662d2feee2de18989fccd0a7e10584e7a7bdf653aca96f4b7e97c
overlap_independent_checks	experiments/2026-09-13_block8_cross_modality_event_overlap_v0.1/output_integrity_checks_v0.1.tsv	605	e258aaeac051adc45f5764dcb2aac681d3c97c65a00362e64ef5a43648c85e70
raw_bootstrap	experiments/2026-09-11_block8_raw_signal_noise_v0.1/paired_participant_bootstrap_v0.1.tsv	1576	2c868011016c1a15b18dd3923d2519883c4ab4f8d9b365506f2e570c0390def9
raw_decisions	experiments/2026-09-11_block8_raw_signal_noise_v0.1/hypothesis_decisions_v0.1.tsv	417	834a76a2c576c789d874b650ebebc2f01253ce3db86fcb3639b3753ff3155861
raw_in_run_checks	experiments/2026-09-11_block8_raw_signal_noise_v0.1/in_run_checks_v0.1.tsv	1117	001b0d7eb020d295b96e032ced4b74c3038dbaef83e290bd65022785323700ab
raw_independent_checks	experiments/2026-09-11_block8_raw_signal_noise_v0.1/output_integrity_checks_v0.1.tsv	897	3b3a5a4117b0de3a9d65405ebb81eeef0fe9fdcfb506a99e0164feb76de69e43
raw_metrics	experiments/2026-09-11_block8_raw_signal_noise_v0.1/validation_event_metrics_v0.1.tsv	4758	da9ff0f060836d23680f286370a26d594c799789a36b2264c2b4285bf413d79f
single_comparisons	experiments/2026-09-11_block8_single_channel_robustness_v0.1/primary_ablation_comparisons_v0.1.tsv	360	e116b815a58499de3b5fc9af6fae2bad452cf6502f20c450f541271de1578270
single_in_run_checks	experiments/2026-09-11_block8_single_channel_robustness_v0.1/in_run_checks_v0.1.tsv	981	7c7a8e48fa09e9fa05a5a76ca53846ff35ed03b3035f8675e5c8ed9653916027
single_independent_checks	experiments/2026-09-11_block8_single_channel_robustness_v0.1/output_integrity_checks_v0.1.tsv	765	e489afe289b74ccc04a0962b738214dbf825431d3823c3c8c8408d5ebc1896a8
