sample_id	subject	pid	candidate_time_sec	label	source_tier	retained	drop_reason
background_75	sub-10	91	120.0	0	strict_same_stage_window	True	
background_76	sub-10	91	150.0	0	strict_same_stage_window	True	
background_66	sub-10	91	720.0	0	nontarget_window_no_remwake_nearby	True	
background_67	sub-10	91	750.0	0	nontarget_window_no_remwake_nearby	True	
background_64	sub-10	91	810.0	0	nontarget_window_no_remwake_nearby	True	
background_39	sub-10	91	840.0	0	nontarget_window_no_remwake_nearby	True	
background_41	sub-10	91	870.0	0	nontarget_window_no_remwake_nearby	True	
background_47	sub-10	91	900.0	0	nontarget_window_no_remwake_nearby	True	
background_48	sub-10	91	930.0	0	nontarget_window_no_remwake_nearby	True	
background_69	sub-10	91	990.0	0	strict_same_stage_window	True	
background_70	sub-10	91	1020.0	0	strict_same_stage_window	True	
background_45	sub-10	91	1380.0	0	nontarget_window_no_remwake_nearby	True	
background_40	sub-10	91	1410.0	0	nontarget_window_no_remwake_nearby	True	
background_42	sub-10	91	1440.0	0	nontarget_window_no_remwake_nearby	True	
background_53	sub-10	91	2100.0	0	nontarget_window_no_remwake_nearby	True	
background_65	sub-10	91	2340.0	0	nontarget_window_no_remwake_nearby	True	
background_49	sub-10	91	5280.0	0	nontarget_window_no_remwake_nearby	True	
background_57	sub-10	91	5310.0	0	nontarget_window_no_remwake_nearby	True	
background_58	sub-10	91	5340.0	0	nontarget_window_no_remwake_nearby	True	
background_55	sub-10	91	5370.0	0	nontarget_window_no_remwake_nearby	True	
background_50	sub-10	91	5490.0	0	nontarget_window_no_remwake_nearby	True	
background_71	sub-10	91	5610.0	0	strict_same_stage_window	True	
background_72	sub-10	91	5640.0	0	strict_same_stage_window	True	
background_56	sub-10	91	5790.0	0	nontarget_window_no_remwake_nearby	True	
background_54	sub-10	91	7140.0	0	nontarget_window_no_remwake_nearby	True	
background_46	sub-10	91	8160.0	0	nontarget_window_no_remwake_nearby	True	
background_68	sub-10	91	8280.0	0	strict_same_stage_window	True	
background_51	sub-10	91	11940.0	0	nontarget_window_no_remwake_nearby	True	
background_62	sub-10	91	11970.0	0	nontarget_window_no_remwake_nearby	True	
background_63	sub-10	91	12000.0	0	nontarget_window_no_remwake_nearby	True	
background_73	sub-10	91	12060.0	0	strict_same_stage_window	True	
background_74	sub-10	91	12090.0	0	strict_same_stage_window	True	
background_59	sub-10	91	12510.0	0	nontarget_window_no_remwake_nearby	True	
background_43	sub-10	91	12540.0	0	nontarget_window_no_remwake_nearby	True	
background_60	sub-10	91	12810.0	0	nontarget_window_no_remwake_nearby	True	
background_52	sub-10	91	18720.0	0	nontarget_window_no_remwake_nearby	True	
background_44	sub-10	91	19470.0	0	nontarget_window_no_remwake_nearby	True	
background_61	sub-10	91	25140.0	0	nontarget_window_no_remwake_nearby	True	
background_102	sub-100	67	120.0	0	strict_same_stage_window	True	
background_103	sub-100	67	150.0	0	strict_same_stage_window	True	
background_96	sub-100	67	600.0	0	nontarget_window_no_remwake_nearby	True	
background_97	sub-100	67	630.0	0	nontarget_window_no_remwake_nearby	True	
background_94	sub-100	67	690.0	0	nontarget_window_no_remwake_nearby	True	
background_81	sub-100	67	720.0	0	nontarget_window_no_remwake_nearby	True	
background_95	sub-100	67	750.0	0	nontarget_window_no_remwake_nearby	True	
background_82	sub-100	67	780.0	0	nontarget_window_no_remwake_nearby	True	
background_77	sub-100	67	900.0	0	nontarget_window_no_remwake_nearby	True	
background_78	sub-100	67	930.0	0	nontarget_window_no_remwake_nearby	True	
background_79	sub-100	67	1020.0	0	nontarget_window_no_remwake_nearby	True	
background_85	sub-100	67	1050.0	0	nontarget_window_no_remwake_nearby	True	
background_86	sub-100	67	1080.0	0	nontarget_window_no_remwake_nearby	True	
background_98	sub-100	67	1140.0	0	strict_same_stage_window	True	
background_99	sub-100	67	1170.0	0	strict_same_stage_window	True	
background_89	sub-100	67	2130.0	0	nontarget_window_no_remwake_nearby	True	
background_80	sub-100	67	3840.0	0	nontarget_window_no_remwake_nearby	True	
background_90	sub-100	67	4170.0	0	nontarget_window_no_remwake_nearby	True	
background_83	sub-100	67	4380.0	0	nontarget_window_no_remwake_nearby	True	
background_84	sub-100	67	5460.0	0	nontarget_window_no_remwake_nearby	True	
background_87	sub-100	67	6450.0	0	nontarget_window_no_remwake_nearby	True	
background_92	sub-100	67	6480.0	0	nontarget_window_no_remwake_nearby	True	
background_93	sub-100	67	6510.0	0	nontarget_window_no_remwake_nearby	True	
background_100	sub-100	67	6570.0	0	strict_same_stage_window	True	
background_101	sub-100	67	6600.0	0	strict_same_stage_window	True	
background_91	sub-100	67	7590.0	0	nontarget_window_no_remwake_nearby	True	
background_88	sub-100	67	14700.0	0	nontarget_window_no_remwake_nearby	True	
transition_377	sub-100	67	16470.0	1	REM_to_Wake	True	
transition_380	sub-100	67	23940.0	1	REM_to_Wake	True	
transition_381	sub-100	67	27600.0	1	REM_to_Wake	True	
transition_383	sub-100	67	27990.0	1	REM_to_Wake	True	
background_135	sub-101	68	120.0	0	strict_same_stage_window	True	
background_136	sub-101	68	150.0	0	strict_same_stage_window	True	
background_129	sub-101	68	990.0	0	nontarget_window_no_remwake_nearby	True	
background_130	sub-101	68	1020.0	0	nontarget_window_no_remwake_nearby	True	
background_125	sub-101	68	1080.0	0	nontarget_window_no_remwake_nearby	True	
background_106	sub-101	68	1110.0	0	nontarget_window_no_remwake_nearby	True	
background_126	sub-101	68	1200.0	0	nontarget_window_no_remwake_nearby	True	
background_104	sub-101	68	1230.0	0	nontarget_window_no_remwake_nearby	True	
background_116	sub-101	68	1260.0	0	nontarget_window_no_remwake_nearby	True	
background_105	sub-101	68	1380.0	0	nontarget_window_no_remwake_nearby	True	
background_117	sub-101	68	1410.0	0	nontarget_window_no_remwake_nearby	True	
background_108	sub-101	68	1500.0	0	nontarget_window_no_remwake_nearby	True	
