fit	fold	epoch	mean_batch_loss	maximum_preclip_gradient_norm
LC-1_fold_1	1	1	6.94289493560791	7.898838043212891
LC-1_fold_1	1	2	4.191104835934109	5.6127424240112305
LC-1_fold_1	1	3	3.174637794494629	1.920067548751831
LC-1_fold_1	1	4	2.5878839757707386	3.169070243835449
LC-1_fold_1	1	5	2.163632422685623	1.8894665241241455
LC-1_fold_1	1	6	1.8513395885626476	2.404995918273926
LC-1_fold_1	1	7	1.5723949770132701	2.538175582885742
LC-1_fold_1	1	8	1.3357605934143066	2.3404805660247803
LC-1_fold_1	1	9	1.134998171693749	2.0430405139923096
LC-1_fold_1	1	10	0.9604381240076489	1.8857228755950928
LC-1_fold_1	1	11	0.8372743278741837	2.722057819366455
LC-1_fold_1	1	12	0.727126359111733	2.5305278301239014
LC-1_fold_1	1	13	0.7963689118623734	3.8253161907196045
LC-1_fold_1	1	14	0.6065539717674255	3.7325778007507324
LC-1_fold_1	1	15	0.5671055830187268	6.154368877410889
LC-1_fold_1	1	16	0.49784845527675414	4.369764804840088
LC-1_fold_1	1	17	0.44254466229014927	3.709859609603882
LC-1_fold_1	1	18	0.410122361448076	6.065925121307373
LC-1_fold_1	1	19	0.3406771380040381	3.4214468002319336
LC-1_fold_1	1	20	0.3582646656367514	9.290373802185059
LC-1_fold_1	1	21	0.34678443024555844	4.278722763061523
LC-1_fold_1	1	22	0.3138549187117153	4.43905782699585
LC-1_fold_1	1	23	0.26989154020945233	2.207240581512451
LC-1_fold_1	1	24	0.26899269305997425	2.723968982696533
LC-1_fold_1	1	25	0.25819339023696053	3.802090883255005
LC-1_fold_1	1	26	0.23477044618792003	3.11240816116333
LC-1_fold_1	1	27	0.22506187442276213	3.172070026397705
LC-1_fold_1	1	28	0.2068484876718786	2.0631840229034424
LC-1_fold_1	1	29	0.22271602973341942	4.490211486816406
LC-1_fold_1	1	30	0.2581838369369507	5.749816417694092
LC-1_fold_1	1	31	0.243263172192706	4.225683212280273
LC-1_fold_1	1	32	0.20995078939530584	3.0960733890533447
LC-1_fold_1	1	33	0.1816972183684508	2.229254961013794
LC-1_fold_1	1	34	0.18129855104618603	4.044184684753418
LC-1_fold_1	1	35	0.18057366046640608	2.556173801422119
LC-1_fold_1	1	36	0.18175072160859904	2.692925214767456
LC-1_fold_1	1	37	0.17120256771643957	5.070948600769043
LC-1_fold_1	1	38	0.16565366461873055	4.789072036743164
LC-1_fold_1	1	39	0.14817992018328774	1.916996955871582
LC-1_fold_1	1	40	0.15090370716320145	2.304597854614258
LC-1_fold_1	1	41	0.1396456640213728	3.47455096244812
LC-1_fold_1	1	42	0.14233448108037314	4.009519100189209
LC-1_fold_1	1	43	0.13786169617540306	4.279669761657715
LC-1_fold_1	1	44	0.1302790587974919	4.3144850730896
LC-1_fold_1	1	45	0.13258905201736423	2.772805690765381
LC-1_fold_1	1	46	0.11599890090939072	1.4875138998031616
LC-1_fold_1	1	47	0.117165877069864	1.7809710502624512
