model	partition	membership	tolerance_sec	threshold	pid	recordings	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	15.0	0.98	1	1	4	21	3	17	1	1	8.25	0.15	0.75	0.25	2.0606060606060606
LR-OOF	train_oof	primary	15.0	0.98	6	1	0	1	0	1	0	0	3.35	0.0		0.0	0.29850746268656714
LR-OOF	train_oof	primary	15.0	0.98	8	1	0	57	0	55	0	2	8.083333333333334	0.0		0.0	6.804123711340206
LR-OOF	train_oof	primary	15.0	0.98	9	1	3	23	3	20	0	0	8.725	0.13043478260869565	1.0	0.23076923076923078	2.2922636103151866
LR-OOF	train_oof	primary	15.0	0.98	10	1	3	12	2	10	1	0	8.991666666666667	0.16666666666666666	0.6666666666666666	0.26666666666666666	1.1121408711770158
LR-OOF	train_oof	primary	15.0	0.98	11	1	6	12	1	11	5	0	8.408333333333333	0.08333333333333333	0.16666666666666666	0.1111111111111111	1.3082259663032705
LR-OOF	train_oof	primary	15.0	0.98	13	1	2	8	1	7	1	0	8.675	0.125	0.5	0.2	0.8069164265129682
LR-OOF	train_oof	primary	15.0	0.98	14	1	1	7	0	7	1	0	8.558333333333334	0.0	0.0	0.0	0.8179162609542356
LR-OOF	train_oof	primary	15.0	0.98	16	1	2	18	1	17	1	0	7.716666666666667	0.05555555555555555	0.5	0.1	2.203023758099352
LR-OOF	train_oof	primary	15.0	0.98	19	1	3	7	1	6	2	0	7.875	0.14285714285714285	0.3333333333333333	0.2	0.7619047619047619
LR-OOF	train_oof	primary	15.0	0.98	20	1	1	3	0	3	1	0	7.1	0.0	0.0	0.0	0.4225352112676057
LR-OOF	train_oof	primary	15.0	0.98	21	1	0	72	0	70	0	2	9.175	0.0		0.0	7.62942779291553
LR-OOF	train_oof	primary	15.0	0.98	24	1	1	9	0	9	1	0	6.716666666666667	0.0	0.0	0.0	1.3399503722084367
LR-OOF	train_oof	primary	15.0	0.98	29	1	2	8	1	7	1	0	7.458333333333333	0.125	0.5	0.2	0.9385474860335196
LR-OOF	train_oof	primary	15.0	0.98	31	1	3	1	0	1	3	0	7.633333333333334	0.0	0.0	0.0	0.13100436681222707
LR-OOF	train_oof	primary	15.0	0.98	32	1	5	40	5	34	0	1	7.641666666666667	0.1282051282051282	1.0	0.22727272727272727	4.449291166848419
LR-OOF	train_oof	primary	15.0	0.98	33	1	2	13	2	11	0	0	7.041666666666667	0.15384615384615385	1.0	0.26666666666666666	1.5621301775147929
LR-OOF	train_oof	primary	15.0	0.98	34	1	0	11	0	10	0	1	8.3	0.0		0.0	1.2048192771084336
LR-OOF	train_oof	primary	15.0	0.98	35	1	2	1	0	1	2	0	7.225	0.0	0.0	0.0	0.1384083044982699
LR-OOF	train_oof	primary	15.0	0.98	36	1	3	20	2	18	1	0	9.225	0.1	0.6666666666666666	0.17391304347826086	1.9512195121951221
LR-OOF	train_oof	primary	15.0	0.98	38	1	1	2	1	1	0	0	6.858333333333333	0.5	1.0	0.6666666666666666	0.14580801944106925
LR-OOF	train_oof	primary	15.0	0.98	39	1	2	2	0	2	2	0	8.016666666666667	0.0	0.0	0.0	0.24948024948024947
LR-OOF	train_oof	primary	15.0	0.98	42	1	0	16	0	16	0	0	8.925	0.0		0.0	1.7927170868347337
LR-OOF	train_oof	primary	15.0	0.98	43	1	2	7	2	5	0	0	7.275	0.2857142857142857	1.0	0.4444444444444444	0.6872852233676976
