model	partition	membership	tolerance_sec	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour	median_absolute_error_sec	maximum_absolute_error_sec
LR-OOF	train_oof	primary	15.0	0.01	82	64	180	9532	117	9387	63	28	629.4916666666667	0.01231060606060606	0.65	0.024163568773234202	14.91203219528985	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.02	82	64	180	11466	119	11319	61	28	629.4916666666667	0.01040391676866585	0.6611111111111111	0.020485453606472716	17.981175286937873	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.03	82	64	180	11998	122	11848	58	28	629.4916666666667	0.010192147034252298	0.6777777777777778	0.02008230452674897	18.821535895365308	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.04	82	64	180	12059	124	11907	56	28	629.4916666666667	0.010306707671847727	0.6888888888888889	0.02030955695684219	18.91526231483075	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.05	82	64	180	11908	125	11755	55	28	629.4916666666667	0.010521885521885523	0.6944444444444444	0.020729684908789386	18.67379764095368	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.06	82	64	180	11576	125	11422	55	29	629.4916666666667	0.010825322594613319	0.6944444444444444	0.021318325232369744	18.144799375157202	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.07	82	64	180	11182	127	11025	53	30	629.4916666666667	0.011388091822094692	0.7055555555555556	0.02241440169431698	17.514131772991433	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.08	82	64	180	10776	128	10618	52	30	629.4916666666667	0.01191140889633352	0.7111111111111111	0.023430349624748308	16.867578337017964	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.09	82	64	180	10442	128	10284	52	30	629.4916666666667	0.012293507491356128	0.7111111111111111	0.02416918429003021	16.336991487840717	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.1	82	64	180	10026	129	9867	51	30	629.4916666666667	0.01290516206482593	0.7166666666666667	0.02535377358490566	15.674552218059546	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.11	82	64	180	9674	130	9514	50	30	629.4916666666667	0.013479883865615928	0.7222222222222222	0.026465798045602607	15.113782284647666	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.12	82	64	180	9340	130	9180	50	30	629.4916666666667	0.013963480128893663	0.7222222222222222	0.0273972602739726	14.583195435470419	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.13	82	64	180	9031	130	8871	50	30	629.4916666666667	0.014442839684479502	0.7222222222222222	0.028319355190066443	14.092323170812428	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.14	82	64	180	8695	130	8535	50	30	629.4916666666667	0.015002885170225043	0.7222222222222222	0.029395138496325607	13.558559154873642	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.15	82	64	180	8393	130	8233	50	30	629.4916666666667	0.015544661006815737	0.7222222222222222	0.030434273674353272	13.078806973881042	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.16	82	64	180	8081	130	7921	50	30	629.4916666666667	0.016147062476710966	0.7222222222222222	0.03158789940468959	12.583168959080739	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.17	82	64	180	7803	130	7643	50	30	629.4916666666667	0.016724559372185772	0.7222222222222222	0.03269206588708663	12.141542779226624	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.18	82	64	180	7503	130	7343	50	30	629.4916666666667	0.017395958784959187	0.7222222222222222	0.03397360512217431	11.664967764995565	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.19	82	64	180	7307	130	7147	50	30	629.4916666666667	0.01786450460354542	0.7222222222222222	0.0348665683250637	11.353605422364605	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.2	82	64	180	7109	130	6949	50	30	629.4916666666667	0.018364175731035458	0.7222222222222222	0.035817605730816916	11.039065912972108	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.21	82	64	180	6885	130	6725	50	30	629.4916666666667	0.018964259664478483	0.7222222222222222	0.03695806680881308	10.683223235679582	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.22	82	64	180	6678	130	6518	50	30	629.4916666666667	0.019554753309265944	0.7222222222222222	0.038078500292911543	10.354386475860151	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.23	82	64	180	6514	130	6354	50	30	629.4916666666667	0.020049352251696483	0.7222222222222222	0.039015606242496996	10.09385880141384	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.24	82	64	180	6311	130	6151	50	30	629.4916666666667	0.020697341187708964	0.7222222222222222	0.04024144869215292	9.77137637511749	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.25	82	64	180	6127	130	5967	50	30	629.4916666666667	0.021321961620469083	0.7222222222222222	0.04142106101640911	9.479077033055772	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.26	82	64	180	5967	129	5808	51	30	629.4916666666667	0.021728145528044467	0.7166666666666667	0.042177538008827856	9.22649227551331	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.27	82	64	180	5818	129	5659	51	30	629.4916666666667	0.022287491361437456	0.7166666666666667	0.043230563002680966	8.989793351778552	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.28	82	64	180	5695	130	5535	50	30	629.4916666666667	0.02294792586054722	0.7222222222222222	0.04448246364414029	8.792809012563048	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.29	82	64	180	5553	129	5394	51	30	629.4916666666667	0.023356871265616513	0.7166666666666667	0.04523934771173067	8.56881875587445	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.3	82	64	180	5430	129	5271	51	30	629.4916666666667	0.02388888888888889	0.7166666666666667	0.046236559139784944	8.373423000039715	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.31	82	64	180	5293	128	5135	52	30	629.4916666666667	0.024320729621888658	0.7111111111111111	0.047032886275950765	8.157375660254967	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.32	82	64	180	5182	128	5024	52	30	629.4916666666667	0.024844720496894408	0.7111111111111111	0.04801200300075019	7.981042904989476	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.33	82	64	180	5063	128	4905	52	30	629.4916666666667	0.02543214782435923	0.7111111111111111	0.049107999232687514	7.792001482677822	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.34	82	64	180	4946	127	4789	53	30	629.4916666666667	0.025834011391375103	0.7055555555555556	0.049843014128728415	7.607725810508479	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.35	82	64	180	4845	126	4689	54	30	629.4916666666667	0.026168224299065422	0.7	0.05045045045045045	7.448867472431459	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.36	82	64	180	4735	125	4580	55	30	629.4916666666667	0.026567481402763018	0.6944444444444444	0.0511770726714432	7.2757118839275075	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.37	82	64	180	4656	125	4501	55	30	629.4916666666667	0.027021184608733248	0.6944444444444444	0.05201831044527674	7.1502137968466615	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.38	82	64	180	4536	125	4381	55	30	629.4916666666667	0.027740790057700842	0.6944444444444444	0.05335040546308152	6.959583791154238	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.39	82	64	180	4444	125	4289	55	30	629.4916666666667	0.028318985047575896	0.6944444444444444	0.0544188071397475	6.81343412012338	0.0	0.0
LR-OOF	train_oof	primary	15.0	0.4	82	64	180	4355	124	4201	56	30	629.4916666666667	0.028670520231213872	0.6888888888888889	0.05504994450610433	6.673638782615602	0.0	0.0
