model	fold	fit_pid	heldout_pid	fit_candidates	fit_positive	fit_negative	heldout_candidates	seed	training_epochs	convergence_warning_count	maximum_iterations_used	model_sha256
LC-1	1	51	13	2190	128	2062	553	20260920	60.0	0		82ab57e2b2a7544357438c1e7d59f8e7fd71339ce904b8d61726bdaece437dd9
LR-OOF	1	51	13	2190	128	2062	553	20260919		0	87.0	b13440772c7733de0cf92bd2ee28a674b3f89b768d024dfc1ce75e7e94eec4d9
LC-1	2	51	13	2191	151	2040	552	20260921	60.0	0		4d51e5cfa335df0d0a93b78134018ab91b9365e4ede30a08934d77ab3400742a
LR-OOF	2	51	13	2191	151	2040	552	20260919		0	101.0	6eb5d91fbc3f3a52f3fae78c586bdc696ab78caf35d2902bcaa2d728346ae492
LC-1	3	51	13	2191	147	2044	552	20260922	60.0	0		df10617b2bc987d10267ba8789f2fb89e7ed8446d02dd2e1bb83d9b0b36a49d8
LR-OOF	3	51	13	2191	147	2044	552	20260919		0	111.0	04b8d59d1cf92dcbc83c6ecce5e081d4db57b7ed2b23e471ebf6679227191fed
LC-1	4	51	13	2189	136	2053	554	20260923	60.0	0		cd3f058f65bad454b908945f59dfab3cdfe4b4339b713104e25847d48f9d16a7
LR-OOF	4	51	13	2189	136	2053	554	20260919		0	111.0	a9a51f7616575e3a4b59c1a75ab2ce4beed4238e7217c07b095ea616a6171694
LC-1	5	52	12	2211	158	2053	532	20260924	60.0	0		96170d8062785f3b98d70650b4e57f965b579dead7933ca7e244b66c02f31ed8
LR-OOF	5	52	12	2211	158	2053	532	20260919		0	103.0	8a5332b6710a39949b02ecf34d749dc8ccab788ecd26456663a4c0eea7f96f9c
