model	partition	membership	threshold	subject	pid	tolerance_sec	reference_events	predicted_events	ignored_reference_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
LR-OOF	train_oof	primary	0.98	sub-10	91	15.0	0	4	0	0	4	0	0	8.216666666666667	0.0		0.0	0.486815415821501
LR-OOF	train_oof	primary	0.98	sub-100	67	15.0	4	15	1	2	12	2	1	8.241666666666667	0.14285714285714285	0.5	0.2222222222222222	1.4560161779575327
LR-OOF	train_oof	primary	0.98	sub-101	68	15.0	5	3	0	1	2	4	0	7.733333333333333	0.3333333333333333	0.2	0.25	0.25862068965517243
LR-OOF	train_oof	primary	0.98	sub-103	71	15.0	0	1	0	0	1	0	0	7.091666666666667	0.0		0.0	0.1410105757931845
LR-OOF	train_oof	primary	0.98	sub-104	72	15.0	1	1	1	0	0	1	1	6.933333333333334		0.0	0.0	0.0
LR-OOF	train_oof	primary	0.98	sub-107	75	15.0	1	8	0	1	7	0	0	7.875	0.125	1.0	0.2222222222222222	0.8888888888888888
LR-OOF	train_oof	primary	0.98	sub-108	76	15.0	1	7	1	1	5	0	1	8.058333333333334	0.16666666666666666	1.0	0.2857142857142857	0.6204756980351602
LR-OOF	train_oof	primary	0.98	sub-109	96	15.0	5	3	0	0	3	5	0	6.966666666666667	0.0	0.0	0.0	0.43062200956937796
LR-OOF	train_oof	primary	0.98	sub-11	8	15.0	0	57	2	0	55	0	2	8.083333333333334	0.0		0.0	6.804123711340206
LR-OOF	train_oof	primary	0.98	sub-110	96	15.0	0	21	4	0	21	0	0	7.883333333333334	0.0		0.0	2.66384778012685
LR-OOF	train_oof	primary	0.98	sub-111	96	15.0	5	8	0	1	7	4	0	7.95	0.125	0.2	0.15384615384615385	0.8805031446540881
LR-OOF	train_oof	primary	0.98	sub-115	98	15.0	1	2	0	0	2	1	0	6.983333333333333	0.0	0.0	0.0	0.2863961813842482
LR-OOF	train_oof	primary	0.98	sub-116	98	15.0	1	10	1	1	8	0	1	7.083333333333333	0.1111111111111111	1.0	0.2	1.1294117647058823
LR-OOF	train_oof	primary	0.98	sub-117	98	15.0	4	3	1	0	3	4	0	6.55	0.0	0.0	0.0	0.4580152671755725
LR-OOF	train_oof	primary	0.98	sub-118	99	15.0	2	5	0	1	4	1	0	7.258333333333334	0.2	0.5	0.2857142857142857	0.5510907003444316
LR-OOF	train_oof	primary	0.98	sub-119	99	15.0	3	2	0	1	1	2	0	7.425	0.5	0.3333333333333333	0.4	0.13468013468013468
LR-OOF	train_oof	primary	0.98	sub-12	92	15.0	9	6	0	2	4	7	0	8.266666666666667	0.3333333333333333	0.2222222222222222	0.26666666666666666	0.48387096774193544
LR-OOF	train_oof	primary	0.98	sub-120	99	15.0	2	3	1	1	2	1	0	6.516666666666667	0.3333333333333333	0.5	0.4	0.3069053708439898
LR-OOF	train_oof	primary	0.98	sub-121	100	15.0	0	8	1	0	7	0	1	7.383333333333334	0.0		0.0	0.9480812641083521
LR-OOF	train_oof	primary	0.98	sub-122	101	15.0	0	2	0	0	2	0	0	7.241666666666666	0.0		0.0	0.27617951668584584
LR-OOF	train_oof	primary	0.98	sub-125	104	15.0	3	4	0	0	4	3	0	8.008333333333333	0.0	0.0	0.0	0.49947970863683666
LR-OOF	train_oof	primary	0.98	sub-128	108	15.0	1	8	0	0	8	1	0	6.716666666666667	0.0	0.0	0.0	1.1910669975186103
LR-OOF	train_oof	primary	0.98	sub-13	91	15.0	0	2	0	0	2	0	0	8.25	0.0		0.0	0.24242424242424243
LR-OOF	train_oof	primary	0.98	sub-14	9	15.0	3	23	1	3	20	0	0	8.725	0.13043478260869565	1.0	0.23076923076923078	2.2922636103151866
LR-OOF	train_oof	primary	0.98	sub-15	10	15.0	3	12	0	2	10	1	0	8.991666666666667	0.16666666666666666	0.6666666666666666	0.26666666666666666	1.1121408711770158
LR-OOF	train_oof	primary	0.98	sub-16	11	15.0	6	12	1	1	11	5	0	8.408333333333333	0.08333333333333333	0.16666666666666666	0.1111111111111111	1.3082259663032705
LR-OOF	train_oof	primary	0.98	sub-17	92	15.0	10	3	1	2	1	8	0	8.058333333333334	0.6666666666666666	0.2	0.3076923076923077	0.12409513960703206
