pid	fold	role
19	1	heldout_threshold_selection
20	1	heldout_threshold_selection
21	1	heldout_threshold_selection
32	1	heldout_threshold_selection
35	1	heldout_threshold_selection
38	1	heldout_threshold_selection
63	1	heldout_threshold_selection
65	1	heldout_threshold_selection
71	1	heldout_threshold_selection
75	1	heldout_threshold_selection
76	1	heldout_threshold_selection
78	1	heldout_threshold_selection
84	1	heldout_threshold_selection
6	2	heldout_threshold_selection
10	2	heldout_threshold_selection
54	2	heldout_threshold_selection
58	2	heldout_threshold_selection
59	2	heldout_threshold_selection
60	2	heldout_threshold_selection
61	2	heldout_threshold_selection
62	2	heldout_threshold_selection
85	2	heldout_threshold_selection
91	2	heldout_threshold_selection
94	2	heldout_threshold_selection
99	2	heldout_threshold_selection
108	2	heldout_threshold_selection
1	3	heldout_threshold_selection
14	3	heldout_threshold_selection
31	3	heldout_threshold_selection
33	3	heldout_threshold_selection
42	3	heldout_threshold_selection
46	3	heldout_threshold_selection
51	3	heldout_threshold_selection
53	3	heldout_threshold_selection
66	3	heldout_threshold_selection
68	3	heldout_threshold_selection
80	3	heldout_threshold_selection
96	3	heldout_threshold_selection
101	3	heldout_threshold_selection
8	4	heldout_threshold_selection
11	4	heldout_threshold_selection
24	4	heldout_threshold_selection
39	4	heldout_threshold_selection
43	4	heldout_threshold_selection
45	4	heldout_threshold_selection
50	4	heldout_threshold_selection
67	4	heldout_threshold_selection
79	4	heldout_threshold_selection
81	4	heldout_threshold_selection
82	4	heldout_threshold_selection
92	4	heldout_threshold_selection
100	4	heldout_threshold_selection
9	5	heldout_threshold_selection
13	5	heldout_threshold_selection
16	5	heldout_threshold_selection
29	5	heldout_threshold_selection
34	5	heldout_threshold_selection
36	5	heldout_threshold_selection
72	5	heldout_threshold_selection
87	5	heldout_threshold_selection
93	5	heldout_threshold_selection
95	5	heldout_threshold_selection
98	5	heldout_threshold_selection
104	5	heldout_threshold_selection
