outer_fold	candidate	threshold	recordings	pid	reference_events	predicted_events	true_positive	false_positive	false_negative	ignored_predictions	supported_hours	precision	recall	f1	false_alarms_per_hour
1	BLSTM-CRF	0.9947798743064417	66	51	128	217	37	175	91	5	506.8333333333333	0.17452830188679244	0.2890625	0.21764705882352942	0.3452811575139757
1	BGRU-CRF	0.9859363729567544	66	51	128	338	48	282	80	8	506.8333333333333	0.14545454545454545	0.375	0.2096069868995633	0.5563959223939494
1	TCN-CRF	0.9988304897349445	66	51	128	188	33	150	95	5	506.8333333333333	0.18032786885245902	0.2578125	0.21221864951768488	0.295955277869122
1	BLSTM-2H	0.9820137900379085	66	51	128	143	29	109	99	5	506.8333333333333	0.21014492753623187	0.2265625	0.21804511278195488	0.215060835251562
2	BLSTM-CRF	0.9933071490757153	66	51	151	260	44	211	107	5	510.2416666666666	0.17254901960784313	0.2913907284768212	0.21674876847290642	0.4135295366574663
2	BGRU-CRF	0.9770226300899744	66	51	151	413	50	357	101	6	510.2416666666666	0.12285012285012285	0.33112582781456956	0.17921146953405018	0.6996684577569453
2	TCN-CRF	0.9994472213630764	66	51	151	131	29	99	122	3	510.2416666666666	0.2265625	0.19205298013245034	0.2078853046594982	0.1940257067729344
2	BLSTM-2H	0.9626731126558706	66	51	151	221	39	178	112	4	510.2416666666666	0.17972350230414746	0.2582781456953642	0.21195652173913043	0.3488543010664881
3	BLSTM-CRF	0.995929862284104	66	51	147	249	34	208	113	7	503.6166666666667	0.14049586776859505	0.23129251700680273	0.17480719794344474	0.4130125426084654
3	BGRU-CRF	0.991422514586288	66	51	147	244	39	200	108	5	503.6166666666667	0.16317991631799164	0.2653061224489796	0.20207253886010362	0.3971274448158321
3	TCN-CRF	0.9859363729567544	66	51	147	406	49	348	98	9	503.6166666666667	0.12342569269521411	0.3333333333333333	0.1801470588235294	0.6910017539795479
3	BLSTM-2H	0.9626731126558706	66	51	147	260	37	217	110	6	503.6166666666667	0.14566929133858267	0.25170068027210885	0.18453865336658354	0.43088327762517786
4	BLSTM-CRF	0.9980732653366725	65	51	136	155	27	122	109	6	497.80833333333334	0.18120805369127516	0.19852941176470587	0.18947368421052632	0.24507424209451428
4	BGRU-CRF	0.9990889488055994	65	51	136	100	23	73	113	4	497.80833333333334	0.23958333333333334	0.16911764705882354	0.19827586206896552	0.1466427842040946
4	TCN-CRF	0.998498817743263	65	51	136	187	27	155	109	5	497.80833333333334	0.14835164835164835	0.19852941176470587	0.16981132075471697	0.3113648157758173
4	BLSTM-2H	0.9626731126558706	65	51	136	206	28	172	108	6	497.80833333333334	0.14	0.20588235294117646	0.16666666666666666	0.34551450524800376
5	BLSTM-CRF	0.991422514586288	65	52	158	345	48	292	110	5	499.46666666666664	0.1411764705882353	0.3037974683544304	0.1927710843373494	0.5846235985050721
5	BGRU-CRF	0.9980732653366725	65	52	158	176	34	138	124	4	499.46666666666664	0.19767441860465115	0.21518987341772153	0.20606060606060606	0.27629471436198616
5	TCN-CRF	0.991422514586288	65	52	158	358	60	289	98	9	499.46666666666664	0.17191977077363896	0.379746835443038	0.23668639053254437	0.5786171916711159
5	BLSTM-2H	0.9770226300899744	65	52	158	171	35	131	123	5	499.46666666666664	0.21084337349397592	0.22151898734177214	0.21604938271604937	0.26227976508275497
