model	membership_tier	tolerance_sec	reference_events	detected_events	recall
NESTED-SELECTED	primary_clean	15	53	1	0.018867924528301886
NESTED-SELECTED	primary_clean	45	53	3	0.05660377358490566
NESTED-SELECTED	primary_mad_flagged	15	127	31	0.2440944881889764
NESTED-SELECTED	primary_mad_flagged	45	127	38	0.2992125984251969
LR-OOF	primary_clean	15	53	3	0.05660377358490566
LR-OOF	primary_mad_flagged	15	127	54	0.4251968503937008
LR-OOF	primary_clean	45	53	7	0.1320754716981132
LR-OOF	primary_mad_flagged	45	127	60	0.47244094488188976
LC-1	primary_clean	15	53	9	0.16981132075471697
LC-1	primary_mad_flagged	15	127	47	0.3700787401574803
LC-1	primary_clean	45	53	13	0.24528301886792453
LC-1	primary_mad_flagged	45	127	60	0.47244094488188976
